Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,44.60%,55.40%,49.19%,50.81%,2.20 : 1,2.81 : 1,50.67%,56.36%,44.60%,55.40%,49.26%,51.11%,1.87%,6.22%,0.98%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,58.82%,41.18%,50.57%,49.43%,2.45 : 1,2.45 : 1,50.16%,55.73%,58.82%,41.18%,49.26%,45.28%,1.87%,0.55%,0.98%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,44.13%,55.87%,48.65%,51.35%,2.20 : 1,3.24 : 1,47.87%,59.62%,44.13%,55.87%,49.26%,51.14%,1.87%,5.51%,0.98%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,44.71%,55.29%,48.73%,51.27%,2.19 : 1,2.66 : 1,50.58%,53.34%,44.71%,55.29%,49.26%,50.74%,1.87%,4.93%,0.98%,12.49%
brand,48.68%,51.32%,54.10%,45.90%,2.43 : 1,2.03 : 1,48.80%,50.73%,48.68%,51.32%,49.26%,48.83%,1.87%,1.45%,0.98%,1.11%
braum,49.58%,50.42%,46.45%,53.55%,2.35 : 1,3.07 : 1,51.06%,59.87%,49.58%,50.42%,49.26%,52.36%,1.87%,7.99%,0.98%,14.32%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,45.31%,54.69%,49.82%,50.18%,2.13 : 1,2.40 : 1,51.59%,52.68%,45.31%,54.69%,49.26%,52.57%,1.87%,1.59%,0.98%,5.34%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,61.36%,38.64%,46.41%,53.59%,2.49 : 1,2.39 : 1,50.70%,53.61%,61.36%,38.64%,49.26%,51.10%,1.87%,1.01%,0.98%,3.05%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,41.94%,58.06%,48.23%,51.77%,2.13 : 1,2.87 : 1,54.79%,57.70%,41.94%,58.06%,49.26%,50.96%,1.87%,0.60%,0.98%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,50.00%,50.00%,45.53%,54.47%,2.50 : 1,2.47 : 1,46.55%,54.33%,50.00%,50.00%,49.26%,49.03%,1.87%,0.76%,0.98%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,45.29%,54.71%,41.75%,58.25%,2.26 : 1,3.49 : 1,49.30%,61.41%,45.29%,54.71%,49.26%,52.38%,1.87%,4.92%,0.98%,1.64%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,50.00%,50.00%,46.86%,53.14%,2.43 : 1,2.82 : 1,50.54%,56.50%,50.00%,50.00%,49.26%,50.12%,1.87%,9.39%,0.98%,5.31%
