Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,48.05%,51.95%,41.80%,58.20%,2.26 : 1,2.95 : 1,47.99%,48.63%,"23,493","22,382","17'54""","17'25""",48.05%,51.95%,50.37%,49.43%,2.66%,7.97%,0.75%,2.84%
akali,52.30%,47.70%,43.12%,56.88%,2.21 : 1,2.55 : 1,46.97%,45.82%,"24,206","22,811","17'50""","17'57""",52.30%,47.70%,50.37%,50.95%,2.66%,6.64%,0.75%,10.17%
akshan,52.82%,47.18%,48.05%,51.95%,2.31 : 1,2.41 : 1,47.46%,50.37%,"22,998","25,516","17'24""","17'31""",52.82%,47.18%,50.37%,52.43%,2.66%,2.44%,0.75%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,53.24%,46.76%,40.47%,59.53%,2.17 : 1,2.61 : 1,45.46%,46.98%,"24,279","21,472","18'21""","17'7""",53.24%,46.76%,50.37%,52.50%,2.66%,2.22%,0.75%,1.85%
annie,42.93%,57.07%,45.00%,55.00%,2.20 : 1,2.52 : 1,47.59%,47.97%,"22,495","24,880","16'52""","17'58""",42.93%,57.07%,50.37%,51.88%,2.66%,2.79%,0.75%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,49.26%,50.74%,51.80%,48.20%,2.75 : 1,2.90 : 1,49.73%,52.25%,"26,537","25,255","16'14""","19'28""",49.26%,50.74%,50.37%,51.05%,2.66%,2.10%,0.75%,0.64%
azir,57.75%,42.25%,48.29%,51.71%,2.81 : 1,1.98 : 1,50.53%,42.77%,"25,873","23,989","18'0""","17'23""",57.75%,42.25%,50.37%,47.22%,2.66%,2.75%,0.75%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,51.95%,48.05%,47.17%,52.83%,2.56 : 1,2.21 : 1,51.30%,44.45%,"28,822","26,790","18'11""","20'4""",51.95%,48.05%,50.37%,51.12%,2.66%,1.25%,0.75%,1.23%
chogath,36.11%,63.89%,36.84%,63.16%,1.78 : 1,3.27 : 1,45.02%,42.47%,"24,078","20,797","18'0""","16'34""",36.11%,63.89%,50.37%,50.71%,2.66%,0.65%,0.75%,0.90%
corki,64.20%,35.80%,47.14%,52.86%,2.95 : 1,2.05 : 1,48.91%,44.42%,"24,865","23,585","17'40""","18'53""",64.20%,35.80%,50.37%,45.59%,2.66%,0.92%,0.75%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,47.22%,52.78%,43.37%,56.63%,2.15 : 1,2.19 : 1,48.17%,47.06%,"22,207","24,381","17'31""","15'22""",47.22%,52.78%,50.37%,51.80%,2.66%,4.20%,0.75%,6.00%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,43.12%,56.88%,41.84%,58.16%,2.24 : 1,2.59 : 1,47.19%,45.00%,"23,344","22,311","17'26""","16'24""",43.12%,56.88%,50.37%,51.05%,2.66%,3.17%,0.75%,4.70%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,46.92%,53.08%,35.43%,64.57%,1.84 : 1,2.68 : 1,45.77%,46.61%,"20,746","22,504","17'26""","15'58""",46.92%,53.08%,50.37%,50.35%,2.66%,2.70%,0.75%,3.05%
galio,51.48%,48.52%,47.15%,52.85%,2.50 : 1,2.97 : 1,50.23%,50.85%,"23,004","17,416","18'9""","18'40""",51.48%,48.52%,50.37%,51.31%,2.66%,4.50%,0.75%,3.29%
gangplank,42.42%,57.58%,46.84%,53.16%,2.55 : 1,3.10 : 1,49.22%,51.07%,"24,535","25,367","17'57""","19'16""",42.42%,57.58%,50.37%,51.87%,2.66%,0.57%,0.75%,4.47%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,51.22%,48.78%,43.90%,56.10%,2.23 : 1,2.36 : 1,47.56%,43.25%,"22,313","19,249","18'6""","20'2""",51.22%,48.78%,50.37%,50.94%,2.66%,0.74%,0.75%,1.58%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,49.67%,50.33%,45.32%,54.68%,2.31 : 1,2.66 : 1,47.49%,48.76%,"23,370","27,454","18'13""","17'11""",49.67%,50.33%,50.37%,50.33%,2.66%,5.58%,0.75%,3.57%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,48.77%,51.23%,47.63%,52.37%,2.29 : 1,1.73 : 1,50.17%,42.28%,"24,678","21,696","18'26""","14'23""",48.77%,51.23%,50.37%,49.50%,2.66%,2.63%,0.75%,13.70%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,58.57%,41.43%,43.53%,56.47%,2.17 : 1,2.43 : 1,45.78%,47.91%,"21,528","24,265","16'29""","15'37""",58.57%,41.43%,50.37%,48.85%,2.66%,0.93%,0.75%,7.70%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,41.89%,58.11%,42.24%,57.76%,2.09 : 1,3.13 : 1,45.94%,49.08%,"25,026","24,934","16'16""","18'25""",41.89%,58.11%,50.37%,50.41%,2.66%,2.49%,0.75%,2.52%
katarina,43.20%,56.80%,37.48%,62.52%,1.99 : 1,2.88 : 1,48.43%,53.77%,"21,589","26,292","17'46""","16'58""",43.20%,56.80%,50.37%,51.65%,2.66%,5.91%,0.75%,6.87%
kayle,44.09%,55.91%,48.85%,51.15%,2.70 : 1,2.18 : 1,48.82%,42.30%,"26,377","20,980","16'16""","19'37""",44.09%,55.91%,50.37%,52.15%,2.66%,1.63%,0.75%,4.58%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,68.25%,31.75%,40.88%,59.12%,2.29 : 1,2.31 : 1,46.29%,45.45%,"21,491","24,182","17'23""","17'12""",68.25%,31.75%,50.37%,52.41%,2.66%,1.03%,0.75%,1.93%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,,,,,
leblanc,44.92%,55.08%,27.79%,72.21%,1.70 : 1,3.27 : 1,44.79%,47.38%,"21,998","23,785","18'9""","17'40""",44.92%,55.08%,50.37%,50.73%,2.66%,5.23%,0.75%,21.66%
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,48.66%,51.34%,39.26%,60.74%,2.18 : 1,2.67 : 1,49.30%,47.99%,"24,388","21,199","17'32""","16'17""",48.66%,51.34%,50.37%,51.97%,2.66%,3.20%,0.75%,1.49%
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,47.92%,52.08%,45.24%,54.76%,2.13 : 1,2.90 : 1,45.71%,50.59%,"22,377","24,400","17'41""","16'59""",47.92%,52.08%,50.37%,51.26%,2.66%,4.02%,0.75%,3.16%
malphite,41.18%,58.82%,50.45%,49.55%,2.91 : 1,2.15 : 1,52.58%,44.70%,"27,724","21,212","16'15""","17'4""",41.18%,58.82%,50.37%,52.90%,2.66%,0.79%,0.75%,7.92%
malzahar,52.49%,47.51%,51.57%,48.43%,2.58 : 1,2.10 : 1,47.72%,41.95%,"23,526","21,455","18'52""","16'39""",52.49%,47.51%,50.37%,51.26%,2.66%,4.99%,0.75%,6.84%
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,,,,,,,,,,,,,,,,,,,,
morgana,64.29%,35.71%,32.47%,67.53%,2.52 : 1,2.68 : 1,47.10%,43.96%,"20,440","18,732","16'0""","16'57""",64.29%,35.71%,50.37%,51.53%,2.66%,0.51%,0.75%,8.39%
naafiri,61.36%,38.64%,38.85%,61.15%,2.51 : 1,2.16 : 1,48.98%,44.63%,"24,796","21,535","16'45""","18'46""",61.36%,38.64%,50.37%,52.32%,2.66%,0.68%,0.75%,12.51%
nami,,,,,,,,,,,,,,,,,,,,
nasus,,,,,,,,,,,,,,,,,,,,
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,45.31%,54.69%,38.12%,61.88%,2.39 : 1,2.97 : 1,49.60%,47.82%,"23,809","21,599","19'32""","17'35""",45.31%,54.69%,50.37%,52.50%,2.66%,0.66%,0.75%,1.69%
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
