Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,52.51%,47.49%,2.55 : 1,2.57 : 1,50.89%,50.99%,"21,343","18,096",52.51%,47.49%,50.25%,49.90%,4.18%,2.00%,7.94%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,43.29%,56.71%,2.66 : 1,2.82 : 1,53.99%,50.69%,"20,949","16,994",43.29%,56.71%,50.25%,51.24%,4.18%,1.95%,7.94%,3.84%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,47.96%,52.04%,2.61 : 1,2.25 : 1,53.02%,52.58%,"23,724","22,626",47.96%,52.04%,50.25%,52.47%,4.18%,3.99%,7.94%,4.33%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,50.26%,49.74%,2.73 : 1,2.30 : 1,53.30%,50.17%,"21,932","20,745",50.26%,49.74%,50.25%,51.14%,4.18%,5.35%,7.94%,6.03%
drmundo,46.99%,53.01%,2.88 : 1,3.12 : 1,52.80%,48.44%,"25,887","21,245",46.99%,53.01%,50.25%,49.01%,4.18%,1.63%,7.94%,15.22%
draven,,,,,,,,,,,,,,,,
ekko,50.14%,49.86%,2.74 : 1,2.67 : 1,52.72%,52.12%,"23,258","20,615",50.14%,49.86%,50.25%,51.59%,4.18%,6.36%,7.94%,4.76%
elise,51.99%,48.01%,2.78 : 1,2.40 : 1,53.40%,50.99%,"22,494","20,292",51.99%,48.01%,50.25%,50.80%,4.18%,3.31%,7.94%,5.55%
evelynn,47.83%,52.17%,2.72 : 1,2.83 : 1,52.51%,50.75%,"23,115","23,402",47.83%,52.17%,50.25%,50.97%,4.18%,2.69%,7.94%,3.77%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,47.04%,52.96%,2.59 : 1,2.74 : 1,51.81%,51.76%,"22,942","21,655",47.04%,52.96%,50.25%,52.28%,4.18%,3.04%,7.94%,3.28%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,41.30%,58.70%,2.27 : 1,3.14 : 1,53.02%,51.35%,"20,995","21,255",41.30%,58.70%,50.25%,50.87%,4.18%,1.19%,7.94%,1.67%
graves,51.75%,48.25%,2.63 : 1,2.39 : 1,50.80%,50.21%,"20,855","21,278",51.75%,48.25%,50.25%,49.65%,4.18%,5.69%,7.94%,4.40%
gwen,45.45%,54.55%,3.03 : 1,2.28 : 1,51.58%,48.18%,"23,439","23,330",45.45%,54.55%,50.25%,50.84%,4.18%,1.25%,7.94%,8.44%
hecarim,48.26%,51.74%,2.57 : 1,2.88 : 1,52.68%,53.31%,"21,316","19,777",48.26%,51.74%,50.25%,49.82%,4.18%,4.29%,7.94%,4.68%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,53.68%,46.32%,2.68 : 1,3.63 : 1,51.99%,58.85%,"22,645","11,332",53.68%,46.32%,50.25%,52.00%,4.18%,1.45%,7.94%,0.83%
janna,,,,,,,,,,,,,,,,
