Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,55.13%,44.87%,53.59%,46.41%,3.18 : 1,2.55 : 1,61.59%,58.74%,55.13%,44.87%,52.30%,51.11%,1.27%,6.22%,0.16%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,58.33%,41.67%,70.83%,29.17%,3.74 : 1,1.87 : 1,58.81%,50.30%,58.33%,41.67%,52.30%,45.28%,1.27%,0.55%,0.16%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,53.54%,46.46%,48.64%,51.36%,2.93 : 1,3.31 : 1,59.14%,61.36%,53.54%,46.46%,52.30%,51.14%,1.27%,5.51%,0.16%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,55.91%,44.09%,48.47%,51.53%,2.88 : 1,2.61 : 1,62.14%,55.41%,55.91%,44.09%,52.30%,50.74%,1.27%,4.93%,0.16%,12.49%
brand,72.97%,27.03%,57.59%,42.41%,3.33 : 1,1.77 : 1,58.69%,50.97%,72.97%,27.03%,52.30%,48.83%,1.27%,1.45%,0.16%,1.11%
braum,50.00%,50.00%,44.79%,55.21%,2.71 : 1,3.13 : 1,62.33%,61.30%,50.00%,50.00%,52.30%,52.36%,1.27%,7.99%,0.16%,14.32%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,43.10%,56.90%,45.28%,54.72%,2.55 : 1,2.60 : 1,62.46%,55.28%,43.10%,56.90%,52.30%,52.57%,1.27%,1.59%,0.16%,5.34%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,56.25%,43.75%,47.06%,52.94%,2.65 : 1,2.54 : 1,57.92%,56.60%,56.25%,43.75%,52.30%,51.10%,1.27%,1.01%,0.16%,3.05%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,55.56%,44.44%,48.57%,51.43%,2.91 : 1,2.39 : 1,65.76%,53.17%,55.56%,44.44%,52.30%,50.96%,1.27%,0.60%,0.16%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,57.89%,42.11%,61.54%,38.46%,2.91 : 1,2.20 : 1,49.73%,52.47%,57.89%,42.11%,52.30%,49.03%,1.27%,0.76%,0.16%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,52.10%,47.90%,49.02%,50.98%,2.85 : 1,3.45 : 1,58.11%,62.58%,52.10%,47.90%,52.30%,52.38%,1.27%,4.92%,0.16%,1.64%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,45.97%,54.03%,41.57%,58.43%,2.48 : 1,3.36 : 1,58.43%,58.17%,45.97%,54.03%,52.30%,50.12%,1.27%,9.39%,0.16%,5.31%
