Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,51.46%,48.54%,45.83%,54.17%,1.60 : 1,1.82 : 1,36.09%,35.66%,"27,434","21,290","17'22""","17'18""",51.46%,48.54%,51.49%,49.88%,2.63%,10.03%,3.96%,12.27%
ahri,,,,,,,,,,,,,,,,,,,,
akali,53.04%,46.96%,39.70%,60.30%,1.42 : 1,2.13 : 1,33.86%,39.41%,"25,194","24,233","17'42""","17'20""",53.04%,46.96%,51.49%,49.75%,2.63%,1.62%,3.96%,9.82%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,63.30%,36.70%,49.87%,50.13%,1.88 : 1,1.69 : 1,37.62%,38.28%,"29,851","17,780","15'42""","18'41""",63.30%,36.70%,51.49%,51.17%,2.63%,3.69%,3.96%,1.45%
cassiopeia,49.33%,50.67%,44.80%,55.20%,1.70 : 1,1.86 : 1,33.57%,37.67%,"21,681","21,803","18'32""","17'35""",49.33%,50.67%,51.49%,51.52%,2.63%,0.58%,3.96%,1.12%
chogath,40.79%,59.21%,52.46%,47.54%,1.70 : 1,2.19 : 1,36.84%,37.83%,"32,475","20,849","17'28""","17'4""",40.79%,59.21%,51.49%,51.76%,2.63%,3.24%,3.96%,1.00%
corki,,,,,,,,,,,,,,,,,,,,
darius,55.28%,44.72%,47.90%,52.10%,1.72 : 1,1.65 : 1,37.03%,34.38%,"28,997","17,541","16'45""","17'3""",55.28%,44.72%,51.49%,50.11%,2.63%,5.74%,3.96%,13.73%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,49.60%,50.40%,56.27%,43.73%,2.08 : 1,1.74 : 1,35.88%,31.73%,"38,657","21,942","17'6""","16'41""",49.60%,50.40%,51.49%,50.45%,2.63%,7.37%,3.96%,15.68%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,51.72%,48.28%,50.20%,49.80%,1.84 : 1,1.53 : 1,37.26%,33.69%,"29,364","19,112","16'10""","16'21""",51.72%,48.28%,51.49%,51.30%,2.63%,4.67%,3.96%,6.93%
fizz,,,,,,,,,,,,,,,,,,,,
galio,46.77%,53.23%,56.85%,43.15%,1.88 : 1,2.19 : 1,35.61%,40.61%,"25,307","17,245","17'58""","18'24""",46.77%,53.23%,51.49%,49.02%,2.63%,0.54%,3.96%,2.78%
gangplank,51.50%,48.50%,47.98%,52.02%,1.73 : 1,2.28 : 1,35.04%,42.09%,"29,341","24,175","17'46""","17'9""",51.50%,48.50%,51.49%,50.76%,2.63%,4.84%,3.96%,4.84%
garen,53.75%,46.25%,54.52%,45.48%,1.73 : 1,1.78 : 1,35.10%,33.56%,"31,365","18,867","16'15""","17'12""",53.75%,46.25%,51.49%,50.48%,2.63%,3.86%,3.96%,2.31%
gnar,55.23%,44.77%,50.00%,50.00%,1.73 : 1,1.71 : 1,35.46%,34.39%,"27,982","19,712","17'15""","17'41""",55.23%,44.77%,51.49%,49.39%,2.63%,3.21%,3.96%,0.94%
gragas,49.10%,50.90%,47.31%,52.69%,1.69 : 1,2.08 : 1,35.65%,36.09%,"28,893","20,169","17'36""","17'16""",49.10%,50.90%,51.49%,50.77%,2.63%,3.45%,3.96%,1.76%
graves,,,,,,,,,,,,,,,,,,,,
gwen,53.28%,46.72%,47.45%,52.55%,1.60 : 1,1.77 : 1,35.01%,36.10%,"26,219","21,592","16'37""","16'42""",53.28%,46.72%,51.49%,49.95%,2.63%,3.47%,3.96%,8.69%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,45.33%,54.67%,52.94%,47.06%,1.93 : 1,1.54 : 1,35.97%,32.15%,"23,748","27,364","18'45""","15'46""",45.33%,54.67%,51.49%,52.87%,2.63%,0.99%,3.96%,1.18%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,55.38%,44.62%,57.32%,42.68%,2.06 : 1,1.20 : 1,35.30%,29.08%,"27,737","18,124","17'49""","17'35""",55.38%,44.62%,51.49%,49.46%,2.63%,1.69%,3.96%,2.89%
irelia,55.42%,44.58%,50.41%,49.59%,1.79 : 1,1.37 : 1,37.35%,35.02%,"26,570","19,664","16'49""","16'21""",55.42%,44.58%,51.49%,51.35%,2.63%,4.44%,3.96%,13.83%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,58.15%,41.85%,49.65%,50.35%,1.87 : 1,1.46 : 1,36.58%,31.62%,"26,497","16,311","16'23""","16'30""",58.15%,41.85%,51.49%,50.56%,2.63%,6.88%,3.96%,8.89%
jayce,46.86%,53.14%,52.93%,47.07%,1.73 : 1,1.75 : 1,36.08%,36.90%,"24,087","22,711","17'29""","16'56""",46.86%,53.14%,51.49%,48.90%,2.63%,4.98%,3.96%,7.91%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,55.83%,44.17%,53.44%,46.56%,1.89 : 1,1.75 : 1,34.78%,36.14%,"29,207","18,573","15'59""","19'36""",55.83%,44.17%,51.49%,52.36%,2.63%,3.68%,3.96%,4.71%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,52.27%,47.73%,46.65%,53.35%,1.64 : 1,1.84 : 1,36.14%,38.00%,"25,763","23,511","16'49""","17'37""",52.27%,47.73%,51.49%,52.55%,2.63%,2.32%,3.96%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,57.55%,42.45%,53.74%,46.26%,1.95 : 1,1.80 : 1,38.53%,39.66%,"30,415","19,771","16'3""","17'24""",57.55%,42.45%,51.49%,52.05%,2.63%,1.49%,3.96%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,46.67%,53.33%,44.61%,55.39%,1.68 : 1,2.28 : 1,34.94%,35.72%,"25,376","16,063","18'2""","17'30""",46.67%,53.33%,51.49%,48.48%,2.63%,4.34%,3.96%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,47.20%,52.80%,40.19%,59.81%,1.48 : 1,2.51 : 1,33.69%,38.87%,"24,712","20,548","17'19""","17'41""",47.20%,52.80%,51.49%,52.32%,2.63%,4.66%,3.96%,8.61%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,47.40%,52.60%,43.85%,56.15%,1.57 : 1,1.88 : 1,34.88%,34.41%,"27,765","21,812","18'1""","17'0""",47.40%,52.60%,51.49%,52.05%,2.63%,5.24%,3.96%,5.98%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,51.20%,48.80%,45.15%,54.85%,1.67 : 1,1.88 : 1,35.80%,32.10%,"31,167","17,267","17'21""","17'51""",51.20%,48.80%,51.49%,51.40%,2.63%,2.96%,3.96%,3.26%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,44.60%,55.40%,41.79%,58.21%,1.55 : 1,2.03 : 1,36.00%,39.10%,"26,001","23,360","17'27""","16'10""",44.60%,55.40%,51.49%,52.46%,2.63%,1.69%,3.96%,1.38%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,49.19%,50.81%,41.34%,58.66%,1.59 : 1,2.77 : 1,33.63%,41.75%,"27,809","17,166","17'20""","16'40""",49.19%,50.81%,51.49%,51.17%,2.63%,3.77%,3.96%,0.43%
pantheon,38.26%,61.74%,46.63%,53.37%,1.53 : 1,2.34 : 1,38.45%,41.41%,"27,361","25,046","16'21""","17'39""",38.26%,61.74%,51.49%,51.38%,2.63%,2.15%,3.96%,10.58%
poppy,46.00%,54.00%,49.71%,50.29%,1.64 : 1,2.03 : 1,37.20%,37.63%,"30,153","18,713","16'32""","18'13""",46.00%,54.00%,51.49%,51.61%,2.63%,1.38%,3.96%,6.55%
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,,,,,,,,,,,,,,,,,,,,
quinn,47.02%,52.98%,52.33%,47.67%,1.74 : 1,2.12 : 1,36.46%,42.25%,"28,414","24,532","15'41""","19'3""",47.02%,52.98%,51.49%,53.44%,2.63%,1.87%,3.96%,1.85%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,51.20%,48.80%,47.66%,52.34%,1.59 : 1,1.86 : 1,35.47%,34.62%,"29,691","17,318","16'55""","16'53""",51.20%,48.80%,51.49%,50.46%,2.63%,6.82%,3.96%,5.72%
rengar,,,,,,,,,,,,,,,,,,,,
riven,50.00%,50.00%,45.18%,54.82%,1.56 : 1,1.90 : 1,35.42%,37.61%,"24,690","18,395","16'44""","17'41""",50.00%,50.00%,51.49%,52.24%,2.63%,4.78%,3.96%,3.80%
rumble,59.84%,40.16%,47.19%,52.81%,2.01 : 1,1.71 : 1,37.49%,37.30%,"27,452","23,714","17'34""","18'10""",59.84%,40.16%,51.49%,48.22%,2.63%,1.58%,3.96%,0.58%
ryze,48.24%,51.76%,50.44%,49.56%,1.72 : 1,1.99 : 1,35.12%,36.37%,"24,657","22,584","17'25""","16'34""",48.24%,51.76%,51.49%,50.68%,2.63%,1.10%,3.96%,0.63%
samira,,,,,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,,,,,
senna,,,,,,,,,,,,,,,,,,,,
seraphine,,,,,,,,,,,,,,,,,,,,
sett,48.90%,51.10%,48.05%,51.95%,1.68 : 1,1.70 : 1,35.60%,34.71%,"30,769","20,234","16'42""","16'41""",48.90%,51.10%,51.49%,52.66%,2.63%,7.23%,3.96%,4.80%
shaco,,,,,,,,,,,,,,,,,,,,
shen,56.43%,43.57%,44.86%,55.14%,1.70 : 1,2.78 : 1,35.62%,45.44%,"28,246","14,426","15'15""","20'38""",56.43%,43.57%,51.49%,51.68%,2.63%,5.09%,3.96%,3.71%
shyvana,,,,,,,,,,,,,,,,,,,,
singed,58.33%,41.67%,60.82%,39.18%,2.09 : 1,1.82 : 1,37.06%,39.61%,"31,646","17,499","15'42""","18'40""",58.33%,41.67%,51.49%,51.74%,2.63%,1.72%,3.96%,0.41%
sion,48.58%,51.42%,49.62%,50.38%,1.81 : 1,2.04 : 1,35.98%,38.18%,"30,550","20,296","18'22""","15'50""",48.58%,51.42%,51.49%,50.25%,2.63%,4.57%,3.96%,0.95%
sivir,,,,,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,,,,,
smolder,,,,,,,,,,,,,,,,,,,,
sona,,,,,,,,,,,,,,,,,,,,
soraka,,,,,,,,,,,,,,,,,,,,
swain,,,,,,,,,,,,,,,,,,,,
sylas,56.25%,43.75%,49.01%,50.99%,1.62 : 1,1.77 : 1,32.93%,39.57%,"23,894","20,028","17'50""","17'37""",56.25%,43.75%,51.49%,48.75%,2.63%,1.67%,3.96%,9.65%
syndra,,,,,,,,,,,,,,,,,,,,
tahmkench,41.46%,58.54%,37.88%,62.12%,1.45 : 1,2.45 : 1,34.15%,35.61%,"31,985","17,238","17'23""","16'33""",41.46%,58.54%,51.49%,50.98%,2.63%,0.79%,3.96%,0.89%
taliyah,,,,,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,,,,,,,,,,
taric,,,,,,,,,,,,,,,,,,,,
thresh,,,,,,,,,,,,,,,,,,,,
tristana,,,,,,,,,,,,,,,,,,,,
