Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,50.02%,49.98%,55.57%,44.43%,2.91 : 1,2.44 : 1,58.90%,57.07%,50.02%,49.98%,51.38%,51.11%,11.81%,6.22%,5.41%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,56.34%,43.66%,55.94%,44.06%,3.07 : 1,2.12 : 1,55.21%,51.42%,56.34%,43.66%,51.38%,45.28%,11.81%,0.55%,5.41%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,51.09%,48.91%,52.69%,47.31%,2.83 : 1,2.86 : 1,56.70%,59.24%,51.09%,48.91%,51.38%,51.14%,11.81%,5.51%,5.41%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,51.02%,48.98%,50.50%,49.50%,2.64 : 1,2.47 : 1,58.08%,53.87%,51.02%,48.98%,51.38%,50.74%,11.81%,4.93%,5.41%,12.49%
brand,51.72%,48.28%,57.29%,42.71%,2.71 : 1,1.88 : 1,54.96%,50.32%,51.72%,48.28%,51.38%,48.83%,11.81%,1.45%,5.41%,1.11%
braum,49.43%,50.57%,52.03%,47.97%,2.81 : 1,2.75 : 1,58.50%,59.38%,49.43%,50.57%,51.38%,52.36%,11.81%,7.99%,5.41%,14.32%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,48.24%,51.76%,51.63%,48.37%,2.67 : 1,2.17 : 1,57.52%,53.04%,48.24%,51.76%,51.38%,52.57%,11.81%,1.59%,5.41%,5.34%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,53.21%,46.79%,57.46%,42.54%,2.89 : 1,2.15 : 1,57.40%,52.10%,53.21%,46.79%,51.38%,51.10%,11.81%,1.01%,5.41%,3.05%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,48.28%,51.72%,54.92%,45.08%,2.82 : 1,2.51 : 1,59.44%,57.23%,48.28%,51.72%,51.38%,50.96%,11.81%,0.60%,5.41%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,51.49%,48.51%,52.64%,47.36%,2.66 : 1,2.33 : 1,55.87%,53.82%,51.49%,48.51%,51.38%,49.03%,11.81%,0.76%,5.41%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,48.38%,51.62%,49.16%,50.84%,2.76 : 1,3.18 : 1,55.45%,60.04%,48.38%,51.62%,51.38%,52.38%,11.81%,4.92%,5.41%,1.64%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,50.68%,49.32%,50.43%,49.57%,2.77 : 1,2.67 : 1,56.16%,56.73%,50.68%,49.32%,51.38%,50.12%,11.81%,9.39%,5.41%,5.31%
