Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,50.91%,49.09%,56.07%,43.93%,2.55 : 1,1.93 : 1,49.13%,45.79%,"22,699","23,837","15'33""","14'54""",50.91%,49.09%,51.71%,50.14%,7.31%,8.80%,5.33%,3.16%
ashe,49.95%,50.05%,56.68%,43.32%,2.49 : 1,2.19 : 1,48.61%,48.87%,"22,819","20,529","15'11""","15'28""",49.95%,50.05%,51.71%,50.75%,7.31%,5.79%,5.33%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,52.36%,47.64%,57.23%,42.77%,2.52 : 1,2.02 : 1,47.22%,45.84%,"23,932","23,465","15'29""","14'29""",52.36%,47.64%,51.71%,49.90%,7.31%,11.09%,5.33%,12.95%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,52.45%,47.55%,49.18%,50.82%,2.34 : 1,2.51 : 1,47.23%,49.97%,"22,505","25,712","15'56""","14'34""",52.45%,47.55%,51.71%,49.39%,7.31%,2.33%,5.33%,0.53%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,50.07%,49.93%,55.88%,44.12%,2.51 : 1,2.00 : 1,50.28%,47.37%,"22,653","23,091","15'26""","14'26""",50.07%,49.93%,51.71%,49.65%,7.31%,4.14%,5.33%,19.10%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,50.74%,49.26%,51.56%,48.44%,2.41 : 1,2.48 : 1,46.89%,47.45%,"23,668","26,006","15'21""","15'2""",50.74%,49.26%,51.71%,48.35%,7.31%,13.66%,5.33%,4.97%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,53.98%,46.02%,50.99%,49.01%,2.33 : 1,2.49 : 1,44.23%,51.70%,"23,100","27,182","15'49""","15'7""",53.98%,46.02%,51.71%,52.14%,7.31%,0.92%,5.33%,3.21%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
