Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,55.65%,44.35%,3.08 : 1,2.31 : 1,55.28%,51.87%,"19,159","18,079",55.65%,44.35%,52.40%,49.90%,4.12%,2.00%,2.37%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,47.67%,52.33%,2.83 : 1,2.88 : 1,53.63%,51.97%,"15,343","15,834",47.67%,52.33%,52.40%,51.24%,4.12%,1.95%,2.37%,3.84%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,55.70%,44.30%,3.01 : 1,2.22 : 1,54.40%,52.99%,"19,206","21,880",55.70%,44.30%,52.40%,52.47%,4.12%,3.99%,2.37%,4.33%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,52.55%,47.45%,3.14 : 1,2.43 : 1,54.74%,52.43%,"17,783","21,850",52.55%,47.45%,52.40%,51.14%,4.12%,5.35%,2.37%,6.03%
drmundo,54.77%,45.23%,3.26 : 1,2.80 : 1,53.45%,49.77%,"21,155","20,701",54.77%,45.23%,52.40%,49.01%,4.12%,1.63%,2.37%,15.22%
draven,,,,,,,,,,,,,,,,
ekko,50.28%,49.72%,2.74 : 1,3.06 : 1,51.63%,53.52%,"17,943","22,461",50.28%,49.72%,52.40%,51.59%,4.12%,6.36%,2.37%,4.76%
elise,51.05%,48.95%,2.83 : 1,2.80 : 1,53.08%,52.57%,"15,862","20,173",51.05%,48.95%,52.40%,50.80%,4.12%,3.31%,2.37%,5.55%
evelynn,53.52%,46.48%,2.82 : 1,2.93 : 1,52.46%,52.39%,"17,028","22,349",53.52%,46.48%,52.40%,50.97%,4.12%,2.69%,2.37%,3.77%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,46.55%,53.45%,2.98 : 1,3.07 : 1,54.80%,53.20%,"18,520","22,295",46.55%,53.45%,52.40%,52.28%,4.12%,3.04%,2.37%,3.28%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,56.63%,43.37%,2.81 : 1,2.69 : 1,50.27%,50.51%,"17,357","21,178",56.63%,43.37%,52.40%,50.87%,4.12%,1.19%,2.37%,1.67%
graves,54.59%,45.41%,3.04 : 1,2.56 : 1,51.08%,51.78%,"15,746","22,070",54.59%,45.41%,52.40%,49.65%,4.12%,5.69%,2.37%,4.40%
gwen,49.23%,50.77%,2.93 : 1,2.49 : 1,52.24%,51.57%,"18,109","25,276",49.23%,50.77%,52.40%,50.84%,4.12%,1.25%,2.37%,8.44%
hecarim,53.03%,46.97%,2.88 : 1,2.94 : 1,53.82%,53.75%,"19,006","20,258",53.03%,46.97%,52.40%,49.82%,4.12%,4.29%,2.37%,4.68%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,45.31%,54.69%,2.54 : 1,4.82 : 1,51.25%,62.81%,"14,253","11,938",45.31%,54.69%,52.40%,52.00%,4.12%,1.45%,2.37%,0.83%
janna,,,,,,,,,,,,,,,,
