Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,51.72%,48.28%,48.67%,51.33%,1.55 : 1,1.88 : 1,32.57%,35.45%,"22,058","24,626","15'21""","16'46""",51.72%,48.28%,50.52%,49.88%,2.11%,10.03%,1.67%,12.27%
ahri,,,,,,,,,,,,,,,,,,,,
akali,45.37%,54.63%,48.36%,51.64%,1.53 : 1,2.03 : 1,33.47%,36.73%,"23,687","29,170","15'2""","18'11""",45.37%,54.63%,50.52%,49.75%,2.11%,1.62%,1.67%,9.82%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,51.95%,48.05%,48.61%,51.39%,1.56 : 1,2.15 : 1,33.02%,40.70%,"21,928","26,369","14'16""","17'41""",51.95%,48.05%,50.52%,51.17%,2.11%,3.69%,1.67%,1.45%
cassiopeia,46.67%,53.33%,52.99%,47.01%,1.56 : 1,1.46 : 1,30.69%,32.44%,"16,992","24,940","15'45""","16'22""",46.67%,53.33%,50.52%,51.52%,2.11%,0.58%,1.67%,1.12%
chogath,47.93%,52.07%,50.81%,49.19%,1.53 : 1,2.19 : 1,31.73%,37.04%,"22,890","25,304","15'27""","16'13""",47.93%,52.07%,50.52%,51.76%,2.11%,3.24%,1.67%,1.00%
corki,,,,,,,,,,,,,,,,,,,,
darius,46.24%,53.76%,50.88%,49.12%,1.46 : 1,1.78 : 1,32.24%,35.27%,"19,311","22,841","15'50""","15'57""",46.24%,53.76%,50.52%,50.11%,2.11%,5.74%,1.67%,13.73%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,55.67%,44.33%,58.75%,41.25%,1.98 : 1,1.63 : 1,34.80%,32.46%,"32,575","26,493","13'57""","16'42""",55.67%,44.33%,50.52%,50.45%,2.11%,7.37%,1.67%,15.68%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,44.81%,55.19%,52.92%,47.08%,1.61 : 1,1.67 : 1,35.36%,35.67%,"22,324","24,667","14'18""","15'53""",44.81%,55.19%,50.52%,51.30%,2.11%,4.67%,1.67%,6.93%
fizz,,,,,,,,,,,,,,,,,,,,
galio,35.00%,65.00%,57.45%,42.55%,1.15 : 1,2.55 : 1,26.99%,44.27%,"18,569","19,103","15'18""","19'23""",35.00%,65.00%,50.52%,49.02%,2.11%,0.54%,1.67%,2.78%
gangplank,51.06%,48.94%,56.86%,43.14%,1.70 : 1,2.07 : 1,34.70%,40.53%,"22,274","29,188","14'43""","16'54""",51.06%,48.94%,50.52%,50.76%,2.11%,4.84%,1.67%,4.84%
garen,55.10%,44.90%,59.17%,40.83%,1.80 : 1,1.61 : 1,33.98%,32.13%,"23,185","21,888","14'2""","17'5""",55.10%,44.90%,50.52%,50.48%,2.11%,3.86%,1.67%,2.31%
gnar,48.20%,51.80%,51.50%,48.50%,1.60 : 1,2.08 : 1,32.05%,35.52%,"17,758","25,071","15'50""","16'4""",48.20%,51.80%,50.52%,49.39%,2.11%,3.21%,1.67%,0.94%
gragas,45.93%,54.07%,42.41%,57.59%,1.35 : 1,2.46 : 1,31.15%,37.63%,"20,456","26,651","15'16""","16'32""",45.93%,54.07%,50.52%,50.77%,2.11%,3.45%,1.67%,1.76%
graves,,,,,,,,,,,,,,,,,,,,
gwen,53.51%,46.49%,52.74%,47.26%,1.61 : 1,1.66 : 1,34.02%,34.87%,"21,666","26,217","14'34""","16'25""",53.51%,46.49%,50.52%,49.95%,2.11%,3.47%,1.67%,8.69%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,58.93%,41.07%,49.79%,50.21%,1.51 : 1,1.57 : 1,32.09%,36.76%,"18,371","31,868","16'7""","15'3""",58.93%,41.07%,50.52%,52.87%,2.11%,0.99%,1.67%,1.18%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,55.81%,44.19%,54.15%,45.85%,1.72 : 1,1.30 : 1,33.40%,30.15%,"24,138","28,850","15'40""","15'49""",55.81%,44.19%,50.52%,49.46%,2.11%,1.69%,1.67%,2.89%
irelia,49.12%,50.88%,50.39%,49.61%,1.85 : 1,1.47 : 1,36.02%,36.10%,"21,107","22,857","14'50""","15'1""",49.12%,50.88%,50.52%,51.35%,2.11%,4.44%,1.67%,13.83%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,49.80%,50.20%,51.08%,48.92%,1.60 : 1,1.71 : 1,34.46%,33.45%,"20,944","24,660","14'39""","15'48""",49.80%,50.20%,50.52%,50.56%,2.11%,6.88%,1.67%,8.89%
jayce,54.24%,45.76%,59.73%,40.27%,1.91 : 1,1.63 : 1,36.18%,37.67%,"19,698","27,260","14'25""","16'49""",54.24%,45.76%,50.52%,48.90%,2.11%,4.98%,1.67%,7.91%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,45.81%,54.19%,58.94%,41.06%,1.77 : 1,1.74 : 1,33.89%,36.73%,"19,892","23,712","14'37""","18'1""",45.81%,54.19%,50.52%,52.36%,2.11%,3.68%,1.67%,4.71%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,45.69%,54.31%,47.94%,52.06%,1.58 : 1,2.23 : 1,33.21%,38.88%,"19,110","30,159","15'22""","17'1""",45.69%,54.31%,50.52%,52.55%,2.11%,2.32%,1.67%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,45.57%,54.43%,45.16%,54.84%,1.49 : 1,2.33 : 1,33.88%,43.24%,"22,254","24,584","15'17""","14'22""",45.57%,54.43%,50.52%,52.05%,2.11%,1.49%,1.67%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,52.51%,47.49%,49.50%,50.50%,1.59 : 1,2.16 : 1,31.55%,35.97%,"20,158","22,832","15'45""","17'13""",52.51%,47.49%,50.52%,48.48%,2.11%,4.34%,1.67%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,45.59%,54.41%,46.42%,53.58%,1.49 : 1,2.72 : 1,30.50%,39.90%,"17,367","26,558","15'9""","17'20""",45.59%,54.41%,50.52%,52.32%,2.11%,4.66%,1.67%,8.61%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,50.63%,49.37%,56.02%,43.98%,1.68 : 1,1.63 : 1,35.10%,32.77%,"22,557","24,821","15'15""","17'0""",50.63%,49.37%,50.52%,52.05%,2.11%,5.24%,1.67%,5.98%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,48.86%,51.14%,52.96%,47.04%,1.59 : 1,1.87 : 1,31.48%,33.02%,"23,077","22,285","13'51""","17'35""",48.86%,51.14%,50.52%,51.40%,2.11%,2.96%,1.67%,3.26%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,41.98%,58.02%,50.68%,49.32%,1.64 : 1,1.77 : 1,35.45%,37.27%,"19,812","24,862","14'46""","16'6""",41.98%,58.02%,50.52%,52.46%,2.11%,1.69%,1.67%,1.38%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,50.57%,49.43%,50.36%,49.64%,1.68 : 1,2.41 : 1,32.59%,39.18%,"21,375","21,726","14'56""","16'57""",50.57%,49.43%,50.52%,51.17%,2.11%,3.77%,1.67%,0.43%
