Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,51.56%,48.44%,41.36%,58.64%,2.42 : 1,2.97 : 1,47.04%,48.15%,"19,138","22,656","17'52""","17'13""",51.56%,48.44%,51.40%,49.39%,9.53%,7.98%,12.25%,2.84%
akali,54.37%,45.63%,45.16%,54.84%,2.57 : 1,2.40 : 1,47.84%,44.62%,"20,226","23,534","17'16""","18'16""",54.37%,45.63%,51.40%,50.97%,9.53%,6.65%,12.25%,10.20%
akshan,47.19%,52.81%,48.39%,51.61%,2.53 : 1,2.57 : 1,47.69%,49.80%,"19,052","25,688","17'0""","16'55""",47.19%,52.81%,51.40%,52.49%,9.53%,2.44%,12.25%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,48.42%,51.58%,37.66%,62.34%,2.33 : 1,3.09 : 1,47.18%,46.75%,"19,393","21,663","17'47""","17'6""",48.42%,51.58%,51.40%,52.48%,9.53%,2.22%,12.25%,1.84%
annie,46.74%,53.26%,48.59%,51.41%,2.41 : 1,2.61 : 1,47.37%,49.17%,"17,850","25,201","16'54""","18'20""",46.74%,53.26%,51.40%,51.98%,9.53%,2.80%,12.25%,1.17%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,46.15%,53.85%,48.22%,51.78%,2.56 : 1,3.09 : 1,48.28%,53.15%,"20,598","26,092","17'8""","19'12""",46.15%,53.85%,51.40%,51.04%,9.53%,2.10%,12.25%,0.64%
azir,56.67%,43.33%,50.76%,49.24%,2.96 : 1,2.14 : 1,48.39%,43.27%,"19,673","24,339","17'32""","16'55""",56.67%,43.33%,51.40%,47.18%,9.53%,2.75%,12.25%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,49.41%,50.59%,51.08%,48.92%,2.78 : 1,2.16 : 1,49.83%,43.59%,"20,126","23,307","17'49""","17'22""",49.41%,50.59%,51.40%,51.17%,9.53%,1.25%,12.25%,1.23%
chogath,57.46%,42.54%,46.24%,53.76%,2.81 : 1,2.40 : 1,49.71%,44.79%,"21,981","21,088","16'38""","17'17""",57.46%,42.54%,51.40%,50.82%,9.53%,0.64%,12.25%,0.90%
corki,57.95%,42.05%,52.27%,47.73%,2.96 : 1,2.13 : 1,47.95%,45.67%,"18,861","25,772","18'24""","15'44""",57.95%,42.05%,51.40%,45.47%,9.53%,0.92%,12.25%,0.49%
darius,,,,,,,,,,,,,,,,,,,,
diana,47.94%,52.06%,49.01%,50.99%,2.41 : 1,2.28 : 1,47.88%,48.50%,"17,530","25,489","17'36""","15'29""",47.94%,52.06%,51.40%,51.79%,9.53%,4.20%,12.25%,6.01%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,53.21%,46.79%,44.16%,55.84%,2.59 : 1,2.54 : 1,46.94%,46.62%,"19,968","23,475","17'28""","16'13""",53.21%,46.79%,51.40%,51.07%,9.53%,3.17%,12.25%,4.70%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,54.21%,45.79%,41.18%,58.82%,2.35 : 1,2.58 : 1,46.05%,47.47%,"18,966","23,174","16'53""","17'2""",54.21%,45.79%,51.40%,50.31%,9.53%,2.70%,12.25%,3.06%
galio,51.02%,48.98%,47.71%,52.29%,2.75 : 1,3.03 : 1,49.10%,51.71%,"18,008","18,905","17'45""","18'32""",51.02%,48.98%,51.40%,51.35%,9.53%,4.49%,12.25%,3.29%
gangplank,54.61%,45.39%,49.16%,50.84%,2.70 : 1,2.57 : 1,47.70%,48.24%,"20,883","28,910","17'41""","15'53""",54.61%,45.39%,51.40%,51.82%,9.53%,0.57%,12.25%,4.44%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,43.31%,56.69%,39.82%,60.18%,2.19 : 1,2.71 : 1,45.11%,43.00%,"17,339","20,723","16'34""","16'32""",43.31%,56.69%,51.40%,50.92%,9.53%,0.75%,12.25%,1.58%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,51.58%,48.42%,48.60%,51.40%,2.65 : 1,2.67 : 1,47.43%,49.11%,"18,797","27,665","17'49""","16'53""",51.58%,48.42%,51.40%,50.23%,9.53%,5.58%,12.25%,3.57%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,52.54%,47.46%,51.78%,48.22%,2.65 : 1,1.73 : 1,49.10%,43.24%,"19,690","23,040","17'46""","14'40""",52.54%,47.46%,51.40%,49.49%,9.53%,2.64%,12.25%,13.67%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
