Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,52.76%,47.24%,55.96%,44.04%,2.47 : 1,1.77 : 1,52.29%,44.29%,"26,467","23,951","15'56""","14'59""",52.76%,47.24%,51.82%,50.19%,4.47%,8.79%,4.51%,3.16%
ashe,57.08%,42.92%,54.80%,45.20%,2.46 : 1,1.99 : 1,52.01%,47.63%,"26,486","19,860","16'5""","15'31""",57.08%,42.92%,51.82%,50.78%,4.47%,5.80%,4.51%,1.53%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,51.21%,48.79%,53.57%,46.43%,2.41 : 1,2.00 : 1,51.14%,44.42%,"26,674","22,540","16'23""","14'24""",51.21%,48.79%,51.82%,49.97%,4.47%,11.11%,4.51%,13.00%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,49.84%,50.16%,46.75%,53.25%,2.24 : 1,2.32 : 1,52.34%,47.78%,"26,754","25,652","16'33""","14'29""",49.84%,50.16%,51.82%,49.40%,4.47%,2.33%,4.51%,0.53%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,50.76%,49.24%,53.73%,46.27%,2.41 : 1,1.94 : 1,53.66%,46.55%,"25,883","23,529","15'54""","14'14""",50.76%,49.24%,51.82%,49.61%,4.47%,4.14%,4.51%,19.14%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,52.87%,47.13%,50.73%,49.27%,2.35 : 1,2.33 : 1,51.45%,47.02%,"27,223","25,636","16'5""","15'7""",52.87%,47.13%,51.82%,48.35%,4.47%,13.64%,4.51%,4.97%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,48.97%,51.03%,49.48%,50.52%,2.51 : 1,2.33 : 1,52.65%,49.27%,"26,482","23,866","16'19""","14'59""",48.97%,51.03%,51.82%,52.20%,4.47%,0.92%,4.51%,3.21%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
