Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,49.40%,50.60%,2.38 : 1,2.53 : 1,47.80%,50.54%,"18,610","17,714",49.40%,50.60%,51.10%,49.91%,2.55%,2.01%,2.85%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,47.97%,52.03%,2.52 : 1,3.13 : 1,48.37%,52.35%,"18,157","18,083",47.97%,52.03%,51.10%,51.24%,2.55%,1.95%,2.85%,3.84%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,47.15%,52.85%,2.40 : 1,2.56 : 1,48.30%,53.88%,"19,362","23,966",47.15%,52.85%,51.10%,52.44%,2.55%,4.00%,2.85%,4.35%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,48.16%,51.84%,2.62 : 1,2.54 : 1,50.51%,52.46%,"19,159","22,051",48.16%,51.84%,51.10%,51.19%,2.55%,5.36%,2.85%,6.05%
drmundo,52.15%,47.85%,2.60 : 1,2.77 : 1,48.76%,47.68%,"24,389","19,641",52.15%,47.85%,51.10%,48.96%,2.55%,1.63%,2.85%,15.25%
draven,,,,,,,,,,,,,,,,
ekko,47.20%,52.80%,2.58 : 1,2.95 : 1,48.50%,52.78%,"18,916","21,408",47.20%,52.80%,51.10%,51.58%,2.55%,6.37%,2.85%,4.76%
elise,48.80%,51.20%,2.46 : 1,2.78 : 1,48.27%,52.59%,"17,343","21,390",48.80%,51.20%,51.10%,50.76%,2.55%,3.31%,2.85%,5.53%
evelynn,43.20%,56.80%,2.44 : 1,3.27 : 1,47.22%,51.27%,"18,414","23,789",43.20%,56.80%,51.10%,50.94%,2.55%,2.70%,2.85%,3.78%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,54.63%,45.37%,2.96 : 1,2.68 : 1,49.39%,51.04%,"20,205","22,081",54.63%,45.37%,51.10%,52.23%,2.55%,3.04%,2.85%,3.29%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,62.86%,37.14%,3.14 : 1,2.53 : 1,50.87%,50.74%,"21,048","20,877",62.86%,37.14%,51.10%,50.85%,2.55%,1.19%,2.85%,1.67%
graves,52.67%,47.33%,2.63 : 1,2.61 : 1,46.49%,52.49%,"18,286","24,296",52.67%,47.33%,51.10%,49.68%,2.55%,5.68%,2.85%,4.40%
gwen,50.98%,49.02%,2.65 : 1,2.26 : 1,46.67%,48.23%,"19,351","22,545",50.98%,49.02%,51.10%,50.89%,2.55%,1.25%,2.85%,8.45%
hecarim,56.13%,43.87%,2.79 : 1,2.90 : 1,49.43%,54.49%,"20,510","19,926",56.13%,43.87%,51.10%,49.85%,2.55%,4.29%,2.85%,4.69%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,51.26%,48.74%,2.59 : 1,4.15 : 1,51.53%,61.18%,"17,605","11,458",51.26%,48.74%,51.10%,51.92%,2.55%,1.46%,2.85%,0.84%
janna,,,,,,,,,,,,,,,,
