Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,53.17%,46.83%,48.39%,51.61%,1.91 : 1,1.72 : 1,38.50%,36.17%,"23,331","20,704","17'4""","16'41""",53.17%,46.83%,52.63%,49.89%,2.77%,10.02%,0.87%,12.27%
ahri,,,,,,,,,,,,,,,,,,,,
akali,58.41%,41.59%,42.82%,57.18%,1.87 : 1,2.03 : 1,39.68%,38.23%,"24,217","23,050","16'51""","17'37""",58.41%,41.59%,52.63%,49.79%,2.77%,1.62%,0.87%,9.86%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,54.00%,46.00%,42.86%,57.14%,1.84 : 1,1.90 : 1,38.10%,40.08%,"23,739","22,106","16'45""","16'45""",54.00%,46.00%,52.63%,51.20%,2.77%,3.70%,0.87%,1.45%
cassiopeia,44.12%,55.88%,55.56%,44.44%,1.93 : 1,1.58 : 1,39.41%,35.74%,"21,712","20,797","16'53""","17'47""",44.12%,55.88%,52.63%,51.66%,2.77%,0.58%,0.87%,1.11%
chogath,50.20%,49.80%,48.51%,51.49%,1.98 : 1,2.10 : 1,38.30%,40.40%,"28,198","23,183","17'19""","16'17""",50.20%,49.80%,52.63%,51.82%,2.77%,3.25%,0.87%,1.00%
corki,,,,,,,,,,,,,,,,,,,,
darius,55.87%,44.13%,48.19%,51.81%,2.01 : 1,1.55 : 1,38.48%,35.48%,"21,924","18,595","16'47""","16'38""",55.87%,44.13%,52.63%,50.12%,2.77%,5.75%,0.87%,13.76%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,51.78%,48.22%,52.95%,47.05%,2.21 : 1,1.65 : 1,39.18%,33.35%,"34,443","23,437","17'13""","15'44""",51.78%,48.22%,52.63%,50.42%,2.77%,7.38%,0.87%,15.72%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,51.52%,48.48%,49.22%,50.78%,1.97 : 1,1.52 : 1,37.13%,34.49%,"24,282","20,956","16'29""","15'41""",51.52%,48.48%,52.63%,51.21%,2.77%,4.68%,0.87%,6.94%
fizz,,,,,,,,,,,,,,,,,,,,
galio,48.00%,52.00%,51.22%,48.78%,2.28 : 1,2.36 : 1,44.96%,43.42%,"27,276","17,989","16'20""","18'43""",48.00%,52.00%,52.63%,48.92%,2.77%,0.54%,0.87%,2.78%
gangplank,51.37%,48.63%,50.13%,49.87%,2.00 : 1,1.97 : 1,38.06%,41.20%,"23,570","25,205","16'57""","16'28""",51.37%,48.63%,52.63%,50.80%,2.77%,4.82%,0.87%,4.80%
garen,58.21%,41.79%,46.84%,53.16%,2.02 : 1,1.78 : 1,37.33%,34.98%,"24,548","19,254","17'6""","16'39""",58.21%,41.79%,52.63%,50.48%,2.77%,3.87%,0.87%,2.31%
gnar,54.68%,45.32%,51.58%,48.42%,2.07 : 1,1.73 : 1,38.62%,36.64%,"21,858","22,273","17'16""","16'29""",54.68%,45.32%,52.63%,49.38%,2.77%,3.22%,0.87%,0.94%
gragas,54.07%,45.93%,44.59%,55.41%,1.91 : 1,2.09 : 1,38.28%,38.12%,"24,923","22,790","17'19""","16'29""",54.07%,45.93%,52.63%,50.80%,2.77%,3.45%,0.87%,1.76%
graves,,,,,,,,,,,,,,,,,,,,
