Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,50.56%,49.44%,55.48%,44.52%,2.53 : 1,1.89 : 1,49.13%,44.86%,"23,262","23,723","15'25""","15'34""",50.56%,49.44%,47.99%,50.17%,5.82%,8.79%,1.76%,3.16%
ashe,48.30%,51.70%,52.74%,47.26%,2.30 : 1,2.20 : 1,47.59%,48.61%,"23,042","21,124","15'28""","15'53""",48.30%,51.70%,47.99%,50.78%,5.82%,5.81%,1.76%,1.53%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,49.30%,50.70%,55.32%,44.68%,2.48 : 1,2.07 : 1,47.77%,44.22%,"24,357","23,007","15'36""","15'8""",49.30%,50.70%,47.99%,49.99%,5.82%,11.12%,1.76%,13.01%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,47.83%,52.17%,49.84%,50.16%,2.24 : 1,2.43 : 1,47.51%,47.94%,"24,626","26,181","16'11""","15'29""",47.83%,52.17%,47.99%,49.42%,5.82%,2.32%,1.76%,0.53%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,49.53%,50.47%,51.60%,48.40%,2.33 : 1,2.08 : 1,50.11%,48.49%,"22,381","23,755","15'48""","14'50""",49.53%,50.47%,47.99%,49.58%,5.82%,4.14%,1.76%,19.14%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,49.30%,50.70%,48.84%,51.16%,2.23 : 1,2.47 : 1,46.21%,47.27%,"23,460","26,136","15'34""","15'23""",49.30%,50.70%,47.99%,48.36%,5.82%,13.64%,1.76%,4.97%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,46.72%,53.28%,50.47%,49.53%,2.29 : 1,2.51 : 1,46.24%,48.87%,"23,877","26,159","16'27""","16'27""",46.72%,53.28%,47.99%,52.36%,5.82%,0.92%,1.76%,3.21%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
