Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,49.11%,50.89%,49.23%,50.77%,2.15 : 1,2.06 : 1,45.41%,47.37%,"22,570","27,845","16'36""","14'43""",49.11%,50.89%,51.67%,50.17%,7.02%,8.79%,4.31%,3.16%
ashe,49.07%,50.93%,48.83%,51.17%,2.12 : 1,2.27 : 1,45.50%,50.39%,"22,876","22,816","16'45""","15'22""",49.07%,50.93%,51.67%,50.78%,7.02%,5.81%,4.31%,1.53%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,49.67%,50.33%,50.11%,49.89%,2.18 : 1,2.13 : 1,44.80%,46.93%,"23,100","25,214","16'57""","14'0""",49.67%,50.33%,51.67%,49.99%,7.02%,11.12%,4.31%,13.01%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,52.29%,47.71%,44.66%,55.34%,2.08 : 1,2.50 : 1,46.17%,50.22%,"23,922","26,393","17'21""","14'41""",52.29%,47.71%,51.67%,49.42%,7.02%,2.32%,4.31%,0.53%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,53.10%,46.90%,48.87%,51.13%,2.23 : 1,2.00 : 1,46.67%,48.15%,"23,139","26,231","17'17""","14'9""",53.10%,46.90%,51.67%,49.58%,7.02%,4.14%,4.31%,19.14%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,54.00%,46.00%,45.95%,54.05%,2.20 : 1,2.50 : 1,46.05%,47.94%,"24,994","27,250","16'48""","14'58""",54.00%,46.00%,51.67%,48.36%,7.02%,13.64%,4.31%,4.97%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,57.24%,42.76%,44.81%,55.19%,2.27 : 1,2.25 : 1,44.87%,48.79%,"23,766","25,516","17'11""","15'3""",57.24%,42.76%,51.67%,52.36%,7.02%,0.92%,4.31%,3.21%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
