Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,50.14%,49.86%,49.09%,50.91%,2.36 : 1,2.66 : 1,43.45%,45.17%,"24,594","22,976","17'47""","17'31""",50.14%,49.86%,50.65%,49.36%,2.90%,7.98%,0.55%,2.84%
akali,52.61%,47.39%,46.34%,53.66%,2.33 : 1,2.52 : 1,44.47%,42.97%,"25,119","24,575","17'35""","18'29""",52.61%,47.39%,50.65%,50.96%,2.90%,6.65%,0.55%,10.21%
akshan,43.13%,56.88%,47.38%,52.62%,2.27 : 1,2.72 : 1,43.71%,51.62%,"24,945","28,268","17'35""","17'41""",43.13%,56.88%,50.65%,52.51%,2.90%,2.44%,0.55%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,50.30%,49.70%,41.67%,58.33%,2.15 : 1,2.99 : 1,44.41%,45.23%,"27,292","23,332","19'0""","17'49""",50.30%,49.70%,50.65%,52.53%,2.90%,2.22%,0.55%,1.85%
annie,49.04%,50.96%,48.67%,51.33%,2.07 : 1,2.51 : 1,42.23%,47.05%,"24,185","25,670","16'20""","18'59""",49.04%,50.96%,50.65%,52.02%,2.90%,2.80%,0.55%,1.17%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,55.22%,44.78%,55.73%,44.27%,2.60 : 1,2.58 : 1,43.80%,48.18%,"26,591","25,945","17'24""","19'29""",55.22%,44.78%,50.65%,51.08%,2.90%,2.10%,0.55%,0.64%
