Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,51.99%,48.01%,55.49%,44.51%,2.45 : 1,2.26 : 1,52.39%,51.58%,51.99%,48.01%,50.23%,51.13%,2.58%,6.20%,0.81%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,34.09%,65.91%,49.67%,50.33%,2.10 : 1,2.53 : 1,48.13%,49.72%,34.09%,65.91%,50.23%,45.34%,2.58%,0.55%,0.81%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,42.93%,57.07%,46.34%,53.66%,2.04 : 1,3.15 : 1,49.42%,55.91%,42.93%,57.07%,50.23%,51.19%,2.58%,5.52%,0.81%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,47.81%,52.19%,47.40%,52.60%,2.04 : 1,2.60 : 1,50.98%,50.93%,47.81%,52.19%,50.23%,50.68%,2.58%,4.92%,0.81%,12.44%
brand,56.86%,43.14%,58.99%,41.01%,2.47 : 1,1.65 : 1,48.78%,43.30%,56.86%,43.14%,50.23%,48.83%,2.58%,1.45%,0.81%,1.11%
braum,49.75%,50.25%,51.59%,48.41%,2.34 : 1,2.79 : 1,52.93%,55.51%,49.75%,50.25%,50.23%,52.40%,2.58%,7.97%,0.81%,14.25%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,50.00%,50.00%,50.47%,49.53%,2.15 : 1,1.96 : 1,49.73%,47.58%,50.00%,50.00%,50.23%,52.50%,2.58%,1.58%,0.81%,5.31%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,53.85%,46.15%,59.79%,40.21%,2.27 : 1,1.92 : 1,49.89%,46.81%,53.85%,46.15%,50.23%,51.17%,2.58%,1.01%,0.81%,3.06%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,57.14%,42.86%,50.53%,49.47%,2.46 : 1,2.51 : 1,51.65%,51.99%,57.14%,42.86%,50.23%,50.99%,2.58%,0.60%,0.81%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,55.77%,44.23%,52.02%,47.98%,2.02 : 1,2.04 : 1,47.04%,46.54%,55.77%,44.23%,50.23%,48.95%,2.58%,0.76%,0.81%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,45.07%,54.93%,47.35%,52.65%,2.09 : 1,3.38 : 1,48.54%,57.05%,45.07%,54.93%,50.23%,52.35%,2.58%,4.94%,0.81%,1.64%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,47.52%,52.48%,48.15%,51.85%,2.18 : 1,2.76 : 1,47.70%,53.11%,47.52%,52.48%,50.23%,50.14%,2.58%,9.40%,0.81%,5.32%
