Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,53.02%,46.98%,46.13%,53.87%,2.43 : 1,2.48 : 1,47.72%,46.24%,"24,968","21,290","17'35""","17'54""",53.02%,46.98%,52.49%,49.36%,2.84%,7.98%,3.51%,2.84%
akali,52.32%,47.68%,51.56%,48.44%,2.42 : 1,2.18 : 1,47.81%,43.15%,"25,818","21,961","16'43""","18'43""",52.32%,47.68%,52.49%,50.96%,2.84%,6.65%,3.51%,10.21%
akshan,52.83%,47.17%,56.56%,43.44%,2.97 : 1,2.20 : 1,50.41%,48.85%,"26,869","23,507","16'43""","18'46""",52.83%,47.17%,52.49%,52.51%,2.84%,2.44%,3.51%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,53.49%,46.51%,46.09%,53.91%,2.37 : 1,2.45 : 1,44.76%,46.90%,"26,424","21,624","17'49""","17'32""",53.49%,46.51%,52.49%,52.53%,2.84%,2.22%,3.51%,1.85%
annie,46.15%,53.85%,51.19%,48.81%,2.08 : 1,2.38 : 1,44.98%,49.33%,"22,951","26,153","16'15""","19'40""",46.15%,53.85%,52.49%,52.02%,2.84%,2.80%,3.51%,1.17%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,41.74%,58.26%,56.53%,43.47%,2.29 : 1,2.78 : 1,48.93%,50.81%,"26,120","23,863","16'48""","18'28""",41.74%,58.26%,52.49%,51.08%,2.84%,2.10%,3.51%,0.64%
azir,51.61%,48.39%,56.68%,43.32%,2.85 : 1,1.85 : 1,48.25%,39.82%,"25,247","22,110","17'48""","17'52""",51.61%,48.39%,52.49%,47.21%,2.84%,2.75%,3.51%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,54.43%,45.57%,54.00%,46.00%,2.56 : 1,1.70 : 1,46.95%,41.11%,"27,510","24,264","17'34""","17'22""",54.43%,45.57%,52.49%,51.17%,2.84%,1.25%,3.51%,1.23%
chogath,43.48%,56.52%,50.82%,49.18%,2.07 : 1,2.48 : 1,44.52%,40.42%,"27,211","24,118","17'45""","21'1""",43.48%,56.52%,52.49%,50.75%,2.84%,0.64%,3.51%,0.90%
corki,66.67%,33.33%,60.24%,39.76%,2.63 : 1,1.76 : 1,45.88%,42.17%,"24,343","23,156","17'54""","15'53""",66.67%,33.33%,52.49%,45.51%,2.84%,0.92%,3.51%,0.49%
darius,,,,,,,,,,,,,,,,,,,,
diana,54.33%,45.67%,51.93%,48.07%,2.41 : 1,1.91 : 1,46.54%,45.14%,"23,644","23,390","17'23""","16'9""",54.33%,45.67%,52.49%,51.84%,2.84%,4.20%,3.51%,6.02%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,50.42%,49.58%,49.48%,50.52%,2.44 : 1,2.22 : 1,47.84%,44.96%,"26,258","23,055","17'57""","17'21""",50.42%,49.58%,52.49%,51.10%,2.84%,3.16%,3.51%,4.70%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,54.84%,45.16%,45.83%,54.17%,2.19 : 1,2.20 : 1,46.89%,46.28%,"25,943","22,045","16'15""","17'31""",54.84%,45.16%,52.49%,50.29%,2.84%,2.70%,3.51%,3.07%
galio,58.75%,41.25%,52.02%,47.98%,2.66 : 1,2.55 : 1,48.09%,50.56%,"22,879","17,918","17'15""","18'32""",58.75%,41.25%,52.49%,51.41%,2.84%,4.48%,3.51%,3.29%
gangplank,56.60%,43.40%,50.52%,49.48%,2.45 : 1,2.36 : 1,45.57%,45.04%,"24,837","23,241","18'56""","17'9""",56.60%,43.40%,52.49%,51.89%,2.84%,0.57%,3.51%,4.43%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,52.38%,47.62%,54.41%,45.59%,2.53 : 1,2.13 : 1,46.54%,40.47%,"20,791","16,898","16'57""","17'8""",52.38%,47.62%,52.49%,50.89%,2.84%,0.75%,3.51%,1.59%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,51.44%,48.56%,51.86%,48.14%,2.41 : 1,2.39 : 1,46.23%,46.79%,"23,726","26,259","18'1""","17'6""",51.44%,48.56%,52.49%,50.25%,2.84%,5.57%,3.51%,3.56%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,52.79%,47.21%,54.89%,45.11%,2.40 : 1,1.57 : 1,49.13%,41.99%,"25,249","20,263","16'51""","16'12""",52.79%,47.21%,52.49%,49.57%,2.84%,2.64%,3.51%,13.67%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
