Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,50.00%,50.00%,2.55 : 1,2.52 : 1,50.27%,51.93%,"17,465","17,397",50.00%,50.00%,48.37%,49.87%,4.67%,2.01%,2.15%,1.32%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,50.78%,49.22%,2.80 : 1,2.72 : 1,52.34%,53.36%,"14,619","14,756",50.78%,49.22%,48.37%,51.24%,4.67%,1.95%,2.15%,3.84%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,45.12%,54.88%,2.42 : 1,2.53 : 1,52.90%,53.99%,"17,815","22,462",45.12%,54.88%,48.37%,52.46%,4.67%,4.00%,2.15%,4.36%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,46.99%,53.01%,2.54 : 1,2.53 : 1,52.40%,52.29%,"17,098","21,873",46.99%,53.01%,48.37%,51.20%,4.67%,5.36%,2.15%,6.05%
drmundo,50.00%,50.00%,2.47 : 1,2.87 : 1,48.24%,50.11%,"18,449","20,975",50.00%,50.00%,48.37%,48.94%,4.67%,1.63%,2.15%,15.26%
draven,,,,,,,,,,,,,,,,
ekko,47.38%,52.62%,2.54 : 1,2.95 : 1,50.65%,53.73%,"16,675","20,606",47.38%,52.62%,48.37%,51.57%,4.67%,6.37%,2.15%,4.76%
elise,45.73%,54.27%,2.32 : 1,2.88 : 1,50.76%,52.86%,"15,727","20,228",45.73%,54.27%,48.37%,50.74%,4.67%,3.30%,2.15%,5.52%
evelynn,47.91%,52.09%,2.50 : 1,3.20 : 1,49.67%,53.62%,"17,222","23,479",47.91%,52.09%,48.37%,50.97%,4.67%,2.70%,2.15%,3.78%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,49.03%,50.97%,2.52 : 1,2.96 : 1,51.17%,52.32%,"17,543","20,671",49.03%,50.97%,48.37%,52.18%,4.67%,3.04%,2.15%,3.29%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,42.76%,57.24%,2.30 : 1,3.02 : 1,49.71%,52.10%,"15,617","20,223",42.76%,57.24%,48.37%,50.92%,4.67%,1.19%,2.15%,1.67%
graves,48.13%,51.87%,2.46 : 1,2.67 : 1,48.54%,53.10%,"16,081","23,194",48.13%,51.87%,48.37%,49.69%,4.67%,5.68%,2.15%,4.39%
gwen,54.55%,45.45%,2.58 : 1,2.66 : 1,48.83%,54.69%,"16,386","23,776",54.55%,45.45%,48.37%,50.94%,4.67%,1.25%,2.15%,8.45%
hecarim,47.42%,52.58%,2.62 : 1,2.96 : 1,51.91%,54.80%,"17,854","20,582",47.42%,52.58%,48.37%,49.85%,4.67%,4.29%,2.15%,4.69%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,42.11%,57.89%,2.23 : 1,5.00 : 1,49.29%,61.27%,"13,520","10,822",42.11%,57.89%,48.37%,51.89%,4.67%,1.46%,2.15%,0.84%
janna,,,,,,,,,,,,,,,,
