Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,50.40%,49.60%,2.68 : 1,2.56 : 1,52.53%,52.02%,"19,553","17,608",50.40%,49.60%,49.32%,49.87%,14.05%,2.01%,11.02%,1.32%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,48.10%,51.90%,2.62 : 1,2.94 : 1,52.16%,53.82%,"16,702","16,168",48.10%,51.90%,49.32%,51.24%,14.05%,1.95%,11.02%,3.84%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,50.30%,49.70%,2.63 : 1,2.42 : 1,52.90%,53.42%,"20,441","22,363",50.30%,49.70%,49.32%,52.46%,14.05%,4.00%,11.02%,4.36%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,50.71%,49.29%,2.93 : 1,2.43 : 1,53.53%,52.35%,"19,715","21,071",50.71%,49.29%,49.32%,51.20%,14.05%,5.36%,11.02%,6.05%
drmundo,53.11%,46.89%,3.03 : 1,2.53 : 1,52.69%,47.56%,"22,036","19,422",53.11%,46.89%,49.32%,48.94%,14.05%,1.63%,11.02%,15.26%
draven,,,,,,,,,,,,,,,,
ekko,46.60%,53.40%,2.63 : 1,2.94 : 1,52.16%,53.15%,"18,959","20,628",46.60%,53.40%,49.32%,51.57%,14.05%,6.37%,11.02%,4.76%
elise,45.55%,54.45%,2.46 : 1,2.90 : 1,51.56%,53.73%,"17,009","20,815",45.55%,54.45%,49.32%,50.74%,14.05%,3.30%,11.02%,5.52%
evelynn,48.31%,51.69%,2.52 : 1,3.08 : 1,51.40%,53.29%,"18,614","22,957",48.31%,51.69%,49.32%,50.97%,14.05%,2.70%,11.02%,3.78%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,45.28%,54.72%,2.57 : 1,2.84 : 1,51.60%,51.57%,"18,882","20,777",45.28%,54.72%,49.32%,52.18%,14.05%,3.04%,11.02%,3.29%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,49.23%,50.77%,2.56 : 1,2.91 : 1,50.99%,51.08%,"19,027","21,049",49.23%,50.77%,49.32%,50.92%,14.05%,1.19%,11.02%,1.67%
graves,50.58%,49.42%,2.65 : 1,2.62 : 1,50.68%,52.51%,"17,827","21,762",50.58%,49.42%,49.32%,49.69%,14.05%,5.68%,11.02%,4.39%
gwen,47.52%,52.48%,2.77 : 1,2.53 : 1,51.84%,49.86%,"18,831","21,942",47.52%,52.48%,49.32%,50.94%,14.05%,1.25%,11.02%,8.45%
hecarim,48.44%,51.56%,2.54 : 1,2.99 : 1,52.09%,54.78%,"18,850","19,654",48.44%,51.56%,49.32%,49.85%,14.05%,4.29%,11.02%,4.69%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,47.58%,52.42%,2.63 : 1,4.17 : 1,51.87%,60.64%,"16,603","11,079",47.58%,52.42%,49.32%,51.89%,14.05%,1.46%,11.02%,0.84%
janna,,,,,,,,,,,,,,,,
