Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,51.70%,48.30%,42.45%,57.55%,2.20 : 1,2.86 : 1,42.98%,46.29%,"26,627","21,563","17'40""","18'27""",51.70%,48.30%,49.75%,49.36%,5.70%,7.98%,4.21%,2.84%
akali,45.28%,54.72%,39.96%,60.04%,1.95 : 1,2.71 : 1,41.80%,44.02%,"25,314","23,980","17'32""","18'48""",45.28%,54.72%,49.75%,50.96%,5.70%,6.65%,4.21%,10.21%
akshan,46.32%,53.68%,49.24%,50.76%,2.23 : 1,2.49 : 1,43.38%,48.24%,"25,797","24,176","17'35""","17'27""",46.32%,53.68%,49.75%,52.51%,5.70%,2.44%,4.21%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,48.39%,51.61%,39.32%,60.68%,2.12 : 1,2.93 : 1,42.21%,44.39%,"28,215","21,051","19'18""","18'7""",48.39%,51.61%,49.75%,52.53%,5.70%,2.22%,4.21%,1.85%
annie,51.97%,48.03%,49.80%,50.20%,2.23 : 1,2.23 : 1,43.26%,45.71%,"24,947","22,579","16'12""","18'42""",51.97%,48.03%,49.75%,52.02%,5.70%,2.80%,4.21%,1.17%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,52.25%,47.75%,49.71%,50.29%,2.46 : 1,2.76 : 1,43.24%,50.21%,"28,005","24,242","16'54""","20'12""",52.25%,47.75%,49.75%,51.08%,5.70%,2.10%,4.21%,0.64%
azir,55.20%,44.80%,50.07%,49.93%,2.51 : 1,2.00 : 1,44.90%,41.30%,"27,688","22,036","17'2""","18'30""",55.20%,44.80%,49.75%,47.21%,5.70%,2.75%,4.21%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
