Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,53.58%,46.42%,48.38%,51.62%,2.45 : 1,2.62 : 1,42.15%,44.42%,"26,132","24,780","18'4""","17'7""",53.58%,46.42%,51.41%,49.36%,4.55%,7.98%,10.55%,2.84%
akali,49.41%,50.59%,46.82%,53.18%,2.12 : 1,2.32 : 1,41.29%,41.74%,"26,704","26,625","17'26""","17'42""",49.41%,50.59%,51.41%,50.96%,4.55%,6.65%,10.55%,10.21%
akshan,47.24%,52.76%,53.26%,46.74%,2.42 : 1,2.36 : 1,41.84%,47.07%,"26,195","28,016","17'31""","17'33""",47.24%,52.76%,51.41%,52.51%,4.55%,2.44%,10.55%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,42.97%,57.03%,39.38%,60.62%,2.11 : 1,3.16 : 1,40.95%,44.85%,"27,684","25,426","19'53""","17'4""",42.97%,57.03%,51.41%,52.53%,4.55%,2.22%,10.55%,1.85%
annie,51.19%,48.81%,52.48%,47.52%,2.17 : 1,2.28 : 1,41.43%,46.74%,"25,613","27,888","16'41""","18'10""",51.19%,48.81%,51.41%,52.02%,4.55%,2.80%,10.55%,1.17%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,47.97%,52.03%,57.64%,42.36%,2.48 : 1,2.83 : 1,43.27%,49.79%,"27,392","29,332","16'45""","18'55""",47.97%,52.03%,51.41%,51.08%,4.55%,2.10%,10.55%,0.64%
azir,52.60%,47.40%,57.81%,42.19%,2.69 : 1,1.91 : 1,43.39%,40.29%,"26,714","29,167","17'41""","16'56""",52.60%,47.40%,51.41%,47.21%,4.55%,2.75%,10.55%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,43.25%,56.75%,53.64%,46.36%,2.33 : 1,2.08 : 1,42.41%,42.18%,"26,357","27,797","17'45""","17'29""",43.25%,56.75%,51.41%,51.17%,4.55%,1.25%,10.55%,1.23%
chogath,59.77%,40.23%,52.68%,47.32%,2.53 : 1,2.05 : 1,42.00%,43.50%,"30,448","26,845","19'22""","17'44""",59.77%,40.23%,51.41%,50.75%,4.55%,0.64%,10.55%,0.90%
corki,60.92%,39.08%,58.06%,41.94%,2.75 : 1,1.79 : 1,42.70%,41.23%,"24,785","26,676","21'8""","15'6""",60.92%,39.08%,51.41%,45.51%,4.55%,0.92%,10.55%,0.49%
darius,,,,,,,,,,,,,,,,,,,,
diana,50.55%,49.45%,50.46%,49.54%,2.22 : 1,1.94 : 1,43.25%,44.13%,"25,251","27,676","17'53""","15'28""",50.55%,49.45%,51.41%,51.84%,4.55%,4.20%,10.55%,6.02%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,52.87%,47.13%,48.90%,51.10%,2.39 : 1,2.23 : 1,42.37%,42.54%,"27,451","25,380","18'4""","16'16""",52.87%,47.13%,51.41%,51.10%,4.55%,3.16%,10.55%,4.70%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
