Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,51.91%,48.09%,2.73 : 1,2.43 : 1,52.12%,51.84%,"20,308","17,194",51.91%,48.09%,52.07%,49.87%,3.88%,2.01%,4.50%,1.32%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,51.32%,48.68%,2.80 : 1,2.76 : 1,50.92%,53.11%,"17,600","17,526",51.32%,48.68%,52.07%,51.24%,3.88%,1.95%,4.50%,3.84%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,51.47%,48.53%,2.59 : 1,2.40 : 1,52.39%,53.60%,"19,790","22,846",51.47%,48.53%,52.07%,52.46%,3.88%,4.00%,4.50%,4.36%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,54.36%,45.64%,2.85 : 1,2.35 : 1,51.87%,50.92%,"19,306","21,488",54.36%,45.64%,52.07%,51.20%,3.88%,5.36%,4.50%,6.05%
drmundo,52.20%,47.80%,2.72 : 1,3.05 : 1,50.77%,51.68%,"22,314","22,517",52.20%,47.80%,52.07%,48.94%,3.88%,1.63%,4.50%,15.26%
draven,,,,,,,,,,,,,,,,
ekko,44.67%,55.33%,2.38 : 1,3.26 : 1,48.75%,53.52%,"18,151","22,594",44.67%,55.33%,52.07%,51.57%,3.88%,6.37%,4.50%,4.76%
elise,52.92%,47.08%,2.62 : 1,2.69 : 1,50.26%,52.70%,"17,410","21,141",52.92%,47.08%,52.07%,50.74%,3.88%,3.30%,4.50%,5.52%
evelynn,51.52%,48.48%,2.40 : 1,3.29 : 1,47.89%,54.55%,"17,230","24,870",51.52%,48.48%,52.07%,50.97%,3.88%,2.70%,4.50%,3.78%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,56.65%,43.35%,3.01 : 1,2.65 : 1,52.54%,53.04%,"20,104","21,536",56.65%,43.35%,52.07%,52.18%,3.88%,3.04%,4.50%,3.29%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,47.56%,52.44%,2.58 : 1,3.12 : 1,50.70%,52.17%,"17,410","20,937",47.56%,52.44%,52.07%,50.92%,3.88%,1.19%,4.50%,1.67%
graves,49.88%,50.12%,2.54 : 1,2.58 : 1,46.95%,52.68%,"16,263","23,406",49.88%,50.12%,52.07%,49.69%,3.88%,5.68%,4.50%,4.39%
gwen,54.55%,45.45%,2.65 : 1,2.51 : 1,47.83%,51.24%,"17,480","23,193",54.55%,45.45%,52.07%,50.94%,3.88%,1.25%,4.50%,8.45%
hecarim,51.77%,48.23%,2.75 : 1,2.91 : 1,51.50%,55.66%,"19,988","20,838",51.77%,48.23%,52.07%,49.85%,3.88%,4.29%,4.50%,4.69%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,47.65%,52.35%,2.35 : 1,4.07 : 1,49.35%,60.08%,"15,923","11,830",47.65%,52.35%,52.07%,51.89%,3.88%,1.46%,4.50%,0.84%
janna,,,,,,,,,,,,,,,,
