Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,51.55%,48.45%,2.56 : 1,2.40 : 1,53.76%,50.93%,"20,399","18,997",51.55%,48.45%,52.87%,49.87%,3.28%,2.01%,4.82%,1.32%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,49.40%,50.60%,2.61 : 1,2.60 : 1,53.88%,52.00%,"17,206","16,167",49.40%,50.60%,52.87%,51.24%,3.28%,1.95%,4.82%,3.84%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,50.76%,49.24%,2.40 : 1,2.39 : 1,54.36%,54.03%,"20,041","24,015",50.76%,49.24%,52.87%,52.46%,3.28%,4.00%,4.82%,4.36%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,55.26%,44.74%,2.83 : 1,2.32 : 1,55.06%,53.19%,"20,412","22,881",55.26%,44.74%,52.87%,51.20%,3.28%,5.36%,4.82%,6.05%
drmundo,53.91%,46.09%,2.70 : 1,2.84 : 1,52.18%,49.00%,"21,474","20,414",53.91%,46.09%,52.87%,48.94%,3.28%,1.63%,4.82%,15.26%
draven,,,,,,,,,,,,,,,,
ekko,45.19%,54.81%,2.45 : 1,2.94 : 1,52.99%,54.15%,"18,071","22,551",45.19%,54.81%,52.87%,51.57%,3.28%,6.37%,4.82%,4.76%
elise,53.49%,46.51%,2.38 : 1,2.82 : 1,52.85%,53.91%,"16,917","21,681",53.49%,46.51%,52.87%,50.74%,3.28%,3.30%,4.82%,5.52%
evelynn,48.35%,51.65%,2.35 : 1,3.05 : 1,52.62%,53.79%,"18,594","25,441",48.35%,51.65%,52.87%,50.97%,3.28%,2.70%,4.82%,3.78%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,51.00%,49.00%,2.59 : 1,2.78 : 1,53.16%,53.09%,"19,108","22,126",51.00%,49.00%,52.87%,52.18%,3.28%,3.04%,4.82%,3.29%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,46.43%,53.57%,2.44 : 1,2.87 : 1,51.80%,53.02%,"17,260","23,281",46.43%,53.57%,52.87%,50.92%,3.28%,1.19%,4.82%,1.67%
graves,59.13%,40.87%,2.68 : 1,2.32 : 1,51.64%,52.35%,"16,883","22,291",59.13%,40.87%,52.87%,49.69%,3.28%,5.68%,4.82%,4.39%
gwen,59.43%,40.57%,2.76 : 1,2.30 : 1,52.74%,52.12%,"19,412","24,182",59.43%,40.57%,52.87%,50.94%,3.28%,1.25%,4.82%,8.45%
hecarim,50.60%,49.40%,2.37 : 1,2.95 : 1,51.56%,56.32%,"18,075","21,125",50.60%,49.40%,52.87%,49.85%,3.28%,4.29%,4.82%,4.69%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,42.73%,57.27%,2.18 : 1,4.46 : 1,50.61%,64.57%,"14,202","12,498",42.73%,57.27%,52.87%,51.89%,3.28%,1.46%,4.82%,0.84%
janna,,,,,,,,,,,,,,,,
