Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,53.23%,46.77%,56.77%,43.23%,2.61 : 1,1.91 : 1,47.77%,45.32%,"22,371","24,171","15'14""","15'25""",53.23%,46.77%,51.45%,50.20%,5.90%,8.78%,1.04%,3.16%
ashe,49.50%,50.50%,51.98%,48.02%,2.43 : 1,2.26 : 1,47.30%,48.89%,"22,784","21,512","15'25""","15'38""",49.50%,50.50%,51.45%,50.75%,5.90%,5.81%,1.04%,1.53%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,50.25%,49.75%,53.59%,46.41%,2.39 : 1,2.21 : 1,46.26%,46.27%,"23,732","25,009","15'40""","14'59""",50.25%,49.75%,51.45%,49.94%,5.90%,11.14%,1.04%,13.04%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,54.29%,45.71%,48.34%,51.66%,2.36 : 1,2.44 : 1,47.30%,49.69%,"23,852","25,726","15'35""","15'17""",54.29%,45.71%,51.45%,49.36%,5.90%,2.32%,1.04%,0.53%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,54.77%,45.23%,54.62%,45.38%,2.50 : 1,1.95 : 1,48.99%,46.02%,"23,077","23,921","15'35""","15'12""",54.77%,45.23%,51.45%,49.56%,5.90%,4.15%,1.04%,19.12%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,53.74%,46.26%,49.49%,50.51%,2.41 : 1,2.56 : 1,46.35%,47.59%,"23,796","27,014","15'32""","15'24""",53.74%,46.26%,51.45%,48.37%,5.90%,13.63%,1.04%,4.96%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,40.17%,59.83%,45.27%,54.73%,2.10 : 1,2.98 : 1,45.94%,51.85%,"23,070","27,240","15'58""","15'12""",40.17%,59.83%,51.45%,52.26%,5.90%,0.92%,1.04%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
