Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,47.81%,52.19%,52.70%,47.30%,2.91 : 1,2.59 : 1,50.54%,45.34%,"27,610","21,503","17'19""","18'29""",47.81%,52.19%,51.68%,49.35%,4.27%,7.98%,4.99%,2.84%
akali,49.92%,50.08%,47.80%,52.20%,2.85 : 1,2.56 : 1,48.79%,44.24%,"26,565","23,987","17'34""","18'52""",49.92%,50.08%,51.68%,51.00%,4.27%,6.64%,4.99%,10.23%
akshan,43.85%,56.15%,52.80%,47.20%,2.74 : 1,2.41 : 1,49.31%,48.58%,"26,553","25,640","17'29""","17'59""",43.85%,56.15%,51.68%,52.58%,4.27%,2.44%,4.99%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,47.31%,52.69%,50.06%,49.94%,3.04 : 1,2.57 : 1,50.92%,42.93%,"30,194","19,148","17'32""","18'31""",47.31%,52.69%,51.68%,52.41%,4.27%,2.22%,4.99%,1.85%
annie,51.81%,48.19%,54.72%,45.28%,2.97 : 1,2.15 : 1,48.79%,45.71%,"26,937","23,077","15'58""","18'52""",51.81%,48.19%,51.68%,52.05%,4.27%,2.81%,4.99%,1.17%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,56.83%,43.17%,61.43%,38.57%,3.53 : 1,2.33 : 1,50.29%,49.01%,"29,543","22,043","16'4""","20'47""",56.83%,43.17%,51.68%,51.11%,4.27%,2.10%,4.99%,0.64%
azir,53.54%,46.46%,62.39%,37.61%,3.42 : 1,1.74 : 1,50.69%,38.82%,"29,025","20,734","16'48""","18'42""",53.54%,46.46%,51.68%,47.18%,4.27%,2.74%,4.99%,0.53%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,54.72%,45.28%,63.41%,36.59%,3.38 : 1,1.71 : 1,50.94%,40.96%,"30,238","21,281","16'13""","19'36""",54.72%,45.28%,51.68%,51.04%,4.27%,1.25%,4.99%,1.23%
chogath,54.55%,45.45%,55.77%,44.23%,3.20 : 1,2.25 : 1,48.79%,41.96%,"31,471","22,014","17'15""","18'40""",54.55%,45.45%,51.68%,50.80%,4.27%,0.65%,4.99%,0.90%
corki,55.66%,44.34%,61.13%,38.87%,3.75 : 1,1.79 : 1,52.09%,41.49%,"28,250","21,239","17'5""","16'28""",55.66%,44.34%,51.68%,45.53%,4.27%,0.92%,4.99%,0.49%
darius,,,,,,,,,,,,,,,,,,,,
diana,45.43%,54.57%,53.63%,46.37%,2.78 : 1,2.16 : 1,48.85%,44.52%,"23,861","23,267","17'43""","16'50""",45.43%,54.57%,51.68%,51.83%,4.27%,4.20%,4.99%,6.02%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,47.09%,52.91%,49.18%,50.82%,2.93 : 1,2.35 : 1,48.30%,42.88%,"26,532","21,776","17'27""","17'33""",47.09%,52.91%,51.68%,51.08%,4.27%,3.17%,4.99%,4.70%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,50.48%,49.52%,42.18%,57.82%,2.47 : 1,2.38 : 1,47.46%,45.04%,"25,045","22,661","17'43""","17'10""",50.48%,49.52%,51.68%,50.26%,4.27%,2.70%,4.99%,3.07%
galio,48.51%,51.49%,54.92%,45.08%,3.43 : 1,2.79 : 1,52.15%,48.94%,"25,839","18,506","18'4""","19'17""",48.51%,51.49%,51.68%,51.43%,4.27%,4.48%,4.99%,3.29%
gangplank,35.71%,64.29%,54.55%,45.45%,3.50 : 1,2.85 : 1,49.75%,47.78%,"26,522","23,885","17'23""","18'6""",35.71%,64.29%,51.68%,51.94%,4.27%,0.57%,4.99%,4.42%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,49.25%,50.75%,56.47%,43.53%,3.08 : 1,2.08 : 1,50.21%,41.65%,"28,748","21,932","16'41""","18'33""",49.25%,50.75%,51.68%,51.00%,4.27%,0.75%,4.99%,1.59%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,52.83%,47.17%,59.60%,40.40%,3.33 : 1,2.18 : 1,49.69%,43.72%,"29,033","24,429","17'37""","18'22""",52.83%,47.17%,51.68%,50.23%,4.27%,5.57%,4.99%,3.56%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,50.78%,49.22%,52.03%,47.97%,2.95 : 1,1.74 : 1,49.43%,42.80%,"26,452","22,846","18'30""","15'48""",50.78%,49.22%,51.68%,49.59%,4.27%,2.64%,4.99%,13.66%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,55.77%,44.23%,54.78%,45.22%,3.18 : 1,2.05 : 1,48.88%,45.76%,"26,301","23,869","16'6""","17'33""",55.77%,44.23%,51.68%,48.97%,4.27%,0.93%,4.99%,7.61%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,51.63%,48.37%,56.51%,43.49%,3.11 : 1,2.39 : 1,48.63%,43.35%,"26,799","20,874","16'26""","19'0""",51.63%,48.37%,51.68%,50.42%,4.27%,2.49%,4.99%,2.53%
katarina,48.76%,51.24%,48.86%,51.14%,2.77 : 1,2.55 : 1,49.54%,50.59%,"26,695","26,345","17'22""","18'18""",48.76%,51.24%,51.68%,51.62%,4.27%,5.92%,4.99%,6.89%
kayle,51.74%,48.26%,59.52%,40.48%,3.65 : 1,1.99 : 1,49.46%,41.23%,"29,523","20,044","16'30""","20'52""",51.74%,48.26%,51.68%,52.14%,4.27%,1.64%,4.99%,4.58%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,47.42%,52.58%,55.20%,44.80%,2.94 : 1,2.11 : 1,50.44%,42.36%,"24,676","21,692","16'36""","19'7""",47.42%,52.58%,51.68%,52.32%,4.27%,1.03%,4.99%,1.92%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,,,,,
leblanc,46.37%,53.63%,41.86%,58.14%,2.41 : 1,2.76 : 1,47.15%,45.64%,"25,151","24,145","17'25""","18'48""",46.37%,53.63%,51.68%,50.73%,4.27%,5.21%,4.99%,21.50%
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,56.95%,43.05%,51.23%,48.77%,3.05 : 1,2.18 : 1,51.13%,45.31%,"28,584","19,482","16'47""","17'49""",56.95%,43.05%,51.68%,51.94%,4.27%,3.20%,4.99%,1.49%
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,52.67%,47.33%,57.35%,42.65%,3.17 : 1,2.34 : 1,49.03%,46.02%,"28,459","23,715","18'8""","18'7""",52.67%,47.33%,51.68%,51.34%,4.27%,4.05%,4.99%,3.19%
malphite,50.00%,50.00%,51.49%,48.51%,3.17 : 1,2.82 : 1,50.54%,46.17%,"28,730","22,110","17'13""","19'30""",50.00%,50.00%,51.68%,53.10%,4.27%,0.80%,4.99%,7.96%
malzahar,51.68%,48.32%,63.58%,36.42%,3.68 : 1,2.03 : 1,50.73%,41.47%,"28,613","21,676","17'45""","17'17""",51.68%,48.32%,51.68%,51.25%,4.27%,5.01%,4.99%,6.89%
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,,,,,,,,,,,,,,,,,,,,
morgana,52.83%,47.17%,56.20%,43.80%,3.03 : 1,2.67 : 1,49.58%,45.35%,"27,487","19,700","18'12""","18'35""",52.83%,47.17%,51.68%,51.72%,4.27%,0.51%,4.99%,8.43%
naafiri,36.76%,63.24%,45.50%,54.50%,2.55 : 1,2.57 : 1,49.67%,46.06%,"23,111","22,534","17'35""","17'18""",36.76%,63.24%,51.68%,52.06%,4.27%,0.68%,4.99%,12.51%
nami,,,,,,,,,,,,,,,,,,,,
nasus,,,,,,,,,,,,,,,,,,,,
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,38.57%,61.43%,50.95%,49.05%,2.69 : 1,2.60 : 1,50.46%,44.64%,"26,393","20,864","17'43""","17'26""",38.57%,61.43%,51.68%,52.41%,4.27%,0.66%,4.99%,1.68%
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,,,,,,,,,,,,,,,,,,,,
orianna,51.17%,48.83%,58.56%,41.44%,3.14 : 1,2.52 : 1,49.70%,47.50%,"26,635","20,440","17'34""","18'40""",51.17%,48.83%,51.68%,50.22%,4.27%,5.25%,4.99%,1.34%
ornn,,,,,,,,,,,,,,,,,,,,
pantheon,,,,,,,,,,,,,,,,,,,,
poppy,,,,,,,,,,,,,,,,,,,,
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,50.41%,49.59%,48.26%,51.74%,2.71 : 1,2.21 : 1,49.65%,45.89%,"27,577","24,876","17'32""","17'53""",50.41%,49.59%,51.68%,51.46%,4.27%,2.44%,4.99%,1.07%
quinn,40.74%,59.26%,50.00%,50.00%,3.12 : 1,2.49 : 1,50.39%,50.00%,"26,190","25,034","18'29""","20'4""",40.74%,59.26%,51.68%,53.99%,4.27%,0.68%,4.99%,1.71%
