Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,54.75%,45.25%,2.63 : 1,2.34 : 1,52.28%,52.50%,"20,398","18,060",54.75%,45.25%,50.94%,49.87%,6.04%,2.01%,4.13%,1.32%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,49.30%,50.70%,2.75 : 1,2.76 : 1,53.89%,54.18%,"19,413","17,076",49.30%,50.70%,50.94%,51.25%,6.04%,1.95%,4.13%,3.84%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,46.03%,53.97%,2.48 : 1,2.46 : 1,52.84%,54.50%,"20,430","23,115",46.03%,53.97%,50.94%,52.46%,6.04%,4.01%,4.13%,4.37%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,52.03%,47.97%,2.87 : 1,2.33 : 1,54.18%,53.23%,"20,439","22,215",52.03%,47.97%,50.94%,51.19%,6.04%,5.36%,4.13%,6.06%
drmundo,59.13%,40.87%,2.88 : 1,2.63 : 1,52.62%,50.64%,"22,672","20,693",59.13%,40.87%,50.94%,48.96%,6.04%,1.63%,4.13%,15.25%
draven,,,,,,,,,,,,,,,,
ekko,50.05%,49.95%,2.55 : 1,2.91 : 1,52.10%,54.78%,"20,023","21,579",50.05%,49.95%,50.94%,51.56%,6.04%,6.37%,4.13%,4.76%
elise,53.23%,46.77%,2.66 : 1,2.61 : 1,53.30%,53.22%,"19,483","20,761",53.23%,46.77%,50.94%,50.73%,6.04%,3.30%,4.13%,5.50%
evelynn,50.40%,49.60%,2.60 : 1,2.83 : 1,52.23%,53.31%,"20,080","22,909",50.40%,49.60%,50.94%,50.97%,6.04%,2.70%,4.13%,3.78%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,52.78%,47.22%,2.79 : 1,2.70 : 1,53.23%,52.70%,"20,809","20,599",52.78%,47.22%,50.94%,52.25%,6.04%,3.04%,4.13%,3.30%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,46.51%,53.49%,2.35 : 1,2.77 : 1,51.93%,51.51%,"20,128","22,295",46.51%,53.49%,50.94%,50.88%,6.04%,1.19%,4.13%,1.67%
graves,51.99%,48.01%,2.61 : 1,2.53 : 1,50.31%,53.77%,"19,053","23,581",51.99%,48.01%,50.94%,49.69%,6.04%,5.68%,4.13%,4.41%
gwen,47.78%,52.22%,2.46 : 1,2.60 : 1,50.10%,51.80%,"18,694","23,362",47.78%,52.22%,50.94%,50.91%,6.04%,1.25%,4.13%,8.45%
hecarim,49.13%,50.87%,2.50 : 1,2.94 : 1,51.88%,55.50%,"19,553","20,519",49.13%,50.87%,50.94%,49.87%,6.04%,4.29%,4.13%,4.68%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,50.23%,49.77%,2.36 : 1,4.10 : 1,51.18%,64.10%,"18,137","12,352",50.23%,49.77%,50.94%,51.86%,6.04%,1.47%,4.13%,0.84%
janna,,,,,,,,,,,,,,,,
