Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,53.41%,46.59%,42.96%,57.04%,1.77 : 1,2.69 : 1,39.67%,45.14%,"21,502","20,969","16'29""","17'40""",53.41%,46.59%,50.32%,49.35%,7.66%,7.98%,20.01%,2.84%
akali,49.33%,50.67%,40.33%,59.67%,1.56 : 1,2.55 : 1,39.53%,45.26%,"23,114","25,044","16'29""","18'11""",49.33%,50.67%,50.32%,51.00%,7.66%,6.64%,20.01%,10.23%
akshan,52.00%,48.00%,47.30%,52.70%,1.90 : 1,2.44 : 1,41.42%,47.87%,"23,186","23,750","16'14""","17'45""",52.00%,48.00%,50.32%,52.58%,7.66%,2.44%,20.01%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,40.83%,59.17%,37.45%,62.55%,1.52 : 1,3.21 : 1,39.24%,45.47%,"22,394","21,243","16'51""","17'37""",40.83%,59.17%,50.32%,52.41%,7.66%,2.22%,20.01%,1.85%
annie,46.57%,53.43%,44.75%,55.25%,1.51 : 1,2.45 : 1,37.55%,47.61%,"18,606","24,711","16'33""","18'17""",46.57%,53.43%,50.32%,52.05%,7.66%,2.81%,20.01%,1.17%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,45.19%,54.81%,49.37%,50.63%,1.81 : 1,3.01 : 1,40.38%,51.01%,"23,782","25,769","16'26""","19'41""",45.19%,54.81%,50.32%,51.11%,7.66%,2.10%,20.01%,0.64%
azir,48.67%,51.33%,44.11%,55.89%,1.70 : 1,2.28 : 1,38.98%,43.04%,"20,398","25,218","17'0""","17'19""",48.67%,51.33%,50.32%,47.18%,7.66%,2.74%,20.01%,0.53%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
