Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,44.56%,55.44%,41.71%,58.29%,1.65 : 1,2.90 : 1,37.84%,45.41%,"22,333","24,925","17'24""","17'0""",44.56%,55.44%,47.06%,49.35%,4.78%,7.98%,4.78%,2.84%
akali,42.99%,57.01%,38.19%,61.81%,1.47 : 1,2.62 : 1,37.99%,43.89%,"22,421","27,133","17'41""","17'39""",42.99%,57.01%,47.06%,51.00%,4.78%,6.64%,4.78%,10.23%
akshan,45.33%,54.67%,41.88%,58.12%,1.63 : 1,2.92 : 1,37.26%,51.14%,"21,238","28,512","16'56""","16'47""",45.33%,54.67%,47.06%,52.58%,4.78%,2.44%,4.78%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,42.75%,57.25%,34.67%,65.33%,1.54 : 1,3.25 : 1,36.60%,44.56%,"22,628","21,992","16'11""","16'40""",42.75%,57.25%,47.06%,52.41%,4.78%,2.22%,4.78%,1.85%
annie,42.22%,57.78%,43.15%,56.85%,1.52 : 1,2.56 : 1,36.20%,47.52%,"19,120","26,912","17'0""","17'57""",42.22%,57.78%,47.06%,52.05%,4.78%,2.81%,4.78%,1.17%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,50.57%,49.43%,52.42%,47.58%,2.18 : 1,2.46 : 1,40.87%,47.59%,"25,852","23,509","16'11""","19'3""",50.57%,49.43%,47.06%,51.11%,4.78%,2.10%,4.78%,0.64%
azir,50.90%,49.10%,47.30%,52.70%,1.91 : 1,2.08 : 1,37.77%,40.75%,"22,521","25,140","17'35""","17'9""",50.90%,49.10%,47.06%,47.18%,4.78%,2.74%,4.78%,0.53%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,43.09%,56.91%,45.97%,54.03%,1.59 : 1,2.31 : 1,37.65%,43.72%,"25,111","27,244","16'39""","17'40""",43.09%,56.91%,47.06%,51.04%,4.78%,1.25%,4.78%,1.23%
chogath,43.84%,56.16%,40.27%,59.73%,1.57 : 1,2.57 : 1,38.31%,44.07%,"23,735","22,138","17'49""","17'49""",43.84%,56.16%,47.06%,50.80%,4.78%,0.65%,4.78%,0.90%
corki,53.51%,46.49%,52.48%,47.52%,1.90 : 1,1.97 : 1,38.07%,42.15%,"23,195","27,986","18'8""","15'28""",53.51%,46.49%,47.06%,45.53%,4.78%,0.92%,4.78%,0.49%
darius,,,,,,,,,,,,,,,,,,,,
