Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,52.26%,47.74%,47.47%,52.53%,1.55 : 1,1.90 : 1,30.39%,34.29%,"22,993","22,393","15'19""","17'6""",52.26%,47.74%,50.12%,49.93%,3.27%,10.01%,12.06%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,53.85%,46.15%,46.37%,53.63%,1.54 : 1,1.99 : 1,29.86%,32.43%,"21,125","20,967","14'36""","18'21""",53.85%,46.15%,50.12%,49.92%,3.27%,1.62%,12.06%,9.88%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,50.90%,49.10%,47.69%,52.31%,1.56 : 1,2.05 : 1,32.19%,39.28%,"23,633","24,188","14'25""","17'1""",50.90%,49.10%,50.12%,51.14%,3.27%,3.70%,12.06%,1.45%
cassiopeia,43.40%,56.60%,56.57%,43.43%,1.73 : 1,1.90 : 1,33.55%,35.78%,"21,518","23,591","14'33""","18'23""",43.40%,56.60%,50.12%,51.75%,3.27%,0.58%,12.06%,1.11%
chogath,47.63%,52.37%,53.27%,46.73%,1.73 : 1,1.92 : 1,33.63%,36.68%,"29,016","23,351","15'41""","16'45""",47.63%,52.37%,50.12%,51.84%,3.27%,3.25%,12.06%,1.00%
corki,,,,,,,,,,,,,,,,,,,,
darius,47.99%,52.01%,50.43%,49.57%,1.63 : 1,1.70 : 1,32.20%,33.09%,"22,492","20,239","15'0""","16'46""",47.99%,52.01%,50.12%,50.14%,3.27%,5.77%,12.06%,13.77%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,50.93%,49.07%,59.95%,40.05%,2.06 : 1,1.55 : 1,32.57%,29.49%,"35,136","22,660","14'21""","16'53""",50.93%,49.07%,50.12%,50.41%,3.27%,7.38%,12.06%,15.72%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,47.88%,52.12%,51.41%,48.59%,1.63 : 1,1.67 : 1,31.25%,33.74%,"22,794","22,796","15'5""","16'2""",47.88%,52.12%,50.12%,51.19%,3.27%,4.68%,12.06%,6.93%
fizz,,,,,,,,,,,,,,,,,,,,
galio,62.16%,37.84%,56.90%,43.10%,1.89 : 1,2.19 : 1,33.73%,41.77%,"24,635","17,840","15'12""","20'43""",62.16%,37.84%,50.12%,48.86%,3.27%,0.54%,12.06%,2.77%
gangplank,49.77%,50.23%,56.78%,43.22%,1.73 : 1,2.28 : 1,30.66%,39.60%,"22,540","25,344","15'28""","17'25""",49.77%,50.23%,50.12%,50.79%,3.27%,4.82%,12.06%,4.79%
garen,50.60%,49.40%,49.66%,50.34%,1.65 : 1,1.95 : 1,30.09%,33.95%,"23,133","20,615","15'13""","17'2""",50.60%,49.40%,50.12%,50.49%,3.27%,3.87%,12.06%,2.31%
gnar,52.63%,47.37%,54.60%,45.40%,1.78 : 1,1.94 : 1,31.36%,34.32%,"22,364","22,185","15'28""","17'22""",52.63%,47.37%,50.12%,49.36%,3.27%,3.22%,12.06%,0.94%
gragas,50.51%,49.49%,50.92%,49.08%,1.61 : 1,2.16 : 1,30.44%,34.12%,"24,555","20,610","15'13""","18'5""",50.51%,49.49%,50.12%,50.81%,3.27%,3.45%,12.06%,1.76%
graves,,,,,,,,,,,,,,,,,,,,
gwen,46.42%,53.58%,47.29%,52.71%,1.46 : 1,1.84 : 1,29.75%,34.70%,"20,283","24,747","15'13""","16'1""",46.42%,53.58%,50.12%,49.90%,3.27%,3.46%,12.06%,8.72%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,53.76%,46.24%,55.04%,44.96%,1.65 : 1,1.67 : 1,27.75%,31.06%,"18,791","27,974","16'20""","17'1""",53.76%,46.24%,50.12%,53.11%,3.27%,0.99%,12.06%,1.17%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,48.08%,51.92%,51.98%,48.02%,1.85 : 1,1.33 : 1,33.52%,28.00%,"26,451","24,992","15'58""","15'38""",48.08%,51.92%,50.12%,49.42%,3.27%,1.69%,12.06%,2.91%
irelia,48.33%,51.67%,47.12%,52.88%,1.64 : 1,1.54 : 1,33.51%,35.58%,"20,305","22,384","16'1""","14'56""",48.33%,51.67%,50.12%,51.37%,3.27%,4.44%,12.06%,13.78%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,46.42%,53.58%,48.31%,51.69%,1.60 : 1,1.78 : 1,31.51%,32.66%,"21,049","22,025","15'28""","15'59""",46.42%,53.58%,50.12%,50.53%,3.27%,6.88%,12.06%,8.89%
