Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,45.10%,54.90%,59.01%,40.99%,4.30 : 1,2.91 : 1,65.11%,57.77%,45.10%,54.90%,49.81%,51.16%,7.15%,6.20%,13.03%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,60.47%,39.53%,69.29%,30.71%,5.81 : 1,2.12 : 1,64.13%,52.97%,60.47%,39.53%,49.81%,45.27%,7.15%,0.55%,13.03%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,50.48%,49.52%,58.91%,41.09%,4.62 : 1,3.24 : 1,63.87%,60.77%,50.48%,49.52%,49.81%,51.19%,7.15%,5.51%,13.03%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,48.97%,51.03%,59.94%,40.06%,4.25 : 1,2.74 : 1,64.49%,55.27%,48.97%,51.03%,49.81%,50.70%,7.15%,4.92%,13.03%,12.43%
brand,56.85%,43.15%,69.95%,30.05%,5.15 : 1,1.87 : 1,64.03%,49.45%,56.85%,43.15%,49.81%,48.81%,7.15%,1.45%,13.03%,1.11%
braum,44.93%,55.07%,57.58%,42.42%,4.32 : 1,3.18 : 1,63.77%,59.05%,44.93%,55.07%,49.81%,52.42%,7.15%,7.96%,13.03%,14.23%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,44.93%,55.07%,57.94%,42.06%,4.18 : 1,2.44 : 1,64.37%,53.87%,44.93%,55.07%,49.81%,52.50%,7.15%,1.58%,13.03%,5.29%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,47.09%,52.91%,67.82%,32.18%,5.07 : 1,2.24 : 1,65.00%,51.25%,47.09%,52.91%,49.81%,51.19%,7.15%,1.01%,13.03%,3.07%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,47.17%,52.83%,59.46%,40.54%,4.02 : 1,2.99 : 1,62.72%,57.94%,47.17%,52.83%,49.81%,50.93%,7.15%,0.60%,13.03%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,55.28%,44.72%,69.41%,30.59%,5.72 : 1,2.14 : 1,63.93%,53.84%,55.28%,44.72%,49.81%,48.93%,7.15%,0.76%,13.03%,3.25%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,45.42%,54.58%,57.08%,42.92%,4.33 : 1,3.50 : 1,63.13%,60.49%,45.42%,54.58%,49.81%,52.30%,7.15%,4.95%,13.03%,1.64%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,51.40%,48.60%,60.46%,39.54%,4.83 : 1,2.72 : 1,63.68%,56.12%,51.40%,48.60%,49.81%,50.19%,7.15%,9.40%,13.03%,5.33%
