Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,52.94%,47.06%,3.52 : 1,2.42 : 1,56.83%,52.30%,"18,204","18,587",52.94%,47.06%,50.49%,49.87%,3.14%,2.01%,2.16%,1.32%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,48.17%,51.83%,3.35 : 1,2.98 : 1,55.59%,55.20%,"16,209","18,341",48.17%,51.83%,50.49%,51.25%,3.14%,1.95%,2.16%,3.84%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,45.86%,54.14%,3.38 : 1,2.51 : 1,56.50%,54.87%,"18,167","24,254",45.86%,54.14%,50.49%,52.46%,3.14%,4.01%,2.16%,4.37%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,52.81%,47.19%,3.74 : 1,2.51 : 1,57.02%,54.14%,"18,383","23,526",52.81%,47.19%,50.49%,51.19%,3.14%,5.36%,2.16%,6.06%
drmundo,52.34%,47.66%,3.27 : 1,3.03 : 1,54.83%,49.64%,"20,551","22,127",52.34%,47.66%,50.49%,48.96%,3.14%,1.63%,2.16%,15.25%
draven,,,,,,,,,,,,,,,,
ekko,48.08%,51.92%,3.13 : 1,3.20 : 1,55.28%,55.10%,"18,319","23,906",48.08%,51.92%,50.49%,51.56%,3.14%,6.37%,2.16%,4.76%
elise,47.74%,52.26%,3.20 : 1,2.78 : 1,57.19%,53.35%,"17,395","21,745",47.74%,52.26%,50.49%,50.73%,3.14%,3.30%,2.16%,5.50%
evelynn,48.62%,51.38%,3.40 : 1,3.16 : 1,55.34%,53.67%,"18,969","25,691",48.62%,51.38%,50.49%,50.97%,3.14%,2.70%,2.16%,3.78%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,50.42%,49.58%,3.61 : 1,2.80 : 1,57.18%,53.52%,"19,600","23,195",50.42%,49.58%,50.49%,52.25%,3.14%,3.04%,2.16%,3.30%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,55.34%,44.66%,3.44 : 1,2.85 : 1,56.47%,54.29%,"19,506","24,660",55.34%,44.66%,50.49%,50.88%,3.14%,1.19%,2.16%,1.67%
graves,51.04%,48.96%,3.41 : 1,2.45 : 1,54.59%,51.68%,"17,295","24,065",51.04%,48.96%,50.49%,49.69%,3.14%,5.68%,2.16%,4.41%
gwen,48.15%,51.85%,3.45 : 1,2.77 : 1,55.36%,51.53%,"17,386","24,261",48.15%,51.85%,50.49%,50.91%,3.14%,1.25%,2.16%,8.45%
hecarim,49.32%,50.68%,3.41 : 1,2.96 : 1,55.47%,55.36%,"18,354","21,862",49.32%,50.68%,50.49%,49.87%,3.14%,4.29%,2.16%,4.68%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,45.58%,54.42%,3.02 : 1,4.30 : 1,55.12%,60.40%,"15,019","12,633",45.58%,54.42%,50.49%,51.86%,3.14%,1.47%,2.16%,0.84%
janna,,,,,,,,,,,,,,,,
