Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,54.74%,45.26%,2.70 : 1,2.38 : 1,50.07%,49.34%,"23,091","18,079",54.74%,45.26%,47.72%,49.87%,6.82%,2.01%,28.52%,1.32%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,48.60%,51.40%,2.84 : 1,2.84 : 1,51.97%,52.87%,"20,406","17,226",48.60%,51.40%,47.72%,51.25%,6.82%,1.95%,28.52%,3.84%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,46.02%,53.98%,2.57 : 1,2.45 : 1,52.33%,52.95%,"23,808","23,600",46.02%,53.98%,47.72%,52.46%,6.82%,4.01%,28.52%,4.37%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,43.35%,56.65%,2.79 : 1,2.51 : 1,52.24%,50.25%,"22,025","21,486",43.35%,56.65%,47.72%,51.19%,6.82%,5.36%,28.52%,6.06%
drmundo,44.70%,55.30%,2.78 : 1,2.93 : 1,50.50%,47.81%,"25,175","21,721",44.70%,55.30%,47.72%,48.96%,6.82%,1.63%,28.52%,15.25%
draven,,,,,,,,,,,,,,,,
ekko,47.33%,52.67%,2.79 : 1,2.82 : 1,52.38%,52.29%,"22,808","21,769",47.33%,52.67%,47.72%,51.56%,6.82%,6.37%,28.52%,4.76%
elise,48.45%,51.55%,2.60 : 1,2.69 : 1,50.87%,50.59%,"20,607","19,782",48.45%,51.55%,47.72%,50.73%,6.82%,3.30%,28.52%,5.50%
evelynn,48.44%,51.56%,2.58 : 1,2.90 : 1,51.14%,51.89%,"22,695","24,047",48.44%,51.56%,47.72%,50.97%,6.82%,2.70%,28.52%,3.78%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,46.68%,53.32%,2.73 : 1,2.83 : 1,50.75%,51.34%,"22,520","21,662",46.68%,53.32%,47.72%,52.25%,6.82%,3.04%,28.52%,3.30%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,45.83%,54.17%,2.53 : 1,2.93 : 1,50.86%,50.47%,"22,215","21,927",45.83%,54.17%,47.72%,50.88%,6.82%,1.19%,28.52%,1.67%
graves,47.64%,52.36%,2.52 : 1,2.55 : 1,49.20%,50.10%,"20,931","22,414",47.64%,52.36%,47.72%,49.69%,6.82%,5.68%,28.52%,4.41%
gwen,49.73%,50.27%,2.80 : 1,2.45 : 1,51.28%,47.76%,"23,029","22,751",49.73%,50.27%,47.72%,50.91%,6.82%,1.25%,28.52%,8.45%
hecarim,49.01%,50.99%,2.67 : 1,2.88 : 1,52.21%,53.30%,"22,576","21,246",49.01%,50.99%,47.72%,49.87%,6.82%,4.29%,28.52%,4.68%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,50.17%,49.83%,2.77 : 1,4.00 : 1,51.92%,60.44%,"20,362","10,914",50.17%,49.83%,47.72%,51.86%,6.82%,1.47%,28.52%,0.84%
janna,,,,,,,,,,,,,,,,
