Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,50.70%,49.30%,50.27%,49.73%,2.49 : 1,2.10 : 1,51.33%,47.90%,"23,702","24,655","15'33""","14'33""",50.70%,49.30%,50.29%,50.20%,6.89%,8.78%,2.03%,3.16%
ashe,51.95%,48.05%,51.15%,48.85%,2.52 : 1,2.23 : 1,51.42%,49.44%,"25,712","20,721","15'25""","15'42""",51.95%,48.05%,50.29%,50.75%,6.89%,5.81%,2.03%,1.53%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,49.34%,50.66%,49.22%,50.78%,2.40 : 1,2.25 : 1,49.85%,47.02%,"24,468","24,067","15'54""","14'20""",49.34%,50.66%,50.29%,49.94%,6.89%,11.14%,2.03%,13.04%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,52.38%,47.62%,45.28%,54.72%,2.39 : 1,2.62 : 1,50.96%,50.57%,"26,532","26,488","16'1""","15'9""",52.38%,47.62%,50.29%,49.36%,6.89%,2.32%,2.03%,0.53%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,52.39%,47.61%,50.57%,49.43%,2.49 : 1,2.09 : 1,51.83%,49.16%,"24,604","24,735","15'49""","14'30""",52.39%,47.61%,50.29%,49.56%,6.89%,4.15%,2.03%,19.12%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,51.15%,48.85%,45.59%,54.41%,2.36 : 1,2.62 : 1,50.29%,49.09%,"25,379","26,714","15'29""","14'56""",51.15%,48.85%,50.29%,48.37%,6.89%,13.63%,2.03%,4.96%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,55.06%,44.94%,47.35%,52.65%,2.33 : 1,2.63 : 1,47.15%,49.95%,"24,414","26,066","16'5""","14'40""",55.06%,44.94%,50.29%,52.26%,6.89%,0.92%,2.03%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
