Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,50.70%,49.30%,57.76%,42.24%,2.64 : 1,2.00 : 1,49.33%,41.84%,"28,269","23,661","14'24""","16'42""",50.70%,49.30%,50.93%,50.20%,0.97%,8.78%,0.18%,3.16%
ashe,51.11%,48.89%,50.98%,49.02%,2.79 : 1,2.23 : 1,49.81%,46.27%,"28,992","21,482","14'55""","17'5""",51.11%,48.89%,50.93%,50.75%,0.97%,5.81%,0.18%,1.53%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,51.17%,48.83%,58.54%,41.46%,2.68 : 1,2.06 : 1,47.48%,42.49%,"28,740","22,257","14'22""","16'11""",51.17%,48.83%,50.93%,49.94%,0.97%,11.14%,0.18%,13.04%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,47.50%,52.50%,48.51%,51.49%,2.58 : 1,2.52 : 1,45.80%,46.42%,"25,519","25,688","15'26""","15'41""",47.50%,52.50%,50.93%,49.36%,0.97%,2.32%,0.18%,0.53%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,58.99%,41.01%,55.93%,44.07%,2.73 : 1,1.84 : 1,48.10%,43.48%,"24,954","20,359","14'44""","15'36""",58.99%,41.01%,50.93%,49.56%,0.97%,4.15%,0.18%,19.12%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,51.36%,48.64%,53.51%,46.49%,2.55 : 1,2.41 : 1,46.39%,45.10%,"27,811","26,892","14'26""","16'22""",51.36%,48.64%,50.93%,48.37%,0.97%,13.63%,0.18%,4.96%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,43.59%,56.41%,57.14%,42.86%,2.56 : 1,2.69 : 1,49.26%,46.45%,"24,346","24,491","13'48""","16'3""",43.59%,56.41%,50.93%,52.26%,0.97%,0.92%,0.18%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
