Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,54.20%,45.80%,53.45%,46.55%,3.49 : 1,2.45 : 1,58.96%,54.86%,54.20%,45.80%,52.29%,51.16%,3.11%,6.20%,1.40%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,53.06%,46.94%,56.89%,43.11%,3.14 : 1,2.44 : 1,53.96%,52.23%,53.06%,46.94%,52.29%,45.27%,3.11%,0.55%,1.40%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,51.31%,48.69%,50.48%,49.52%,3.35 : 1,3.01 : 1,57.91%,56.93%,51.31%,48.69%,52.29%,51.19%,3.11%,5.51%,1.40%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,54.74%,45.26%,48.55%,51.45%,3.24 : 1,2.44 : 1,58.65%,50.00%,54.74%,45.26%,52.29%,50.70%,3.11%,4.92%,1.40%,12.43%
brand,52.54%,47.46%,58.96%,41.04%,3.75 : 1,1.71 : 1,56.40%,44.24%,52.54%,47.46%,52.29%,48.81%,3.11%,1.45%,1.40%,1.11%
braum,51.85%,48.15%,49.94%,50.06%,3.66 : 1,2.84 : 1,60.35%,56.70%,51.85%,48.15%,52.29%,52.42%,3.11%,7.96%,1.40%,14.23%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,48.78%,51.22%,52.46%,47.54%,2.92 : 1,2.14 : 1,58.36%,48.14%,48.78%,51.22%,52.29%,52.50%,3.11%,1.58%,1.40%,5.29%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,54.84%,45.16%,52.28%,47.72%,3.27 : 1,2.10 : 1,57.86%,50.52%,54.84%,45.16%,52.29%,51.19%,3.11%,1.01%,1.40%,3.07%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,45.00%,55.00%,58.65%,41.35%,3.51 : 1,2.64 : 1,57.48%,53.10%,45.00%,55.00%,52.29%,50.93%,3.11%,0.60%,1.40%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,59.02%,40.98%,51.69%,48.31%,3.63 : 1,2.05 : 1,55.43%,50.86%,59.02%,40.98%,52.29%,48.93%,3.11%,0.76%,1.40%,3.25%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,52.15%,47.85%,46.58%,53.42%,3.31 : 1,3.44 : 1,56.50%,58.76%,52.15%,47.85%,52.29%,52.30%,3.11%,4.95%,1.40%,1.64%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,52.98%,47.02%,49.56%,50.44%,3.48 : 1,2.67 : 1,57.18%,53.68%,52.98%,47.02%,52.29%,50.19%,3.11%,9.40%,1.40%,5.33%
