Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,54.93%,45.07%,59.13%,40.87%,2.84 : 1,2.11 : 1,48.41%,44.14%,"25,776","20,109","16'56""","17'59""",54.93%,45.07%,52.46%,49.35%,4.27%,7.98%,8.07%,2.84%
akali,52.23%,47.77%,54.28%,45.72%,2.58 : 1,2.15 : 1,47.32%,43.05%,"25,460","21,678","16'45""","18'14""",52.23%,47.77%,52.46%,51.00%,4.27%,6.64%,8.07%,10.23%
akshan,47.50%,52.50%,54.28%,45.72%,2.54 : 1,2.47 : 1,48.16%,50.43%,"23,576","24,459","17'10""","17'24""",47.50%,52.50%,52.46%,52.58%,4.27%,2.44%,8.07%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,42.96%,57.04%,49.49%,50.51%,2.48 : 1,2.69 : 1,46.51%,43.94%,"26,567","19,491","17'19""","17'37""",42.96%,57.04%,52.46%,52.41%,4.27%,2.22%,8.07%,1.85%
annie,50.94%,49.06%,58.34%,41.66%,2.56 : 1,2.03 : 1,46.91%,45.40%,"22,554","21,403","16'21""","19'4""",50.94%,49.06%,52.46%,52.05%,4.27%,2.81%,8.07%,1.17%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,45.20%,54.80%,62.14%,37.86%,2.74 : 1,2.44 : 1,47.33%,47.92%,"25,114","21,154","15'58""","18'41""",45.20%,54.80%,52.46%,51.11%,4.27%,2.10%,8.07%,0.64%
azir,54.79%,45.21%,64.06%,35.94%,3.18 : 1,1.72 : 1,48.05%,39.99%,"25,078","21,560","16'52""","17'34""",54.79%,45.21%,52.46%,47.18%,4.27%,2.74%,8.07%,0.53%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,51.72%,48.28%,63.30%,36.70%,2.86 : 1,1.56 : 1,48.85%,40.37%,"25,394","20,280","16'44""","20'13""",51.72%,48.28%,52.46%,51.04%,4.27%,1.25%,8.07%,1.23%
chogath,58.93%,41.07%,65.75%,34.25%,3.30 : 1,1.65 : 1,46.01%,37.55%,"27,912","16,322","16'52""","17'17""",58.93%,41.07%,52.46%,50.80%,4.27%,0.65%,8.07%,0.90%
corki,60.00%,40.00%,56.58%,43.42%,2.81 : 1,1.89 : 1,48.55%,41.29%,"23,931","21,343","17'25""","16'35""",60.00%,40.00%,52.46%,45.53%,4.27%,0.92%,8.07%,0.49%
darius,,,,,,,,,,,,,,,,,,,,
diana,49.90%,50.10%,57.06%,42.94%,2.72 : 1,1.88 : 1,48.65%,45.11%,"23,358","22,516","17'8""","15'25""",49.90%,50.10%,52.46%,51.83%,4.27%,4.20%,8.07%,6.02%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,47.13%,52.87%,57.49%,42.51%,2.80 : 1,2.16 : 1,47.57%,43.78%,"24,813","20,594","17'38""","16'33""",47.13%,52.87%,52.46%,51.08%,4.27%,3.17%,8.07%,4.70%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,47.11%,52.89%,53.52%,46.48%,2.44 : 1,2.13 : 1,48.54%,42.49%,"24,535","20,063","17'1""","16'49""",47.11%,52.89%,52.46%,50.26%,4.27%,2.70%,8.07%,3.07%
galio,49.72%,50.28%,58.54%,41.46%,2.91 : 1,2.57 : 1,49.15%,48.78%,"22,835","15,747","17'32""","18'5""",49.72%,50.28%,52.46%,51.43%,4.27%,4.48%,8.07%,3.29%
gangplank,46.15%,53.85%,47.54%,52.46%,2.14 : 1,2.50 : 1,42.80%,45.39%,"20,830","22,756","17'16""","16'21""",46.15%,53.85%,52.46%,51.94%,4.27%,0.57%,8.07%,4.42%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,50.85%,49.15%,55.56%,44.44%,2.34 : 1,2.16 : 1,46.75%,41.04%,"21,634","17,634","18'1""","15'48""",50.85%,49.15%,52.46%,51.00%,4.27%,0.75%,8.07%,1.59%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,53.19%,46.81%,59.23%,40.77%,2.91 : 1,2.10 : 1,47.39%,44.86%,"24,728","23,435","17'44""","17'44""",53.19%,46.81%,52.46%,50.23%,4.27%,5.57%,8.07%,3.56%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,49.46%,50.54%,57.18%,42.82%,2.77 : 1,1.46 : 1,47.29%,39.21%,"25,112","20,124","16'59""","14'51""",49.46%,50.54%,52.46%,49.59%,4.27%,2.64%,8.07%,13.66%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,52.38%,47.62%,59.41%,40.59%,3.10 : 1,1.90 : 1,48.31%,43.35%,"22,741","22,115","16'8""","16'24""",52.38%,47.62%,52.46%,48.97%,4.27%,0.93%,8.07%,7.61%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,48.41%,51.59%,57.67%,42.33%,2.57 : 1,2.36 : 1,47.60%,44.18%,"25,387","21,738","16'12""","18'15""",48.41%,51.59%,52.46%,50.42%,4.27%,2.49%,8.07%,2.53%
katarina,50.08%,49.92%,55.31%,44.69%,2.61 : 1,2.23 : 1,48.50%,49.57%,"25,166","23,847","16'43""","18'11""",50.08%,49.92%,52.46%,51.62%,4.27%,5.92%,8.07%,6.89%
kayle,53.37%,46.63%,62.16%,37.84%,3.22 : 1,1.76 : 1,47.89%,40.68%,"27,692","18,160","15'43""","18'37""",53.37%,46.63%,52.46%,52.14%,4.27%,1.64%,8.07%,4.58%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,58.25%,41.75%,56.80%,43.20%,2.67 : 1,1.98 : 1,49.09%,42.43%,"24,052","22,231","15'49""","17'3""",58.25%,41.75%,52.46%,52.32%,4.27%,1.03%,8.07%,1.92%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,,,,,
leblanc,50.21%,49.79%,45.49%,54.51%,2.17 : 1,2.58 : 1,46.32%,45.71%,"24,093","22,427","16'44""","18'41""",50.21%,49.79%,52.46%,50.73%,4.27%,5.21%,8.07%,21.50%
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,50.29%,49.71%,56.84%,43.16%,2.66 : 1,2.05 : 1,49.19%,45.15%,"26,609","19,841","16'47""","17'38""",50.29%,49.71%,52.46%,51.94%,4.27%,3.20%,8.07%,1.49%
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,51.90%,48.10%,55.62%,44.38%,2.55 : 1,2.50 : 1,46.85%,48.09%,"24,447","22,648","17'53""","17'24""",51.90%,48.10%,52.46%,51.34%,4.27%,4.05%,8.07%,3.19%
malphite,55.56%,44.44%,56.08%,43.92%,3.01 : 1,2.21 : 1,49.34%,44.25%,"24,637","19,863","16'24""","18'18""",55.56%,44.44%,52.46%,53.10%,4.27%,0.80%,8.07%,7.96%
malzahar,44.72%,55.28%,58.31%,41.69%,2.76 : 1,2.29 : 1,47.61%,43.97%,"22,676","22,494","17'58""","16'16""",44.72%,55.28%,52.46%,51.25%,4.27%,5.01%,8.07%,6.89%
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,,,,,,,,,,,,,,,,,,,,
morgana,49.41%,50.59%,49.24%,50.76%,2.49 : 1,2.87 : 1,48.28%,46.25%,"25,814","19,932","17'12""","18'39""",49.41%,50.59%,52.46%,51.72%,4.27%,0.51%,8.07%,8.43%
naafiri,41.25%,58.75%,45.12%,54.88%,2.06 : 1,2.61 : 1,45.01%,46.53%,"20,901","21,724","18'20""","17'6""",41.25%,58.75%,52.46%,52.06%,4.27%,0.68%,8.07%,12.51%
nami,,,,,,,,,,,,,,,,,,,,
nasus,,,,,,,,,,,,,,,,,,,,
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,51.38%,48.62%,55.21%,44.79%,2.78 : 1,2.26 : 1,46.16%,45.29%,"23,160","19,700","17'3""","17'57""",51.38%,48.62%,52.46%,52.41%,4.27%,0.66%,8.07%,1.68%
nidalee,,,,,,,,,,,,,,,,,,,,
