Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,47.69%,52.31%,50.62%,49.38%,2.44 : 1,2.66 : 1,52.79%,54.42%,47.69%,52.31%,50.54%,51.18%,2.43%,6.20%,2.05%,2.61%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,63.64%,36.36%,47.00%,53.00%,2.19 : 1,2.20 : 1,45.15%,50.41%,63.64%,36.36%,50.54%,45.27%,2.43%,0.55%,2.05%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,49.42%,50.58%,42.49%,57.51%,2.06 : 1,3.22 : 1,49.14%,56.01%,49.42%,50.58%,50.54%,51.20%,2.43%,5.51%,2.05%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,49.72%,50.28%,48.94%,51.06%,2.21 : 1,2.52 : 1,50.73%,51.41%,49.72%,50.28%,50.54%,50.70%,2.43%,4.92%,2.05%,12.43%
brand,47.66%,52.34%,62.44%,37.56%,2.44 : 1,1.73 : 1,47.94%,43.38%,47.66%,52.34%,50.54%,48.81%,2.43%,1.45%,2.05%,1.11%
braum,50.26%,49.74%,47.34%,52.66%,2.31 : 1,3.07 : 1,51.50%,56.56%,50.26%,49.74%,50.54%,52.42%,2.43%,7.96%,2.05%,14.21%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,65.12%,34.88%,50.60%,49.40%,2.41 : 1,2.00 : 1,48.68%,49.13%,65.12%,34.88%,50.54%,52.47%,2.43%,1.58%,2.05%,5.29%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,63.64%,36.36%,62.01%,37.99%,2.75 : 1,1.79 : 1,49.74%,46.19%,63.64%,36.36%,50.54%,51.21%,2.43%,1.01%,2.05%,3.06%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,42.50%,57.50%,55.24%,44.76%,2.35 : 1,2.83 : 1,49.83%,49.92%,42.50%,57.50%,50.54%,51.00%,2.43%,0.61%,2.05%,2.78%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,63.33%,36.67%,56.73%,43.27%,2.57 : 1,1.58 : 1,44.66%,45.01%,63.33%,36.67%,50.54%,48.88%,2.43%,0.76%,2.05%,3.25%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,48.36%,51.64%,41.42%,58.58%,2.12 : 1,3.64 : 1,47.32%,58.13%,48.36%,51.64%,50.54%,52.29%,2.43%,4.94%,2.05%,1.63%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,51.07%,48.93%,47.12%,52.88%,2.22 : 1,2.82 : 1,47.82%,53.91%,51.07%,48.93%,50.52%,50.21%,2.43%,9.40%,2.05%,5.33%
