,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,12.28%,,12.28%,,12.28%,,,12.29%,,,,,,12.29%,,,12.29%,12.29%,12.29%,12.29%,,12.29%,,12.29%,,12.29%,12.29%,,,,12.28%,12.28%,,,,,,,,,12.28%,,12.28%,,,12.28%,,12.28%,,,,,,,,,12.28%,,,,,12.28%,,,,12.28%,,,,,,,12.28%,,12.28%,,,,,12.28%,,,,,,12.28%,,12.28%,12.28%,,,,,,12.28%,,12.28%,,12.28%,12.28%,,,,,,,,,,,,,12.27%,,,,12.27%,,,,12.27%,,,,,,,,,,,,,,,,,,12.28%,,,,,,,,
ahri,,,2.82%,2.82%,,,2.82%,2.82%,,,2.82%,2.82%,,,,,,,,,2.82%,,,,,,,,,,,,,2.83%,2.83%,,,,,,,,,2.83%,,,,,,,,,,,,,,2.83%,2.83%,,,,,,,,,2.83%,,,,2.83%,,,,,2.83%,,,,,,,,,,,,,,,,2.83%,,,,,2.83%,,,,,,,,,,,2.83%,,,,,,,,,,,,,,,,,2.84%,2.84%,,2.84%,,,,,,,,2.84%,,,,,,2.84%,,2.84%,,,2.84%,2.84%,,,,,2.84%,,2.84%,2.84%,,,,,,,,2.84%,
akali,9.76%,10.13%,,10.13%,,,10.13%,10.13%,,,10.13%,10.13%,,,,,,,,9.76%,10.13%,9.76%,,9.76%,,,9.77%,,,,,,9.77%,10.13%,10.13%,9.77%,9.77%,9.77%,9.77%,,9.77%,,9.77%,10.13%,9.77%,9.77%,,,,9.78%,9.78%,,,,,,,10.14%,10.14%,9.78%,,9.78%,,,9.78%,,9.78%,10.14%,,,,10.14%,,,,9.79%,10.14%,,,,9.79%,,,,9.79%,,,,,,,9.79%,10.14%,9.79%,,,,10.16%,9.80%,,,,,,9.80%,,9.80%,9.80%,10.16%,,,,,9.80%,,9.80%,,9.80%,9.80%,,,,,,,10.17%,10.17%,,10.17%,,,9.82%,,,,9.82%,10.20%,,,9.86%,,,10.21%,,10.21%,,,10.21%,10.21%,,,,,10.23%,,10.23%,10.23%,9.88%,,,,,,,10.23%,
akshan,,3.49%,3.49%,,,,3.49%,3.49%,,,3.49%,3.49%,,,,,,,,,3.49%,,,,,,,,,,,,,3.49%,3.49%,,,,,,,,,3.49%,,,,,,,,,,,,,,3.50%,3.50%,,,,,,,,,3.50%,,,,3.50%,,,,,3.51%,,,,,,,,,,,,,,,,3.51%,,,,,3.52%,,,,,,,,,,,3.52%,,,,,,,,,,,,,,,,,3.52%,3.52%,,3.52%,,,,,,,,3.52%,,,,,,3.52%,,3.52%,,,3.52%,3.52%,,,,,3.52%,,3.52%,3.52%,,,,,,,,3.52%,
alistar,,,,,,,,,,,,,2.63%,,2.63%,2.63%,2.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63%,,,,,,,,2.63%,,,,,,,,,,,,,,2.63%,,,,2.63%,2.63%,,,2.63%,2.63%,,,2.63%,,2.63%,,2.63%,2.63%,,,,,,,,,2.63%,2.63%,,,2.62%,,,2.62%,2.62%,,,,,,,,,2.62%,,,,,,,,,,2.62%,2.62%,2.62%,,,2.62%,,,2.62%,,2.62%,,,,,,,,,,,2.62%,,,,,,,,,,,,,,,2.62%,,,,,2.62%,,2.61%
amumu,,,,,,,,,,,,,,1.30%,,,,1.30%,,,,,,,1.30%,,,1.30%,1.30%,1.30%,,1.30%,,,,,,,,1.30%,,1.30%,,,,,1.30%,,1.30%,,,,,,,,1.30%,,,,1.30%,,1.30%,1.30%,,,,,1.30%,,1.30%,,,,,,,,,,,,1.31%,,,,,1.31%,,1.31%,1.31%,,,,1.31%,,,,,,1.31%,1.31%,,,,1.31%,,,,,1.31%,,,,1.31%,,1.31%,,,,1.31%,,,,,,,,,1.31%,,,,,1.31%,,,,1.31%,,,,,,,1.32%,1.32%,,,1.32%,1.32%,,,,1.32%,,,,,1.32%,1.32%,,,,,
anivia,,1.84%,1.84%,1.84%,,,,1.84%,,,1.84%,1.84%,,,,,,,,,1.84%,,,,,,,,,,,,,1.84%,1.84%,,,,,,,,,1.84%,,,,,,,,,,,,,,1.84%,1.84%,,,,,,,,,1.84%,,,,1.84%,,,,,1.84%,,,,,,,,,,,,,,,,1.84%,,,,,1.84%,,,,,,,,,,,1.84%,,,,,,,,,,,,,,,,,1.85%,1.85%,,1.85%,,,,,,,,1.84%,,,,,,1.85%,,1.85%,,,1.85%,1.85%,,,,,1.85%,,1.85%,1.85%,,,,,,,,1.85%,
annie,,1.16%,1.16%,1.16%,,,1.16%,,,,1.16%,1.16%,,,,,,,,,1.16%,,,,,,,,,,,,,1.16%,1.16%,,,,,,,,,1.16%,,,,,,,,,,,,,,1.16%,1.16%,,,,,,,,,1.16%,,,,1.16%,,,,,1.16%,,,,,,,,,,,,,,,,1.16%,,,,,1.16%,,,,,,,,,,,1.16%,,,,,,,,,,,,,,,,,1.16%,1.16%,,1.16%,,,,,,,,1.17%,,,,,,1.17%,,1.17%,,,1.17%,1.17%,,,,,1.17%,,1.17%,1.17%,,,,,,,,1.17%,
aphelios,,,,,,,,,,3.14%,,,,,,,,,3.14%,,,,3.14%,,,3.15%,,,,,3.15%,,,,,,,,,,,,,,,,,,,,,3.15%,3.15%,3.15%,3.15%,,,,,,,,,,,3.15%,,,,,,,3.15%,,,,,,,3.15%,,,,,,,,,3.15%,,,,,,,,,,,,,,,,,,,,,3.15%,,3.15%,,,,,,,,3.15%,,3.16%,,,,,,,,,,,,3.16%,,,,3.16%,,,3.16%,3.16%,,,,,,,,,,,3.16%,,,,,,,,,3.16%,3.16%,,,
ashe,,,,,1.33%,,,,1.52%,,,,1.33%,,1.33%,1.33%,1.33%,,1.52%,,,,1.52%,,,1.52%,,,,,1.52%,,,,,,,,,,,,,,,,,1.33%,,,,1.52%,1.52%,1.52%,1.52%,1.33%,,,,,,,,,,1.52%,,,,1.33%,,,1.52%,1.33%,1.33%,,,1.33%,1.33%,1.52%,,1.33%,,1.33%,,1.33%,1.33%,,1.52%,,,,,,,1.33%,1.33%,,,1.33%,,,1.33%,1.33%,,,,,,1.52%,,1.52%,1.33%,,,,,,,1.52%,,1.52%,1.33%,1.33%,1.33%,,,1.33%,,,1.33%,,1.33%,1.52%,,,,1.53%,,,1.53%,1.53%,,1.33%,,,,,,,,,1.53%,,,,,,1.33%,,,1.53%,1.53%,1.33%,,1.33%
