,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,37.13%,,38.86%,,37.68%,,,38.08%,,,,,,36.34%,,,36.86%,34.45%,36.00%,36.24%,,37.91%,,35.21%,,36.34%,38.28%,,,,37.51%,36.05%,,,,,,,,,35.62%,,34.39%,,,38.37%,,35.13%,,,,,,,,,34.87%,,,,,35.65%,,,,36.62%,,,,,,,38.70%,,35.52%,,,,,37.71%,,,,,,36.44%,,36.24%,36.50%,,,,,,37.78%,,38.23%,,35.84%,37.74%,,,,,,,,,,,,,35.66%,,,,35.45%,,,,36.17%,,,,,,,,,,,,,,,,,,34.29%,,,,,,,,
ahri,,,44.80%,45.83%,,,47.49%,45.11%,,,46.73%,47.69%,,,,,,,,,47.26%,,,,,,,,,,,,,44.58%,47.52%,,,,,,,,,46.51%,,,,,,,,,,,,,,46.08%,46.04%,,,,,,,,,43.61%,,,,47.51%,,,,,45.52%,,,,,,,,,,,,,,,,46.28%,,,,,45.11%,,,,,,,,,,,46.67%,,,,,,,,,,,,,,,,,47.22%,45.54%,,48.63%,,,,,,,,48.15%,,,,,,45.17%,,46.24%,,,46.29%,44.42%,,,,,45.34%,,45.14%,45.41%,,,,,,,,44.14%,
akali,38.27%,43.13%,,43.61%,,,43.62%,45.34%,,,43.29%,44.45%,,,,,,,,38.22%,47.13%,38.52%,,38.05%,,,37.28%,,,,,,38.17%,45.34%,43.81%,36.73%,37.07%,36.53%,35.96%,,38.16%,,36.04%,43.83%,35.08%,38.22%,,,,38.22%,38.09%,,,,,,,41.54%,45.03%,39.07%,,39.84%,,,37.00%,,35.11%,41.83%,,,,43.38%,,,,37.76%,43.81%,,,,37.62%,,,,37.61%,,,,,,,41.48%,44.42%,37.15%,,,,42.69%,39.60%,,,,,,38.37%,,38.56%,37.56%,44.42%,,,,,38.19%,,39.05%,,43.17%,38.28%,,,,,,,45.58%,44.03%,,45.82%,,,39.41%,,,,36.73%,44.62%,,,38.23%,,,42.97%,,43.15%,,,44.02%,41.74%,,,,,44.24%,,45.26%,43.89%,32.43%,,,,,,,43.05%,
akshan,,50.34%,47.72%,,,,49.60%,49.51%,,,48.59%,49.11%,,,,,,,,,50.82%,,,,,,,,,,,,,49.76%,49.55%,,,,,,,,,50.24%,,,,,,,,,,,,,,47.77%,51.80%,,,,,,,,,47.25%,,,,48.05%,,,,,50.27%,,,,,,,,,,,,,,,,47.66%,,,,,49.82%,,,,,,,,,,,50.19%,,,,,,,,,,,,,,,,,50.47%,47.47%,,50.37%,,,,,,,,49.80%,,,,,,51.62%,,48.85%,,,48.24%,47.07%,,,,,48.58%,,47.87%,51.14%,,,,,,,,50.43%,
alistar,,,,,,,,,,,,,56.86%,,57.51%,52.87%,57.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.69%,,,,,,,,56.06%,,,,,,,,,,,,,,59.49%,,,,56.28%,54.85%,,,57.51%,55.12%,,,53.88%,,55.01%,,59.40%,56.95%,,,,,,,,,56.68%,55.55%,,,58.44%,,,59.13%,56.25%,,,,,,,,,55.38%,,,,,,,,,,56.55%,56.15%,55.33%,,,56.36%,,,58.74%,,57.07%,,,,,,,,,,,51.58%,,,,,,,,,,,,,,,57.77%,,,,,54.86%,,54.42%
amumu,,,,,,,,,,,,,,48.05%,,,,51.34%,,,,,,,51.48%,,,49.96%,49.46%,50.25%,,51.02%,,,,,,,,49.61%,,51.94%,,,,,53.04%,,51.92%,,,,,,,,47.49%,,,,49.54%,,48.46%,51.31%,,,,,50.87%,,48.12%,,,,,,,,,,,,49.75%,,,,,50.03%,,52.17%,50.74%,,,,53.41%,,,,,,52.51%,55.47%,,,,50.19%,,,,,52.09%,,,,47.86%,,49.33%,,,,54.68%,,,,,,,,,50.99%,,,,,51.87%,,,,50.54%,,,,,,,51.93%,52.02%,,,51.84%,50.93%,,,,52.50%,,,,,52.30%,49.34%,,,,,
anivia,,43.24%,43.77%,45.97%,,,,46.69%,,,44.22%,45.72%,,,,,,,,,39.64%,,,,,,,,,,,,,43.03%,45.51%,,,,,,,,,43.81%,,,,,,,,,,,,,,43.63%,45.10%,,,,,,,,,43.07%,,,,45.96%,,,,,43.21%,,,,,,,,,,,,,,,,45.37%,,,,,48.27%,,,,,,,,,,,46.65%,,,,,,,,,,,,,,,,,45.10%,43.43%,,46.98%,,,,,,,,46.75%,,,,,,45.23%,,46.90%,,,44.39%,44.85%,,,,,42.93%,,45.47%,44.56%,,,,,,,,43.94%,
annie,,46.61%,45.73%,46.98%,,,46.41%,,,,46.44%,46.70%,,,,,,,,,47.00%,,,,,,,,,,,,,47.82%,48.89%,,,,,,,,,46.65%,,,,,,,,,,,,,,44.90%,46.98%,,,,,,,,,44.97%,,,,48.47%,,,,,46.94%,,,,,,,,,,,,,,,,45.81%,,,,,46.69%,,,,,,,,,,,46.75%,,,,,,,,,,,,,,,,,48.57%,44.45%,,47.97%,,,,,,,,49.17%,,,,,,47.05%,,49.33%,,,45.71%,46.74%,,,,,45.71%,,47.61%,47.52%,,,,,,,,45.40%,
aphelios,,,,,,,,,,45.50%,,,,,,,,,44.23%,,,,45.89%,,,47.14%,,,,,45.30%,,,,,,,,,,,,,,,,,,,,,44.40%,46.24%,47.04%,49.66%,,,,,,,,,,,46.24%,,,,,,,45.35%,,,,,,,44.46%,,,,,,,,,45.68%,,,,,,,,,,,,,,,,,,,,,46.76%,,46.49%,,,,,,,,44.60%,,45.88%,,,,,,,,,,,,45.79%,,,,44.29%,,,44.86%,47.37%,,,,,,,,,,,45.32%,,,,,,,,,47.90%,41.84%,,,
ashe,,,,,55.95%,,,,49.33%,,,,52.82%,,52.63%,50.56%,53.49%,,48.54%,,,,49.98%,,,49.86%,,,,,48.88%,,,,,,,,,,,,,,,,,52.54%,,,,47.88%,49.25%,50.46%,50.92%,49.66%,,,,,,,,,,49.88%,,,,54.74%,,,49.06%,50.26%,50.82%,,,48.59%,49.93%,48.48%,,52.28%,,51.15%,,52.71%,53.34%,,49.72%,,,,,,,51.68%,48.58%,,,52.00%,,,55.89%,50.53%,,,,,,50.41%,,49.01%,50.76%,,,,,,,48.51%,,49.05%,51.44%,48.84%,53.40%,,,55.73%,,,50.30%,,51.42%,48.87%,,,,47.63%,,,48.61%,50.39%,,49.72%,,,,,,,,,48.89%,,,,,,52.97%,,,49.44%,46.27%,52.23%,,50.41%
aurelionsol,,48.78%,48.80%,51.26%,,,50.32%,46.53%,,,,52.33%,,,,,,,,,54.48%,,,,,,,,,,,,,49.50%,52.55%,,,,,,,,,50.60%,,,,,,,,,,,,,,48.46%,49.40%,,,,,,,,,47.55%,,,,51.72%,,,,,50.24%,,,,,,,,,,,,,,,,51.69%,,,,,48.11%,,,,,,,,,,,53.69%,,,,,,,,,,,,,,,,,50.44%,50.98%,,52.25%,,,,,,,,53.15%,,,,,,48.18%,,50.81%,,,50.21%,49.79%,,,,,49.01%,,51.01%,47.59%,,,,,,,,47.92%,
azir,,39.28%,40.98%,42.49%,,,41.76%,38.90%,,,42.48%,,,,,,,,,,41.80%,,,,,,,,,,,,,43.10%,43.32%,,,,,,,,,41.41%,,,,,,,,,,,,,,36.81%,41.05%,,,,,,,,,37.91%,,,,41.89%,,,,,42.44%,,,,,,,,,,,,,,,,41.84%,,,,,38.04%,,,,,,,,,,,44.19%,,,,,,,,,,,,,,,,,42.10%,40.38%,,42.77%,,,,,,,,43.27%,,,,,,41.61%,,39.82%,,,41.30%,40.29%,,,,,38.82%,,43.04%,40.75%,,,,,,,,39.99%,
bard,,,,,60.49%,,,,,,,,,,59.36%,57.22%,61.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.77%,,,,,,,,58.20%,,,,,,,,,,,,,,61.00%,,,,58.65%,55.85%,,,59.63%,57.58%,,,57.02%,,57.25%,,61.43%,59.82%,,,,,,,,,58.55%,58.50%,,,60.80%,,,61.55%,59.17%,,,,,,,,,56.72%,,,,,,,,,,58.30%,59.59%,57.81%,,,59.62%,,,61.36%,,59.24%,,,,,,,,,,,55.91%,,,,,,,,,,,,,,,60.77%,,,,,56.93%,,56.01%
belveth,,,,,,50.98%,,,,,,,,,,,,51.94%,,,,,,,53.14%,,,52.49%,52.47%,53.02%,,51.54%,,,,,,,,50.18%,,52.08%,,,,,53.49%,,51.46%,,,,,,,,51.13%,,,,51.58%,,50.57%,50.79%,,,,,52.21%,,51.63%,,,,,,,,,,,,50.86%,,,,,51.97%,,52.24%,52.13%,,,,53.32%,,,,,,51.53%,53.76%,,,,50.67%,,,,,51.89%,,,,51.01%,,51.10%,,,,49.40%,,,,,,,,,50.69%,,,,,51.97%,,,,52.35%,,,,,,,53.36%,53.82%,,,53.11%,52.00%,,,,54.18%,,,,,55.20%,52.87%,,,,,
blitzcrank,,,,,54.45%,,,,,,,,53.34%,,,53.53%,54.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.48%,,,,,,,,51.51%,,,,,,,,,,,,,,55.20%,,,,53.11%,51.36%,,,55.25%,51.97%,,,51.48%,,51.74%,,55.56%,51.95%,,,,,,,,,54.90%,52.69%,,,53.88%,,,54.78%,54.30%,,,,,,,,,51.12%,,,,,,,,,,54.22%,52.79%,52.97%,,,53.34%,,,55.41%,,53.87%,,,,,,,,,,,50.93%,,,,,,,,,,,,,,,55.27%,,,,,50.00%,,51.41%
