,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,52.84%,,57.30%,,52.94%,,,62.84%,,,,,,52.98%,,,58.38%,51.43%,55.06%,47.26%,,52.15%,,52.77%,,56.68%,50.45%,,,,52.01%,57.54%,,,,,,,,,58.80%,,47.84%,,,51.39%,,44.09%,,,,,,,,,43.69%,,,,,52.28%,,,,53.49%,,,,,,,53.51%,,46.23%,,,,,59.27%,,,,,,50.29%,,51.08%,52.96%,,,,,,52.81%,,47.50%,,57.35%,58.00%,,,,,,,,,,,,,54.17%,,,,51.33%,,,,51.61%,,,,,,,,,,,,,,,,,,52.53%,,,,,,,,
ahri,,,49.08%,48.50%,,,48.30%,54.77%,,,63.66%,60.45%,,,,,,,,,60.09%,,,,,,,,,,,,,44.71%,56.46%,,,,,,,,,57.55%,,,,,,,,,,,,,,53.44%,47.11%,,,,,,,,,38.83%,,,,47.56%,,,,,57.00%,,,,,,,,,,,,,,,,51.83%,,,,,44.54%,,,,,,,,,,,57.90%,,,,,,,,,,,,,,,,,51.09%,53.92%,,58.20%,,,,,,,,58.64%,,,,,,50.91%,,53.87%,,,57.55%,51.62%,,,,,47.30%,,57.04%,58.29%,,,,,,,,40.87%,
akali,50.43%,50.92%,,53.31%,,,48.42%,57.26%,,,56.96%,57.37%,,,,,,,,56.04%,62.55%,60.61%,,55.53%,,,65.46%,,,,,,58.00%,52.15%,49.69%,57.30%,53.08%,60.25%,52.60%,,60.74%,,68.42%,58.57%,55.56%,53.71%,,,,56.52%,60.27%,,,,,,,53.91%,52.38%,66.59%,,59.00%,,,46.50%,,49.87%,41.98%,,,,46.79%,,,,50.00%,55.57%,,,,54.68%,,,,56.08%,,,,,,,55.40%,54.11%,46.48%,,,,43.79%,60.59%,,,,,,51.90%,,50.11%,62.80%,54.54%,,,,,54.05%,,54.37%,,66.86%,59.90%,,,,,,,54.63%,57.24%,,56.88%,,,60.30%,,,,51.64%,54.84%,,,57.18%,,,53.66%,,48.44%,,,60.04%,53.18%,,,,,52.20%,,59.67%,61.81%,53.63%,,,,,,,45.72%,
akshan,,51.50%,46.79%,,,,43.02%,50.56%,,,56.97%,55.11%,,,,,,,,,56.98%,,,,,,,,,,,,,43.83%,49.66%,,,,,,,,,55.03%,,,,,,,,,,,,,,54.26%,50.56%,,,,,,,,,42.30%,,,,44.30%,,,,,58.18%,,,,,,,,,,,,,,,,54.05%,,,,,46.73%,,,,,,,,,,,55.44%,,,,,,,,,,,,,,,,,51.17%,51.00%,,51.95%,,,,,,,,51.61%,,,,,,52.62%,,43.44%,,,50.76%,46.74%,,,,,47.20%,,52.70%,58.12%,,,,,,,,45.72%,
alistar,,,,,,,,,,,,,47.14%,,46.63%,51.33%,44.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.92%,,,,,,,,44.86%,,,,,,,,,,,,,,48.74%,,,,45.62%,46.56%,,,52.36%,41.63%,,,43.47%,,44.02%,,47.92%,50.18%,,,,,,,,,51.13%,44.79%,,,47.46%,,,48.88%,48.63%,,,,,,,,,44.68%,,,,,,,,,,53.91%,47.84%,46.13%,,,50.81%,,,46.41%,,44.43%,,,,,,,,,,,44.51%,,,,,,,,,,,,,,,40.99%,,,,,46.55%,,49.38%
amumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anivia,,51.70%,51.58%,56.98%,,,,59.67%,,,61.22%,55.33%,,,,,,,,,61.54%,,,,,,,,,,,,,48.58%,55.77%,,,,,,,,,55.43%,,,,,,,,,,,,,,60.00%,53.68%,,,,,,,,,42.88%,,,,57.95%,,,,,58.02%,,,,,,,,,,,,,,,,55.58%,,,,,49.04%,,,,,,,,,,,64.02%,,,,,,,,,,,,,,,,,56.26%,57.23%,,59.53%,,,,,,,,62.34%,,,,,,58.33%,,53.91%,,,60.68%,60.62%,,,,,49.94%,,62.55%,65.33%,,,,,,,,50.51%,
annie,,45.31%,42.74%,49.44%,,,40.33%,,,,56.95%,53.63%,,,,,,,,,54.15%,,,,,,,,,,,,,42.29%,48.11%,,,,,,,,,52.01%,,,,,,,,,,,,,,48.76%,46.11%,,,,,,,,,33.51%,,,,46.55%,,,,,51.70%,,,,,,,,,,,,,,,,48.37%,,,,,43.55%,,,,,,,,,,,56.76%,,,,,,,,,,,,,,,,,49.65%,49.04%,,55.00%,,,,,,,,51.41%,,,,,,51.33%,,48.81%,,,50.20%,47.52%,,,,,45.28%,,55.25%,56.85%,,,,,,,,41.66%,
aphelios,,,,,,,,,,48.77%,,,,,,,,,48.44%,,,,44.70%,,,48.11%,,,,,45.40%,,,,,,,,,,,,,,,,,,,,,40.95%,50.23%,46.36%,50.91%,,,,,,,,,,,49.52%,,,,,,,43.82%,,,,,,,45.51%,,,,,,,,,44.95%,,,,,,,,,,,,,,,,,,,,,43.41%,,46.28%,,,,,,,,44.50%,,47.75%,,,,,,,,,,,,43.93%,,,,44.04%,,,44.52%,50.77%,,,,,,,,,,,43.23%,,,,,,,,,49.73%,42.24%,,,
ashe,,,,,48.88%,,,,51.23%,,,,44.40%,,44.39%,48.18%,43.63%,,49.93%,,,,44.41%,,,50.52%,,,,,46.17%,,,,,,,,,,,,,,,,,32.72%,,,,44.29%,51.24%,48.32%,49.23%,40.41%,,,,,,,,,,49.25%,,,,51.72%,,,45.19%,35.99%,46.31%,,,54.35%,37.16%,48.08%,,49.51%,,36.55%,,38.88%,43.28%,,48.65%,,,,,,,48.00%,38.18%,,,35.22%,,,43.98%,34.00%,,,,,,45.25%,,47.55%,41.35%,,,,,,,48.54%,,49.85%,42.55%,35.76%,61.00%,,,49.43%,,,29.17%,,44.06%,43.32%,,,,45.20%,,,47.26%,51.17%,,50.33%,,,,,,,,,48.02%,,,,,,30.71%,,,48.85%,49.02%,43.11%,,53.00%
