,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,10.07%,,10.07%,,10.07%,,,10.06%,,,,,,10.06%,,,10.06%,10.06%,10.06%,10.06%,,10.06%,,10.06%,,10.06%,10.06%,,,,10.05%,10.05%,,,,,,,,,10.05%,,10.05%,,,10.05%,,10.05%,,,,,,,,,10.04%,,,,,10.04%,,,,10.04%,,,,,,,10.04%,,10.04%,,,,,10.04%,,,,,,10.04%,,10.04%,10.04%,,,,,,10.04%,,10.04%,,10.04%,10.04%,,,,,,,,,,,,,10.03%,,,,10.03%,,,,10.02%,,,,,,,,,,,,,,,,,,10.01%,,,,,,,,
ahri,,,7.97%,7.97%,,,7.97%,7.97%,,,7.97%,7.97%,,,,,,,,,7.97%,,,,,,,,,,,,,7.96%,7.96%,,,,,,,,,7.96%,,,,,,,,,,,,,,7.96%,7.96%,,,,,,,,,7.96%,,,,7.96%,,,,,7.97%,,,,,,,,,,,,,,,,7.97%,,,,,7.97%,,,,,,,,,,,7.97%,,,,,,,,,,,,,,,,,7.97%,7.97%,,7.97%,,,,,,,,7.98%,,,,,,7.98%,,7.98%,,,7.98%,7.98%,,,,,7.98%,,7.98%,7.98%,,,,,,,,7.98%,
akali,1.63%,6.66%,,6.66%,,,6.66%,6.66%,,,6.66%,6.66%,,,,,,,,1.63%,6.66%,1.63%,,1.63%,,,1.62%,,,,,,1.62%,6.66%,6.66%,1.62%,1.62%,1.62%,1.62%,,1.62%,,1.62%,6.66%,1.62%,1.62%,,,,1.62%,1.62%,,,,,,,6.65%,6.65%,1.62%,,1.62%,,,1.62%,,1.62%,6.65%,,,,6.65%,,,,1.62%,6.65%,,,,1.62%,,,,1.62%,,,,,,,1.62%,6.65%,1.62%,,,,6.65%,1.62%,,,,,,1.62%,,1.62%,1.62%,6.65%,,,,,1.62%,,1.62%,,1.62%,1.62%,,,,,,,6.64%,6.64%,,6.64%,,,1.62%,,,,1.62%,6.65%,,,1.62%,,,6.65%,,6.65%,,,6.65%,6.65%,,,,,6.64%,,6.64%,6.64%,1.62%,,,,,,,6.64%,
akshan,,2.43%,2.43%,,,,2.43%,2.43%,,,2.43%,2.43%,,,,,,,,,2.43%,,,,,,,,,,,,,2.44%,2.44%,,,,,,,,,2.44%,,,,,,,,,,,,,,2.44%,2.44%,,,,,,,,,2.44%,,,,2.44%,,,,,2.44%,,,,,,,,,,,,,,,,2.44%,,,,,2.44%,,,,,,,,,,,2.44%,,,,,,,,,,,,,,,,,2.44%,2.44%,,2.44%,,,,,,,,2.44%,,,,,,2.44%,,2.44%,,,2.44%,2.44%,,,,,2.44%,,2.44%,2.44%,,,,,,,,2.44%,
alistar,,,,,,,,,,,,,6.24%,,6.24%,6.24%,6.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23%,,,,,,,,6.23%,,,,,,,,,,,,,,6.23%,,,,6.23%,6.23%,,,6.23%,6.23%,,,6.23%,,6.23%,,6.23%,6.23%,,,,,,,,,6.23%,6.23%,,,6.22%,,,6.22%,6.22%,,,,,,,,,6.22%,,,,,,,,,,6.22%,6.22%,6.22%,,,6.22%,,,6.22%,,6.22%,,,,,,,,,,,6.20%,,,,,,,,,,,,,,,6.20%,,,,,6.20%,,6.20%
amumu,,,,,,,,,,,,,,1.98%,,,,1.98%,,,,,,,1.98%,,,1.98%,1.98%,1.98%,,1.98%,,,,,,,,1.98%,,1.98%,,,,,1.98%,,1.98%,,,,,,,,1.98%,,,,1.98%,,1.98%,1.98%,,,,,1.98%,,1.98%,,,,,,,,,,,,1.99%,,,,,1.99%,,1.99%,1.99%,,,,1.99%,,,,,,2.00%,2.00%,,,,2.00%,,,,,2.00%,,,,2.00%,,2.00%,,,,2.00%,,,,,,,,,2.00%,,,,,2.00%,,,,2.01%,,,,,,,2.01%,2.01%,,,2.01%,2.01%,,,,2.01%,,,,,2.01%,2.01%,,,,,
anivia,,2.22%,2.22%,2.22%,,,,2.22%,,,2.22%,2.22%,,,,,,,,,2.22%,,,,,,,,,,,,,2.22%,2.22%,,,,,,,,,2.22%,,,,,,,,,,,,,,2.22%,2.22%,,,,,,,,,2.22%,,,,2.22%,,,,,2.22%,,,,,,,,,,,,,,,,2.22%,,,,,2.22%,,,,,,,,,,,2.22%,,,,,,,,,,,,,,,,,2.22%,2.22%,,2.22%,,,,,,,,2.22%,,,,,,2.22%,,2.22%,,,2.22%,2.22%,,,,,2.22%,,2.22%,2.22%,,,,,,,,2.22%,
annie,,2.77%,2.77%,2.77%,,,2.77%,,,,2.77%,2.77%,,,,,,,,,2.77%,,,,,,,,,,,,,2.77%,2.77%,,,,,,,,,2.77%,,,,,,,,,,,,,,2.78%,2.78%,,,,,,,,,2.78%,,,,2.78%,,,,,2.78%,,,,,,,,,,,,,,,,2.78%,,,,,2.79%,,,,,,,,,,,2.79%,,,,,,,,,,,,,,,,,2.79%,2.79%,,2.79%,,,,,,,,2.80%,,,,,,2.80%,,2.80%,,,2.80%,2.80%,,,,,2.81%,,2.81%,2.81%,,,,,,,,2.81%,
aphelios,,,,,,,,,,8.80%,,,,,,,,,8.80%,,,,8.80%,,,8.80%,,,,,8.80%,,,,,,,,,,,,,,,,,,,,,8.80%,8.80%,8.80%,8.80%,,,,,,,,,,,8.80%,,,,,,,8.80%,,,,,,,8.80%,,,,,,,,,8.80%,,,,,,,,,,,,,,,,,,,,,8.80%,,8.80%,,,,,,,,8.80%,,8.80%,,,,,,,,,,,,8.80%,,,,8.79%,,,8.79%,8.79%,,,,,,,,,,,8.78%,,,,,,,,,8.78%,8.78%,,,
ashe,,,,,0.56%,,,,5.77%,,,,0.56%,,0.56%,0.56%,0.56%,,5.77%,,,,5.77%,,,5.78%,,,,,5.78%,,,,,,,,,,,,,,,,,0.56%,,,,5.78%,5.78%,5.78%,5.78%,0.56%,,,,,,,,,,5.78%,,,,0.56%,,,5.78%,0.56%,0.56%,,,0.56%,0.56%,5.79%,,0.56%,,0.56%,,0.56%,0.56%,,5.79%,,,,,,,0.56%,0.55%,,,0.55%,,,0.55%,0.55%,,,,,,5.79%,,5.79%,0.55%,,,,,,,5.79%,,5.79%,0.55%,0.55%,0.55%,,,0.55%,,,0.55%,,0.55%,5.79%,,,,5.80%,,,5.81%,5.81%,,0.55%,,,,,,,,,5.81%,,,,,,0.55%,,,5.81%,5.81%,0.55%,,0.55%
