,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,49.98%,,49.98%,,49.98%,,,49.99%,,,,,,49.99%,,,49.99%,49.99%,49.99%,49.99%,,49.99%,,49.99%,,49.99%,49.99%,,,,49.96%,49.96%,,,,,,,,,49.96%,,49.96%,,,49.96%,,49.96%,,,,,,,,,49.91%,,,,,49.91%,,,,49.91%,,,,,,,49.91%,,49.91%,,,,,49.88%,,,,,,49.88%,,49.88%,49.88%,,,,,,49.88%,,49.88%,,49.88%,49.88%,,,,,,,,,,,,,49.88%,,,,49.88%,,,,49.89%,,,,,,,,,,,,,,,,,,49.93%,,,,,,,,
ahri,,,49.46%,49.46%,,,49.46%,49.46%,,,49.46%,49.46%,,,,,,,,,49.46%,,,,,,,,,,,,,49.44%,49.44%,,,,,,,,,49.44%,,,,,,,,,,,,,,49.46%,49.46%,,,,,,,,,49.46%,,,,49.46%,,,,,49.44%,,,,,,,,,,,,,,,,49.44%,,,,,49.42%,,,,,,,,,,,49.42%,,,,,,,,,,,,,,,,,49.43%,49.43%,,49.43%,,,,,,,,49.39%,,,,,,49.36%,,49.36%,,,49.36%,49.36%,,,,,49.35%,,49.35%,49.35%,,,,,,,,49.35%,
akali,49.88%,50.97%,,50.97%,,,50.97%,50.97%,,,50.97%,50.97%,,,,,,,,49.86%,50.97%,49.86%,,49.86%,,,49.85%,,,,,,49.85%,50.92%,50.92%,49.85%,49.85%,49.85%,49.85%,,49.85%,,49.85%,50.92%,49.85%,49.85%,,,,49.80%,49.80%,,,,,,,50.92%,50.92%,49.80%,,49.80%,,,49.80%,,49.80%,50.92%,,,,50.92%,,,,49.71%,50.95%,,,,49.71%,,,,49.71%,,,,,,,49.71%,50.95%,49.71%,,,,50.93%,49.78%,,,,,,49.78%,,49.78%,49.78%,50.93%,,,,,49.78%,,49.78%,,49.78%,49.78%,,,,,,,50.95%,50.95%,,50.95%,,,49.75%,,,,49.75%,50.97%,,,49.79%,,,50.96%,,50.96%,,,50.96%,50.96%,,,,,51.00%,,51.00%,51.00%,49.92%,,,,,,,51.00%,
akshan,,52.49%,52.49%,,,,52.49%,52.49%,,,52.49%,52.49%,,,,,,,,,52.49%,,,,,,,,,,,,,52.47%,52.47%,,,,,,,,,52.47%,,,,,,,,,,,,,,52.49%,52.49%,,,,,,,,,52.49%,,,,52.49%,,,,,52.40%,,,,,,,,,,,,,,,,52.40%,,,,,52.43%,,,,,,,,,,,52.43%,,,,,,,,,,,,,,,,,52.43%,52.43%,,52.43%,,,,,,,,52.49%,,,,,,52.51%,,52.51%,,,52.51%,52.51%,,,,,52.58%,,52.58%,52.58%,,,,,,,,52.58%,
alistar,,,,,,,,,,,,,51.10%,,51.10%,51.10%,51.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.10%,,,,,,,,51.08%,,,,,,,,,,,,,,51.08%,,,,51.08%,51.08%,,,51.08%,51.08%,,,51.08%,,51.08%,,51.08%,51.08%,,,,,,,,,51.08%,51.08%,,,51.09%,,,51.09%,51.09%,,,,,,,,,51.09%,,,,,,,,,,51.11%,51.11%,51.11%,,,51.11%,,,51.11%,,51.11%,,,,,,,,,,,51.13%,,,,,,,,,,,,,,,51.16%,,,,,51.16%,,51.18%
amumu,,,,,,,,,,,,,,49.89%,,,,49.89%,,,,,,,49.86%,,,49.86%,49.86%,49.86%,,49.86%,,,,,,,,49.86%,,49.86%,,,,,49.86%,,49.82%,,,,,,,,49.82%,,,,49.82%,,49.82%,49.82%,,,,,49.82%,,49.82%,,,,,,,,,,,,49.90%,,,,,49.90%,,49.90%,49.90%,,,,49.90%,,,,,,49.92%,49.92%,,,,49.92%,,,,,49.92%,,,,49.92%,,49.92%,,,,49.92%,,,,,,,,,49.90%,,,,,49.90%,,,,49.91%,,,,,,,49.87%,49.87%,,,49.87%,49.87%,,,,49.87%,,,,,49.87%,49.87%,,,,,
anivia,,52.39%,52.39%,52.39%,,,,52.39%,,,52.39%,52.39%,,,,,,,,,52.39%,,,,,,,,,,,,,52.46%,52.46%,,,,,,,,,52.46%,,,,,,,,,,,,,,52.45%,52.45%,,,,,,,,,52.45%,,,,52.45%,,,,,52.46%,,,,,,,,,,,,,,,,52.46%,,,,,52.45%,,,,,,,,,,,52.45%,,,,,,,,,,,,,,,,,52.50%,52.50%,,52.50%,,,,,,,,52.48%,,,,,,52.53%,,52.53%,,,52.53%,52.53%,,,,,52.41%,,52.41%,52.41%,,,,,,,,52.41%,
annie,,51.85%,51.85%,51.85%,,,51.85%,,,,51.85%,51.85%,,,,,,,,,51.85%,,,,,,,,,,,,,51.88%,51.88%,,,,,,,,,51.88%,,,,,,,,,,,,,,51.88%,51.88%,,,,,,,,,51.88%,,,,51.88%,,,,,51.85%,,,,,,,,,,,,,,,,51.85%,,,,,51.86%,,,,,,,,,,,51.86%,,,,,,,,,,,,,,,,,51.88%,51.88%,,51.88%,,,,,,,,51.98%,,,,,,52.02%,,52.02%,,,52.02%,52.02%,,,,,52.05%,,52.05%,52.05%,,,,,,,,52.05%,
aphelios,,,,,,,,,,50.14%,,,,,,,,,50.14%,,,,50.14%,,,50.12%,,,,,50.12%,,,,,,,,,,,,,,,,,,,,,50.11%,50.11%,50.11%,50.11%,,,,,,,,,,,50.11%,,,,,,,50.11%,,,,,,,50.10%,,,,,,,,,50.10%,,,,,,,,,,,,,,,,,,,,,50.14%,,50.14%,,,,,,,,50.14%,,50.14%,,,,,,,,,,,,50.14%,,,,50.19%,,,50.17%,50.17%,,,,,,,,,,,50.20%,,,,,,,,,50.20%,50.20%,,,
ashe,,,,,45.28%,,,,50.67%,,,,45.28%,,45.28%,45.28%,45.28%,,50.67%,,,,50.67%,,,50.72%,,,,,50.72%,,,,,,,,,,,,,,,,,45.13%,,,,50.73%,50.73%,50.73%,50.73%,45.23%,,,,,,,,,,50.73%,,,,45.23%,,,50.73%,45.21%,45.21%,,,45.21%,45.21%,50.75%,,45.21%,,45.21%,,45.21%,45.21%,,50.75%,,,,,,,45.21%,45.31%,,,45.31%,,,45.31%,45.31%,,,,,,50.74%,,50.74%,45.31%,,,,,,,50.74%,,50.75%,45.28%,45.28%,45.28%,,,45.28%,,,45.28%,,45.28%,50.75%,,,,50.78%,,,50.78%,50.78%,,45.34%,,,,,,,,,50.75%,,,,,,45.27%,,,50.75%,50.75%,45.27%,,45.27%
