,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,47.50%,,50.61%,,49.66%,,,56.12%,,,,,,49.14%,,,51.09%,46.09%,47.36%,51.94%,,46.96%,,45.93%,,52.66%,47.05%,,,,49.72%,50.30%,,,,,,,,,49.33%,,49.06%,,,47.51%,,48.01%,,,,,,,,,47.75%,,,,,47.47%,,,,49.29%,,,,,,,51.05%,,48.29%,,,,,45.62%,,,,,,49.42%,,47.35%,51.03%,,,,,,49.27%,,50.53%,,41.30%,51.33%,,,,,,,,,,,,,48.54%,,,,48.28%,,,,46.83%,,,,,,,,,,,,,,,,,,47.74%,,,,,,,,
ahri,,,48.43%,47.63%,,,49.09%,47.55%,,,45.97%,52.44%,,,,,,,,,45.81%,,,,,,,,,,,,,47.75%,52.50%,,,,,,,,,49.16%,,,,,,,,,,,,,,47.71%,45.56%,,,,,,,,,51.56%,,,,46.71%,,,,,49.77%,,,,,,,,,,,,,,,,48.02%,,,,,48.29%,,,,,,,,,,,48.67%,,,,,,,,,,,,,,,,,48.33%,49.29%,,51.95%,,,,,,,,48.44%,,,,,,49.86%,,46.98%,,,48.30%,46.42%,,,,,52.19%,,46.59%,55.44%,,,,,,,,45.07%,
akali,46.46%,51.57%,,45.80%,,,51.72%,52.97%,,,54.18%,56.51%,,,,,,,,46.85%,58.33%,49.55%,,45.97%,,,51.46%,,,,,,50.23%,55.15%,45.28%,45.45%,47.97%,45.88%,56.49%,,56.89%,,56.25%,50.25%,47.37%,45.50%,,,,50.81%,52.88%,,,,,,,51.94%,51.81%,55.04%,,47.44%,,,50.00%,,58.90%,49.94%,,,,46.23%,,,,51.39%,45.91%,,,,40.88%,,,,40.66%,,,,,,,54.55%,52.17%,49.19%,,,,45.32%,48.33%,,,,,,48.29%,,41.46%,52.46%,46.22%,,,,,47.11%,,53.51%,,44.00%,45.51%,,,,,,,48.46%,51.79%,,47.70%,,,46.96%,,,,54.63%,45.63%,,,41.59%,,,47.39%,,47.68%,,,54.72%,50.59%,,,,,50.08%,,50.67%,57.01%,46.15%,,,,,,,47.77%,
akshan,,52.37%,54.22%,,,,44.78%,50.00%,,,56.14%,57.32%,,,,,,,,,58.76%,,,,,,,,,,,,,53.52%,54.10%,,,,,,,,,52.45%,,,,,,,,,,,,,,48.91%,49.30%,,,,,,,,,55.23%,,,,49.71%,,,,,50.32%,,,,,,,,,,,,,,,,51.03%,,,,,49.17%,,,,,,,,,,,54.93%,,,,,,,,,,,,,,,,,48.69%,51.21%,,47.18%,,,,,,,,52.81%,,,,,,56.88%,,47.17%,,,53.68%,52.76%,,,,,56.15%,,48.00%,54.67%,,,,,,,,52.50%,
alistar,,,,,,,,,,,,,52.22%,,52.10%,49.13%,50.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.34%,,,,,,,,50.41%,,,,,,,,,,,,,,51.28%,,,,51.36%,49.66%,,,49.42%,47.41%,,,47.55%,,48.12%,,51.58%,52.38%,,,,,,,,,49.28%,51.67%,,,49.06%,,,51.27%,53.25%,,,,,,,,,49.30%,,,,,,,,,,50.00%,48.19%,49.21%,,,55.40%,,,44.87%,,49.98%,,,,,,,,,,,48.01%,,,,,,,,,,,,,,,54.90%,,,,,45.80%,,52.31%
amumu,,,,,,,,,,,,,,51.06%,,,,48.21%,,,,,,,52.02%,,,45.35%,49.67%,46.04%,,43.51%,,,,,,,,54.40%,,55.33%,,,,,43.28%,,50.93%,,,,,,,,53.95%,,,,48.30%,,46.71%,52.82%,,,,,50.63%,,48.73%,,,,,,,,,,,,48.95%,,,,,50.32%,,50.15%,47.29%,,,,50.39%,,,,,,50.00%,35.42%,,,,51.72%,,,,,51.22%,,,,46.08%,,45.71%,,,,62.07%,,,,,,,,,47.49%,,,,,44.35%,,,,50.60%,,,,,,,50.00%,49.60%,,,48.09%,48.45%,,,,45.25%,,,,,47.06%,45.26%,,,,,
anivia,,50.91%,48.28%,55.22%,,,,52.63%,,,43.85%,56.80%,,,,,,,,,54.55%,,,,,,,,,,,,,50.00%,54.68%,,,,,,,,,50.71%,,,,,,,,,,,,,,49.44%,52.94%,,,,,,,,,52.40%,,,,50.68%,,,,,51.19%,,,,,,,,,,,,,,,,52.22%,,,,,49.55%,,,,,,,,,,,52.75%,,,,,,,,,,,,,,,,,50.68%,49.63%,,46.76%,,,,,,,,51.58%,,,,,,49.70%,,46.51%,,,51.61%,57.03%,,,,,52.69%,,59.17%,57.25%,,,,,,,,57.04%,
annie,,52.20%,47.03%,50.00%,,,47.37%,,,,54.72%,53.46%,,,,,,,,,42.86%,,,,,,,,,,,,,55.03%,53.29%,,,,,,,,,50.22%,,,,,,,,,,,,,,45.95%,48.93%,,,,,,,,,48.19%,,,,54.70%,,,,,52.10%,,,,,,,,,,,,,,,,52.70%,,,,,51.14%,,,,,,,,,,,53.93%,,,,,,,,,,,,,,,,,52.95%,46.01%,,57.07%,,,,,,,,53.26%,,,,,,50.96%,,53.85%,,,48.03%,48.81%,,,,,48.19%,,53.43%,57.78%,,,,,,,,49.06%,
aphelios,,,,,,,,,,49.43%,,,,,,,,,49.37%,,,,46.85%,,,50.82%,,,,,52.93%,,,,,,,,,,,,,,,,,,,,,50.73%,48.60%,52.67%,57.02%,,,,,,,,,,,47.29%,,,,,,,48.53%,,,,,,,48.99%,,,,,,,,,47.52%,,,,,,,,,,,,,,,,,,,,,49.67%,,52.40%,,,,,,,,49.42%,,50.08%,,,,,,,,,,,,49.09%,,,,47.24%,,,49.44%,50.89%,,,,,,,,,,,46.77%,,,,,,,,,49.30%,49.30%,,,
ashe,,,,,39.58%,,,,50.57%,,,,47.62%,,41.38%,39.29%,39.24%,,48.63%,,,,50.37%,,,53.76%,,,,,50.79%,,,,,,,,,,,,,,,,,39.22%,,,,50.94%,48.37%,51.00%,55.86%,38.02%,,,,,,,,,,44.49%,,,,58.18%,,,50.33%,48.77%,50.62%,,,62.50%,37.38%,48.01%,,43.64%,,41.18%,,32.14%,36.36%,,50.54%,,,,,,,34.78%,47.44%,,,39.66%,,,56.14%,28.57%,,,,,,47.28%,,52.87%,60.00%,,,,,,,48.72%,,50.64%,37.21%,37.50%,61.54%,,,41.18%,,,41.67%,,43.66%,50.05%,,,,42.92%,,,51.70%,50.93%,,65.91%,,,,,,,,,50.50%,,,,,,39.53%,,,48.05%,48.89%,46.94%,,36.36%
