,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,12.28%,,,,,,,,,,,,,,,,,12.28%,12.28%,12.28%,,12.28%,,,12.28%,,,,,,12.28%,,12.28%,12.28%,12.28%,12.28%,12.28%,,12.28%,,12.28%,,12.28%,12.28%,,,,12.28%,12.28%,,,,,,,,,12.28%,,12.28%,,,12.28%,,12.28%,,,,,,,,,12.28%,,,,,12.28%,,,,12.28%,,,,,,,12.28%,,12.28%,12.28%,12.28%,,,12.28%,,,,,,12.28%,,12.28%,12.28%,12.28%,,,,,12.28%,,12.28%,,12.28%,12.28%,,,,,,,12.28%,,12.28%,,,,12.28%,,,12.28%,12.28%,,,12.28%,12.28%,12.28%,12.28%,,,,,,,12.28%,12.28%,12.28%,12.28%,,,,12.28%,12.28%,12.28%,,12.28%,,,,,,
ahri,,,2.82%,2.82%,,,2.82%,2.82%,,,2.82%,2.82%,,,,,,,,,2.82%,2.82%,2.82%,,2.82%,,,2.82%,,,,,,2.82%,2.82%,2.82%,,,2.82%,,,,,2.82%,,2.82%,,,,,2.82%,,,,,,,2.82%,2.82%,2.82%,,2.82%,,,,,,2.82%,,,,2.82%,,,2.82%,2.82%,2.82%,,,,,2.82%,2.82%,,,,2.82%,,,,,,2.82%,,,,,2.82%,2.82%,,,,,,,,,,2.82%,,,,,,,,,,,,,2.82%,,,2.82%,2.82%,2.82%,,2.82%,2.82%,,,,2.82%,,,2.82%,,,,,,2.82%,2.82%,2.82%,,,2.82%,2.82%,,,2.82%,,2.82%,,2.82%,2.82%,,,,2.82%,,2.82%,,2.82%,
akali,,10.13%,,10.13%,,,10.13%,10.13%,,,10.13%,10.13%,,,,,,,,,10.13%,10.13%,10.13%,,10.13%,,,10.13%,,,,,,10.13%,10.13%,10.13%,,,10.13%,,,,,10.13%,,10.13%,,,,,10.13%,,,,,,,10.13%,10.13%,10.13%,,10.13%,,,,,,10.13%,,,,10.13%,,,10.13%,10.13%,10.13%,,,,,10.13%,10.13%,,,,10.13%,,,,,,10.13%,,,,,10.13%,10.13%,,,,,,,,,,10.13%,,,,,,,,,,,,,10.13%,,,10.13%,10.13%,10.13%,,10.13%,10.13%,,,,10.13%,,,10.13%,,,,,,10.13%,10.13%,10.13%,,,10.13%,10.13%,,,10.13%,,10.13%,,10.13%,10.13%,,,,10.13%,,10.13%,,10.13%,
akshan,,3.49%,3.49%,,,,3.49%,3.49%,,,3.49%,3.49%,,,,,,,,,3.49%,3.49%,3.49%,,3.49%,,,3.49%,,,,,,3.49%,3.49%,3.49%,,,3.49%,,,,,3.49%,,3.49%,,,,,3.49%,,,,,,,3.49%,3.49%,3.49%,,3.49%,,,,,,3.49%,,,,3.49%,,,3.49%,3.49%,3.49%,,,,,3.49%,3.49%,,,,3.49%,,,,,,3.49%,,,,,3.49%,3.49%,,,,,,,,,,3.49%,,,,,,,,,,,,,3.49%,,,3.49%,3.49%,3.49%,,3.49%,3.49%,,,,3.49%,,,3.49%,,,,,,3.49%,3.49%,3.49%,,,3.49%,3.49%,,,3.49%,,3.49%,,3.49%,3.49%,,,,3.49%,,3.49%,,3.49%,
alistar,,,,,,,,,,2.63%,,,2.63%,,2.63%,2.63%,2.63%,,,,,,,,,,,,2.63%,,,2.63%,,,2.63%,,,,,,,,,2.63%,,,,2.63%,,,,,,,,2.63%,,,,,,,,,,,,2.63%,,2.63%,,,,2.63%,2.63%,,,2.63%,2.63%,,,2.63%,,2.63%,,2.63%,2.63%,2.63%,,,,,,,2.63%,2.63%,2.63%,,,2.63%,,,2.63%,2.63%,,,,,,,,2.63%,2.63%,,2.63%,2.63%,,,,,,,2.63%,2.63%,2.63%,2.63%,,2.63%,,,2.63%,2.63%,2.63%,,,,,,,,,,,2.63%,,,,,,,,2.63%,,2.63%,,,,,2.63%,,,,,2.63%,2.63%,2.63%
amumu,,,,,,,,,,,,,,1.30%,,,,1.30%,,,,,,,1.30%,,1.30%,1.30%,1.30%,1.30%,,1.30%,,,,,,,1.30%,1.30%,1.30%,1.30%,,,,,1.30%,,1.30%,1.30%,,,,,,,1.30%,,,,1.30%,,1.30%,1.30%,,,,,1.30%,,1.30%,,,,,,,,,,,,1.30%,,,,,1.30%,,1.30%,1.30%,,,,1.30%,1.30%,,1.30%,,,1.30%,1.30%,,,,1.30%,,,,,1.30%,,,,1.30%,,1.30%,,,,1.30%,,,,,,,,1.30%,1.30%,,,,,1.30%,,,,1.30%,,,,,,,1.30%,1.30%,,,1.30%,1.30%,1.30%,,,1.30%,,,,,1.30%,1.30%,,,,,1.30%
anivia,,1.84%,1.84%,1.84%,,,,1.84%,,,1.84%,1.84%,,,,,,,,,1.84%,1.84%,1.84%,,1.84%,,,1.84%,,,,,,1.84%,1.84%,1.84%,,,1.84%,,,,,1.84%,,1.84%,,,,,1.84%,,,,,,,1.84%,1.84%,1.84%,,1.84%,,,,,,1.84%,,,,1.84%,,,1.84%,1.84%,1.84%,,,,,1.84%,1.84%,,,,1.84%,,,,,,1.84%,,,,,1.84%,1.84%,,,,,,,,,,1.84%,,,,,,,,,,,,,1.84%,,,1.84%,1.84%,1.84%,,1.84%,1.84%,,,,1.84%,,,1.84%,,,,,,1.84%,1.84%,1.84%,,,1.84%,1.84%,,,1.84%,,1.84%,,1.84%,1.84%,,,,1.84%,,1.84%,,1.84%,
annie,,1.16%,1.16%,1.16%,,,1.16%,,,,1.16%,1.16%,,,,,,,,,1.16%,1.16%,1.16%,,1.16%,,,1.16%,,,,,,1.16%,1.16%,1.16%,,,1.16%,,,,,1.16%,,1.16%,,,,,1.16%,,,,,,,1.16%,1.16%,1.16%,,1.16%,,,,,,1.16%,,,,1.16%,,,1.16%,1.16%,1.16%,,,,,1.16%,1.16%,,,,1.16%,,,,,,1.16%,,,,,1.16%,1.16%,,,,,,,,,,1.16%,,,,,,,,,,,,,1.16%,,,1.16%,1.16%,1.16%,,1.16%,1.16%,,,,1.16%,,,1.16%,,,,,,1.16%,1.16%,1.16%,,,1.16%,1.16%,,,1.16%,,1.16%,,1.16%,1.16%,,,,1.16%,,1.16%,,1.16%,
aphelios,,,,,,,,,,3.14%,,,,,,,,,3.14%,,,,3.14%,,,3.14%,,,,,3.14%,,,,,,,,,,,,,3.14%,,,,,,,,3.14%,3.14%,3.14%,3.14%,,,,,,,,,,,3.14%,,,,,,,3.14%,,,,,,,3.14%,,,,,,,,,3.14%,,,,,,,,,,,,,,,,,,,,,3.14%,,3.14%,3.14%,,,,,,,3.14%,,3.14%,,,3.14%,,,,,,,,,3.14%,,,,3.14%,,,3.14%,3.14%,,,,,,,,,,3.14%,3.14%,,,3.14%,,,,,,3.14%,3.14%,,,
ashe,,,,,,,,,1.52%,,,,,,,,,,1.52%,,,,1.52%,,,1.52%,,,,,1.52%,,,,,,,,,,,,,1.52%,,,,,,,,1.52%,1.52%,1.52%,1.52%,,,,,,,,,,,1.52%,,,,,,,1.52%,,,,,,,1.52%,,,,,,,,,1.52%,,,,,,,,,,,,,,,,,,,,,1.52%,,1.52%,1.52%,,,,,,,1.52%,,1.52%,,,1.52%,,,,,,,,,1.52%,,,,1.52%,,,1.52%,1.52%,,,,,,,,,,1.52%,1.52%,,,1.52%,,,,,,1.52%,1.52%,,,
aurelionsol,,0.64%,0.64%,0.64%,,,0.64%,0.64%,,,,0.64%,,,,,,,,,0.64%,0.64%,0.64%,,0.64%,,,0.64%,,,,,,0.64%,0.64%,0.64%,,,0.64%,,,,,0.64%,,0.64%,,,,,0.64%,,,,,,,0.64%,0.64%,0.64%,,0.64%,,,,,,0.64%,,,,0.64%,,,0.64%,0.64%,0.64%,,,,,0.64%,0.64%,,,,0.64%,,,,,,0.64%,,,,,0.64%,0.64%,,,,,,,,,,0.64%,,,,,,,,,,,,,0.64%,,,0.64%,0.64%,0.64%,,0.64%,0.64%,,,,0.64%,,,0.64%,,,,,,0.64%,0.64%,0.64%,,,0.64%,0.64%,,,0.64%,,0.64%,,0.64%,0.64%,,,,0.64%,,0.64%,,0.64%,
azir,,0.54%,0.54%,0.54%,,,0.54%,0.54%,,,0.54%,,,,,,,,,,0.54%,0.54%,0.54%,,0.54%,,,0.54%,,,,,,0.54%,0.54%,0.54%,,,0.54%,,,,,0.54%,,0.54%,,,,,0.54%,,,,,,,0.54%,0.54%,0.54%,,0.54%,,,,,,0.54%,,,,0.54%,,,0.54%,0.54%,0.54%,,,,,0.54%,0.54%,,,,0.54%,,,,,,0.54%,,,,,0.54%,0.54%,,,,,,,,,,0.54%,,,,,,,,,,,,,0.54%,,,0.54%,0.54%,0.54%,,0.54%,0.54%,,,,0.54%,,,0.54%,,,,,,0.54%,0.54%,0.54%,,,0.54%,0.54%,,,0.54%,,0.54%,,0.54%,0.54%,,,,0.54%,,0.54%,,0.54%,
