,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,36.36%,,,,,,,,,,,,,,,,,37.13%,39.01%,38.91%,,37.68%,,,38.11%,,,,,,36.43%,,39.24%,36.85%,34.43%,36.14%,36.25%,,37.88%,,35.21%,,36.25%,38.31%,,,,37.53%,35.97%,,,,,,,,,35.61%,,34.39%,,,38.35%,,35.15%,,,,,,,,,34.90%,,,,,35.66%,,,,36.62%,,,,,,,38.64%,,35.54%,36.97%,35.90%,,,37.60%,,,,,,36.48%,,36.33%,36.53%,36.87%,,,,,37.74%,,38.28%,,35.60%,37.78%,,,,,,,37.33%,,37.26%,,,,35.63%,,,39.14%,35.45%,,,34.85%,36.28%,38.41%,37.01%,,,,,,,36.29%,37.93%,38.09%,36.48%,,,,37.48%,37.51%,34.15%,,36.93%,,,,,,
ahri,,,44.80%,45.83%,,,47.49%,45.11%,,,46.73%,47.69%,,,,,,,,,47.24%,47.40%,46.59%,,46.19%,,,45.70%,,,,,,44.65%,47.50%,46.22%,,,46.89%,,,,,46.55%,,47.39%,,,,,47.86%,,,,,,,46.00%,46.12%,45.47%,,44.47%,,,,,,43.54%,,,,47.50%,,,44.50%,44.54%,45.50%,,,,,45.84%,43.45%,,,,46.87%,,,,,,46.08%,,,,,45.06%,47.28%,,,,,,,,,,46.63%,,,,,,,,,,,,,44.95%,,,47.75%,47.17%,45.55%,,48.84%,45.41%,,,,46.41%,,,48.13%,,,,,,45.46%,43.24%,46.28%,,,46.28%,44.38%,,,47.17%,,45.31%,,45.16%,45.26%,,,,43.66%,,47.22%,,44.10%,
akali,,43.13%,,43.59%,,,43.62%,45.34%,,,43.29%,44.45%,,,,,,,,,47.13%,46.09%,46.22%,,44.92%,,,45.00%,,,,,,45.31%,43.84%,45.00%,,,43.19%,,,,,43.82%,,45.53%,,,,,43.28%,,,,,,,41.62%,45.01%,44.22%,,42.80%,,,,,,41.84%,,,,43.35%,,,43.82%,41.10%,43.74%,,,,,44.19%,44.91%,,,,45.00%,,,,,,44.43%,,,,,42.73%,45.28%,,,,,,,,,,44.37%,,,,,,,,,,,,,42.91%,,,45.51%,45.51%,44.03%,,45.87%,43.69%,,,,42.95%,,,44.62%,,,,,,42.92%,43.38%,43.15%,,,44.03%,41.51%,,,45.51%,,44.31%,,45.33%,43.87%,,,,43.27%,,43.22%,,43.22%,
akshan,,50.34%,47.70%,,,,49.60%,49.51%,,,48.59%,49.11%,,,,,,,,,51.08%,47.05%,49.89%,,49.51%,,,48.76%,,,,,,49.57%,49.55%,46.80%,,,46.70%,,,,,50.23%,,50.14%,,,,,47.42%,,,,,,,47.71%,51.80%,51.14%,,45.32%,,,,,,47.53%,,,,48.04%,,,48.16%,48.42%,50.32%,,,,,52.25%,47.23%,,,,47.67%,,,,,,47.70%,,,,,49.63%,50.97%,,,,,,,,,,50.26%,,,,,,,,,,,,,43.66%,,,55.84%,50.79%,47.21%,,50.41%,49.85%,,,,49.91%,,,49.74%,,,,,,51.74%,50.90%,48.71%,,,48.26%,47.28%,,,50.34%,,48.26%,,47.97%,51.44%,,,,48.43%,,53.71%,,50.26%,
alistar,,,,,,,,,,50.62%,,,56.86%,,57.51%,52.87%,57.97%,,,,,,,,,,,,57.37%,,,56.52%,,,58.15%,,,,,,,,,54.47%,,,,54.64%,,,,,,,,56.13%,,,,,,,,,,,,52.11%,,59.43%,,,,56.23%,54.74%,,,57.51%,55.11%,,,53.87%,,54.98%,,59.34%,56.85%,57.60%,,,,,,,57.96%,56.65%,55.54%,,,58.46%,,,59.19%,56.25%,,,,,,,,54.92%,55.40%,,54.28%,59.44%,,,,,,,56.32%,56.16%,55.16%,58.84%,,56.48%,,,58.77%,56.58%,57.07%,,,,,,,,,,,51.46%,,,,,,,,57.07%,,52.07%,,,,,57.49%,,,,,54.93%,54.47%,54.17%
amumu,,,,,,,,,,,,,,48.05%,,,,51.34%,,,,,,,51.56%,,49.10%,49.97%,49.41%,50.20%,,50.98%,,,,,,,51.87%,49.53%,48.80%,51.90%,,,,,53.13%,,51.76%,52.04%,,,,,,,47.47%,,,,49.43%,,48.48%,51.57%,,,,,50.74%,,47.80%,,,,,,,,,,,,49.84%,,,,,49.42%,,52.25%,50.74%,,,,53.51%,49.52%,,51.66%,,,51.91%,55.47%,,,,50.00%,,,,,51.83%,,,,47.88%,,49.38%,,,,54.56%,,,,,,,,53.56%,51.08%,,,,,51.70%,,,,50.89%,,,,,,,51.59%,51.76%,,,51.38%,51.28%,51.76%,,,52.69%,,,,,52.51%,49.33%,,,,,48.65%
anivia,,43.24%,43.77%,45.97%,,,,46.69%,,,44.22%,45.72%,,,,,,,,,39.64%,44.17%,42.95%,,45.37%,,,45.04%,,,,,,43.03%,45.50%,46.46%,,,39.80%,,,,,43.86%,,44.97%,,,,,46.89%,,,,,,,43.46%,45.43%,43.50%,,45.02%,,,,,,43.02%,,,,45.87%,,,44.69%,48.10%,42.89%,,,,,41.24%,45.03%,,,,43.42%,,,,,,45.33%,,,,,48.50%,44.84%,,,,,,,,,,46.66%,,,,,,,,,,,,,46.31%,,,44.52%,45.17%,43.29%,,46.97%,42.59%,,,,40.33%,,,46.78%,,,,,,45.43%,43.52%,46.59%,,,44.61%,44.62%,,,46.78%,,43.05%,,45.24%,44.69%,,,,44.12%,,43.78%,,43.70%,
annie,,46.64%,45.73%,46.98%,,,46.41%,,,,46.44%,46.70%,,,,,,,,,46.79%,45.16%,48.45%,,47.49%,,,47.81%,,,,,,47.60%,48.89%,44.59%,,,46.04%,,,,,46.73%,,48.27%,,,,,50.88%,,,,,,,44.92%,47.02%,45.90%,,47.28%,,,,,,44.70%,,,,48.27%,,,45.15%,49.27%,47.19%,,,,,51.17%,48.14%,,,,43.14%,,,,,,45.87%,,,,,46.63%,47.71%,,,,,,,,,,46.75%,,,,,,,,,,,,,47.82%,,,50.24%,48.73%,44.42%,,48.69%,49.08%,,,,46.51%,,,49.25%,,,,,,46.91%,46.37%,49.47%,,,45.77%,46.68%,,,47.40%,,45.75%,,47.40%,47.61%,,,,46.59%,,46.19%,,45.32%,
aphelios,,,,,,,,,,45.50%,,,,,,,,,44.27%,,,,45.84%,,,47.13%,,,,,45.31%,,,,,,,,,,,,,43.32%,,,,,,,,44.43%,46.26%,47.04%,49.79%,,,,,,,,,,,46.23%,,,,,,,45.38%,,,,,,,44.44%,,,,,,,,,45.64%,,,,,,,,,,,,,,,,,,,,,46.87%,,46.49%,45.24%,,,,,,,44.64%,,45.86%,,,44.57%,,,,,,,,,45.86%,,,,44.30%,,,44.81%,47.23%,,,,,,,,,,45.38%,45.36%,,,42.48%,,,,,,48.04%,41.80%,,,
ashe,,,,,,,,,49.33%,,,,,,,,,,48.54%,,,,50.00%,,,49.81%,,,,,48.86%,,,,,,,,,,,,,46.94%,,,,,,,,47.88%,49.27%,50.48%,50.80%,,,,,,,,,,,49.69%,,,,,,,49.02%,,,,,,,48.43%,,,,,,,,,49.70%,,,,,,,,,,,,,,,,,,,,,50.34%,,49.06%,47.74%,,,,,,,48.60%,,48.94%,,,49.13%,,,,,,,,,48.80%,,,,47.66%,,,48.69%,50.31%,,,,,,,,,,50.48%,48.94%,,,49.26%,,,,,,49.72%,46.31%,,,
