,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,49.57%,,,,,,,,,,,,,,,,,52.84%,59.24%,57.49%,,52.94%,,,62.90%,,,,,,53.06%,,52.13%,58.41%,51.10%,55.06%,47.25%,,52.20%,,52.77%,,56.51%,50.48%,,,,51.89%,57.46%,,,,,,,,,58.58%,,47.81%,,,51.71%,,44.12%,,,,,,,,,43.76%,,,,,52.46%,,,,53.49%,,,,,,,53.42%,,46.24%,47.13%,49.12%,,,59.37%,,,,,,50.32%,,51.04%,53.00%,56.77%,,,,,52.87%,,47.39%,,57.17%,58.43%,,,,,,,51.53%,,46.99%,,,,54.36%,,,62.56%,51.41%,,,50.86%,51.63%,54.78%,56.40%,,,,,,,52.98%,55.39%,50.18%,50.32%,,,,55.91%,59.70%,52.10%,,49.43%,,,,,,
ahri,,,49.08%,48.50%,,,48.30%,54.69%,,,63.66%,60.45%,,,,,,,,,60.15%,54.98%,53.78%,,50.85%,,,52.95%,,,,,,44.81%,56.40%,54.76%,,,47.88%,,,,,57.55%,,54.24%,,,,,54.48%,,,,,,,53.40%,47.09%,57.34%,,48.91%,,,,,,38.92%,,,,47.58%,,,50.88%,47.33%,56.79%,,,,,43.16%,42.35%,,,,49.86%,,,,,,51.62%,,,,,44.29%,58.15%,,,,,,,,,,57.93%,,,,,,,,,,,,,58.35%,,,54.84%,51.15%,53.70%,,58.36%,49.42%,,,,53.51%,,,58.45%,,,,,,51.63%,46.07%,53.95%,,,57.25%,50.98%,,,51.15%,,47.27%,,56.80%,58.24%,,,,44.31%,,53.53%,,40.73%,
akali,,50.92%,,53.21%,,,48.42%,57.26%,,,56.96%,57.37%,,,,,,,,,62.55%,52.68%,55.01%,,52.18%,,,54.65%,,,,,,52.25%,49.74%,57.26%,,,49.82%,,,,,58.58%,,57.79%,,,,,58.38%,,,,,,,53.88%,52.47%,57.84%,,47.26%,,,,,,42.09%,,,,46.45%,,,51.77%,46.96%,55.71%,,,,,52.34%,43.32%,,,,49.07%,,,,,,54.12%,,,,,43.89%,53.20%,,,,,,,,,,54.41%,,,,,,,,,,,,,61.85%,,,54.82%,54.49%,57.34%,,56.64%,48.43%,,,,57.48%,,,54.48%,,,,,,53.72%,49.78%,48.59%,,,60.10%,52.88%,,,54.49%,,52.27%,,59.52%,61.86%,,,,47.61%,,54.41%,,45.77%,
akshan,,51.50%,46.69%,,,,43.02%,50.56%,,,56.97%,55.11%,,,,,,,,,57.49%,62.50%,55.45%,,48.89%,,,50.00%,,,,,,43.99%,49.66%,57.47%,,,42.34%,,,,,55.19%,,52.19%,,,,,49.74%,,,,,,,54.79%,50.39%,53.15%,,44.21%,,,,,,42.65%,,,,44.24%,,,46.53%,46.13%,58.32%,,,,,50.60%,54.17%,,,,47.06%,,,,,,54.02%,,,,,46.81%,53.85%,,,,,,,,,,55.61%,,,,,,,,,,,,,57.99%,,,55.80%,51.69%,50.79%,,52.73%,52.20%,,,,53.25%,,,51.31%,,,,,,52.44%,50.55%,43.76%,,,50.71%,46.90%,,,51.50%,,47.56%,,52.24%,58.06%,,,,45.54%,,60.00%,,46.13%,
alistar,,,,,,,,,,51.12%,,,47.14%,,46.63%,51.33%,44.71%,,,,,,,,,,,,50.23%,,,52.32%,,,49.50%,,,,,,,,,42.97%,,,,41.63%,,,,,,,,44.94%,,,,,,,,,,,,43.94%,,48.65%,,,,45.36%,46.52%,,,52.51%,41.72%,,,43.97%,,44.10%,,47.84%,50.21%,48.74%,,,,,,,54.64%,50.93%,44.74%,,,47.49%,,,48.80%,48.70%,,,,,,,,52.69%,44.60%,,49.27%,51.18%,,,,,,,53.21%,47.96%,45.99%,52.17%,,50.71%,,,46.80%,60.26%,44.49%,,,,,,,,,,,44.73%,,,,,,,,44.49%,,46.29%,,,,,40.49%,,,,,46.05%,47.79%,49.34%
amumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anivia,,51.70%,51.58%,56.98%,,,,59.67%,,,61.22%,55.33%,,,,,,,,,61.54%,63.74%,55.00%,,57.60%,,,56.52%,,,,,,48.58%,55.70%,69.57%,,,47.37%,,,,,55.42%,,56.25%,,,,,54.69%,,,,,,,59.46%,53.90%,51.82%,,54.46%,,,,,,42.55%,,,,57.62%,,,54.42%,55.36%,58.15%,,,,,43.86%,53.92%,,,,64.86%,,,,,,55.23%,,,,,49.62%,61.62%,,,,,,,,,,64.27%,,,,,,,,,,,,,67.27%,,,59.45%,56.02%,57.01%,,59.74%,47.68%,,,,48.28%,,,62.13%,,,,,,58.56%,49.19%,53.87%,,,61.41%,60.73%,,,62.13%,,49.94%,,62.60%,65.56%,,,,51.78%,,47.93%,,49.80%,
annie,,45.23%,42.74%,49.44%,,,40.33%,,,,56.95%,53.63%,,,,,,,,,53.93%,49.04%,52.10%,,45.72%,,,45.90%,,,,,,42.25%,48.11%,43.75%,,,43.75%,,,,,52.16%,,49.61%,,,,,47.43%,,,,,,,49.17%,46.15%,50.35%,,47.14%,,,,,,33.05%,,,,46.47%,,,44.16%,38.14%,51.59%,,,,,39.37%,44.68%,,,,43.80%,,,,,,48.38%,,,,,43.62%,48.00%,,,,,,,,,,56.40%,,,,,,,,,,,,,57.87%,,,48.70%,49.43%,48.54%,,55.57%,47.47%,,,,55.03%,,,51.07%,,,,,,51.88%,43.73%,49.09%,,,50.14%,47.24%,,,55.11%,,45.47%,,55.11%,56.52%,,,,43.42%,,48.86%,,40.92%,
aphelios,,,,,,,,,,48.77%,,,,,,,,,48.47%,,,,44.64%,,,48.11%,,,,,45.43%,,,,,,,,,,,,,45.93%,,,,,,,,41.02%,50.32%,46.21%,50.97%,,,,,,,,,,,49.33%,,,,,,,43.81%,,,,,,,45.68%,,,,,,,,,44.81%,,,,,,,,,,,,,,,,,,,,,43.51%,,46.17%,41.39%,,,,,,,44.66%,,47.71%,,,45.79%,,,,,,,,,43.96%,,,,43.90%,,,44.61%,50.65%,,,,,,,,,,43.81%,43.26%,,,43.69%,,,,,,49.68%,42.77%,,,
ashe,,,,,,,,,51.23%,,,,,,,,,,49.95%,,,,44.46%,,,50.47%,,,,,46.13%,,,,,,,,,,,,,48.36%,,,,,,,,44.22%,51.27%,48.30%,49.26%,,,,,,,,,,,48.93%,,,,,,,45.21%,,,,,,,48.27%,,,,,,,,,48.81%,,,,,,,,,,,,,,,,,,,,,45.40%,,47.65%,46.23%,,,,,,,48.56%,,49.47%,,,47.82%,,,,,,,,,43.29%,,,,45.26%,,,47.06%,51.28%,,,,,,,,,,48.30%,48.34%,,,48.68%,,,,,,49.09%,48.10%,,,
