,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,10.07%,,,,,,,,,,,,,,,,,10.06%,10.07%,10.07%,,10.06%,,,10.07%,,,,,,10.07%,,10.06%,10.06%,10.07%,10.06%,10.06%,,10.07%,,10.07%,,10.07%,10.07%,,,,10.07%,10.07%,,,,,,,,,10.06%,,10.07%,,,10.07%,,10.07%,,,,,,,,,10.07%,,,,,10.07%,,,,10.06%,,,,,,,10.07%,,10.07%,10.07%,10.07%,,,10.07%,,,,,,10.07%,,10.07%,10.07%,10.07%,,,,,10.07%,,10.07%,,10.07%,10.07%,,,,,,,10.07%,,10.07%,,,,10.07%,,,10.07%,10.07%,,,10.06%,10.07%,10.07%,10.06%,,,,,,,10.07%,10.07%,10.06%,10.06%,,,,10.07%,10.07%,10.07%,,10.07%,,,,,,
ahri,,,7.97%,7.97%,,,7.97%,7.97%,,,7.97%,7.97%,,,,,,,,,7.97%,7.97%,7.97%,,7.97%,,,7.97%,,,,,,7.97%,7.97%,7.97%,,,7.97%,,,,,7.97%,,7.97%,,,,,7.97%,,,,,,,7.97%,7.97%,7.97%,,7.97%,,,,,,7.97%,,,,7.97%,,,7.97%,7.97%,7.97%,,,,,7.97%,7.97%,,,,7.97%,,,,,,7.97%,,,,,7.97%,7.97%,,,,,,,,,,7.97%,,,,,,,,,,,,,7.97%,,,7.97%,7.97%,7.97%,,7.97%,7.97%,,,,7.97%,,,7.97%,,,,,,7.97%,7.97%,7.97%,,,7.97%,7.97%,,,7.97%,,7.97%,,7.97%,7.97%,,,,7.97%,,7.97%,,7.97%,
akali,,6.66%,,6.66%,,,6.66%,6.66%,,,6.66%,6.66%,,,,,,,,,6.66%,6.66%,6.66%,,6.66%,,,6.66%,,,,,,6.66%,6.66%,6.66%,,,6.66%,,,,,6.66%,,6.66%,,,,,6.66%,,,,,,,6.66%,6.66%,6.66%,,6.66%,,,,,,6.66%,,,,6.66%,,,6.66%,6.66%,6.66%,,,,,6.66%,6.66%,,,,6.66%,,,,,,6.66%,,,,,6.66%,6.66%,,,,,,,,,,6.66%,,,,,,,,,,,,,6.66%,,,6.66%,6.66%,6.66%,,6.66%,6.66%,,,,6.66%,,,6.66%,,,,,,6.66%,6.66%,6.66%,,,6.66%,6.66%,,,6.66%,,6.66%,,6.66%,6.66%,,,,6.66%,,6.66%,,6.66%,
akshan,,2.43%,2.43%,,,,2.43%,2.43%,,,2.43%,2.43%,,,,,,,,,2.43%,2.43%,2.43%,,2.43%,,,2.43%,,,,,,2.43%,2.43%,2.43%,,,2.43%,,,,,2.43%,,2.43%,,,,,2.43%,,,,,,,2.43%,2.43%,2.43%,,2.43%,,,,,,2.43%,,,,2.43%,,,2.43%,2.43%,2.43%,,,,,2.43%,2.43%,,,,2.43%,,,,,,2.43%,,,,,2.43%,2.43%,,,,,,,,,,2.43%,,,,,,,,,,,,,2.43%,,,2.43%,2.43%,2.43%,,2.43%,2.43%,,,,2.43%,,,2.43%,,,,,,2.43%,2.43%,2.43%,,,2.43%,2.43%,,,2.43%,,2.43%,,2.43%,2.43%,,,,2.43%,,2.43%,,2.43%,
alistar,,,,,,,,,,6.24%,,,6.24%,,6.24%,6.24%,6.24%,,,,,,,,,,,,6.24%,,,6.24%,,,6.24%,,,,,,,,,6.24%,,,,6.24%,,,,,,,,6.24%,,,,,,,,,,,,6.24%,,6.24%,,,,6.24%,6.24%,,,6.24%,6.24%,,,6.24%,,6.24%,,6.24%,6.24%,6.24%,,,,,,,6.24%,6.24%,6.24%,,,6.24%,,,6.24%,6.24%,,,,,,,,6.24%,6.24%,,6.24%,6.24%,,,,,,,6.24%,6.24%,6.24%,6.24%,,6.24%,,,6.24%,6.24%,6.24%,,,,,,,,,,,6.24%,,,,,,,,6.24%,,6.24%,,,,,6.24%,,,,,6.24%,6.24%,6.24%
amumu,,,,,,,,,,,,,,1.98%,,,,1.98%,,,,,,,1.98%,,1.98%,1.98%,1.98%,1.98%,,1.98%,,,,,,,1.98%,1.98%,1.98%,1.98%,,,,,1.98%,,1.98%,1.98%,,,,,,,1.98%,,,,1.98%,,1.98%,1.98%,,,,,1.98%,,1.98%,,,,,,,,,,,,1.98%,,,,,1.98%,,1.98%,1.98%,,,,1.98%,1.98%,,1.98%,,,1.98%,1.98%,,,,1.98%,,,,,1.98%,,,,1.98%,,1.98%,,,,1.98%,,,,,,,,1.98%,1.98%,,,,,1.98%,,,,1.98%,,,,,,,1.98%,1.98%,,,1.98%,1.98%,1.98%,,,1.98%,,,,,1.98%,1.98%,,,,,1.98%
anivia,,2.22%,2.22%,2.22%,,,,2.22%,,,2.22%,2.22%,,,,,,,,,2.22%,2.22%,2.22%,,2.22%,,,2.22%,,,,,,2.22%,2.22%,2.22%,,,2.22%,,,,,2.22%,,2.22%,,,,,2.22%,,,,,,,2.22%,2.22%,2.22%,,2.22%,,,,,,2.22%,,,,2.22%,,,2.22%,2.22%,2.22%,,,,,2.22%,2.22%,,,,2.22%,,,,,,2.22%,,,,,2.22%,2.22%,,,,,,,,,,2.22%,,,,,,,,,,,,,2.22%,,,2.22%,2.22%,2.22%,,2.22%,2.22%,,,,2.22%,,,2.22%,,,,,,2.22%,2.22%,2.22%,,,2.22%,2.22%,,,2.22%,,2.22%,,2.22%,2.22%,,,,2.22%,,2.22%,,2.22%,
annie,,2.77%,2.77%,2.77%,,,2.77%,,,,2.77%,2.77%,,,,,,,,,2.77%,2.77%,2.77%,,2.77%,,,2.77%,,,,,,2.77%,2.77%,2.77%,,,2.77%,,,,,2.77%,,2.77%,,,,,2.77%,,,,,,,2.77%,2.77%,2.77%,,2.77%,,,,,,2.77%,,,,2.77%,,,2.77%,2.77%,2.77%,,,,,2.77%,2.77%,,,,2.77%,,,,,,2.77%,,,,,2.77%,2.77%,,,,,,,,,,2.77%,,,,,,,,,,,,,2.77%,,,2.77%,2.77%,2.77%,,2.77%,2.77%,,,,2.77%,,,2.77%,,,,,,2.77%,2.77%,2.77%,,,2.77%,2.77%,,,2.77%,,2.77%,,2.77%,2.77%,,,,2.77%,,2.77%,,2.77%,
aphelios,,,,,,,,,,8.80%,,,,,,,,,8.80%,,,,8.80%,,,8.80%,,,,,8.80%,,,,,,,,,,,,,8.80%,,,,,,,,8.80%,8.80%,8.80%,8.80%,,,,,,,,,,,8.80%,,,,,,,8.80%,,,,,,,8.80%,,,,,,,,,8.80%,,,,,,,,,,,,,,,,,,,,,8.80%,,8.80%,8.80%,,,,,,,8.80%,,8.80%,,,8.80%,,,,,,,,,8.80%,,,,8.80%,,,8.80%,8.80%,,,,,,,,,,8.80%,8.80%,,,8.80%,,,,,,8.80%,8.80%,,,
ashe,,,,,,,,,5.77%,,,,,,,,,,5.77%,,,,5.77%,,,5.77%,,,,,5.77%,,,,,,,,,,,,,5.77%,,,,,,,,5.77%,5.77%,5.77%,5.77%,,,,,,,,,,,5.77%,,,,,,,5.77%,,,,,,,5.77%,,,,,,,,,5.77%,,,,,,,,,,,,,,,,,,,,,5.77%,,5.77%,5.77%,,,,,,,5.77%,,5.77%,,,5.77%,,,,,,,,,5.77%,,,,5.77%,,,5.77%,5.77%,,,,,,,,,,5.77%,5.77%,,,5.77%,,,,,,5.77%,5.77%,,,
