,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,49.98%,,,,,,,,,,,,,,,,,49.98%,49.98%,49.98%,,49.98%,,,49.98%,,,,,,49.98%,,49.98%,49.98%,49.98%,49.98%,49.98%,,49.98%,,49.98%,,49.98%,49.98%,,,,49.98%,49.98%,,,,,,,,,49.98%,,49.98%,,,49.98%,,49.98%,,,,,,,,,49.98%,,,,,49.98%,,,,49.98%,,,,,,,49.98%,,49.98%,49.98%,49.98%,,,49.98%,,,,,,49.98%,,49.98%,49.98%,49.98%,,,,,49.98%,,49.98%,,49.98%,49.98%,,,,,,,49.98%,,49.98%,,,,49.98%,,,49.98%,49.98%,,,49.98%,49.98%,49.98%,49.98%,,,,,,,49.98%,49.98%,49.98%,49.98%,,,,49.98%,49.98%,49.98%,,49.98%,,,,,,
ahri,,,49.46%,49.46%,,,49.46%,49.46%,,,49.46%,49.46%,,,,,,,,,49.46%,49.46%,49.46%,,49.46%,,,49.46%,,,,,,49.46%,49.46%,49.46%,,,49.46%,,,,,49.46%,,49.46%,,,,,49.46%,,,,,,,49.46%,49.46%,49.46%,,49.46%,,,,,,49.46%,,,,49.46%,,,49.46%,49.46%,49.46%,,,,,49.46%,49.46%,,,,49.46%,,,,,,49.46%,,,,,49.46%,49.46%,,,,,,,,,,49.46%,,,,,,,,,,,,,49.46%,,,49.46%,49.46%,49.46%,,49.46%,49.46%,,,,49.46%,,,49.46%,,,,,,49.46%,49.46%,49.46%,,,49.46%,49.46%,,,49.46%,,49.46%,,49.46%,49.46%,,,,49.46%,,49.46%,,49.46%,
akali,,50.97%,,50.97%,,,50.97%,50.97%,,,50.97%,50.97%,,,,,,,,,50.97%,50.97%,50.97%,,50.97%,,,50.97%,,,,,,50.97%,50.97%,50.97%,,,50.97%,,,,,50.97%,,50.97%,,,,,50.97%,,,,,,,50.97%,50.97%,50.97%,,50.97%,,,,,,50.97%,,,,50.97%,,,50.97%,50.97%,50.97%,,,,,50.97%,50.97%,,,,50.97%,,,,,,50.97%,,,,,50.97%,50.97%,,,,,,,,,,50.97%,,,,,,,,,,,,,50.97%,,,50.97%,50.97%,50.97%,,50.97%,50.97%,,,,50.97%,,,50.97%,,,,,,50.97%,50.97%,50.97%,,,50.97%,50.97%,,,50.97%,,50.97%,,50.97%,50.97%,,,,50.97%,,50.97%,,50.97%,
akshan,,52.49%,52.49%,,,,52.49%,52.49%,,,52.49%,52.49%,,,,,,,,,52.49%,52.49%,52.49%,,52.49%,,,52.49%,,,,,,52.49%,52.49%,52.49%,,,52.49%,,,,,52.49%,,52.49%,,,,,52.49%,,,,,,,52.49%,52.49%,52.49%,,52.49%,,,,,,52.49%,,,,52.49%,,,52.49%,52.49%,52.49%,,,,,52.49%,52.49%,,,,52.49%,,,,,,52.49%,,,,,52.49%,52.49%,,,,,,,,,,52.49%,,,,,,,,,,,,,52.49%,,,52.49%,52.49%,52.49%,,52.49%,52.49%,,,,52.49%,,,52.49%,,,,,,52.49%,52.49%,52.49%,,,52.49%,52.49%,,,52.49%,,52.49%,,52.49%,52.49%,,,,52.49%,,52.49%,,52.49%,
alistar,,,,,,,,,,51.10%,,,51.10%,,51.10%,51.10%,51.10%,,,,,,,,,,,,51.10%,,,51.10%,,,51.10%,,,,,,,,,51.10%,,,,51.10%,,,,,,,,51.10%,,,,,,,,,,,,51.10%,,51.10%,,,,51.10%,51.10%,,,51.10%,51.10%,,,51.10%,,51.10%,,51.10%,51.10%,51.10%,,,,,,,51.10%,51.10%,51.10%,,,51.10%,,,51.10%,51.10%,,,,,,,,51.10%,51.10%,,51.10%,51.10%,,,,,,,51.10%,51.10%,51.10%,51.10%,,51.10%,,,51.10%,51.10%,51.10%,,,,,,,,,,,51.10%,,,,,,,,51.10%,,51.10%,,,,,51.10%,,,,,51.10%,51.10%,51.10%
amumu,,,,,,,,,,,,,,49.89%,,,,49.89%,,,,,,,49.89%,,49.89%,49.89%,49.89%,49.89%,,49.89%,,,,,,,49.89%,49.89%,49.89%,49.89%,,,,,49.89%,,49.89%,49.89%,,,,,,,49.89%,,,,49.89%,,49.89%,49.89%,,,,,49.89%,,49.89%,,,,,,,,,,,,49.89%,,,,,49.89%,,49.89%,49.89%,,,,49.89%,49.89%,,49.89%,,,49.89%,49.89%,,,,49.89%,,,,,49.89%,,,,49.89%,,49.89%,,,,49.89%,,,,,,,,49.89%,49.89%,,,,,49.89%,,,,49.89%,,,,,,,49.89%,49.89%,,,49.89%,49.89%,49.89%,,,49.89%,,,,,49.89%,49.89%,,,,,49.89%
anivia,,52.39%,52.39%,52.39%,,,,52.39%,,,52.39%,52.39%,,,,,,,,,52.39%,52.39%,52.39%,,52.39%,,,52.39%,,,,,,52.39%,52.39%,52.39%,,,52.39%,,,,,52.39%,,52.39%,,,,,52.39%,,,,,,,52.39%,52.39%,52.39%,,52.39%,,,,,,52.39%,,,,52.39%,,,52.39%,52.39%,52.39%,,,,,52.39%,52.39%,,,,52.39%,,,,,,52.39%,,,,,52.39%,52.39%,,,,,,,,,,52.39%,,,,,,,,,,,,,52.39%,,,52.39%,52.39%,52.39%,,52.39%,52.39%,,,,52.39%,,,52.39%,,,,,,52.39%,52.39%,52.39%,,,52.39%,52.39%,,,52.39%,,52.39%,,52.39%,52.39%,,,,52.39%,,52.39%,,52.39%,
annie,,51.85%,51.85%,51.85%,,,51.85%,,,,51.85%,51.85%,,,,,,,,,51.85%,51.85%,51.85%,,51.85%,,,51.85%,,,,,,51.85%,51.85%,51.85%,,,51.85%,,,,,51.85%,,51.85%,,,,,51.85%,,,,,,,51.85%,51.85%,51.85%,,51.85%,,,,,,51.85%,,,,51.85%,,,51.85%,51.85%,51.85%,,,,,51.85%,51.85%,,,,51.85%,,,,,,51.85%,,,,,51.85%,51.85%,,,,,,,,,,51.85%,,,,,,,,,,,,,51.85%,,,51.85%,51.85%,51.85%,,51.85%,51.85%,,,,51.85%,,,51.85%,,,,,,51.85%,51.85%,51.85%,,,51.85%,51.85%,,,51.85%,,51.85%,,51.85%,51.85%,,,,51.85%,,51.85%,,51.85%,
aphelios,,,,,,,,,,50.14%,,,,,,,,,50.14%,,,,50.14%,,,50.14%,,,,,50.14%,,,,,,,,,,,,,50.14%,,,,,,,,50.14%,50.14%,50.14%,50.14%,,,,,,,,,,,50.14%,,,,,,,50.14%,,,,,,,50.14%,,,,,,,,,50.14%,,,,,,,,,,,,,,,,,,,,,50.14%,,50.14%,50.14%,,,,,,,50.14%,,50.14%,,,50.14%,,,,,,,,,50.14%,,,,50.14%,,,50.14%,50.14%,,,,,,,,,,50.14%,50.14%,,,50.14%,,,,,,50.14%,50.14%,,,
ashe,,,,,,,,,50.67%,,,,,,,,,,50.67%,,,,50.67%,,,50.67%,,,,,50.67%,,,,,,,,,,,,,50.67%,,,,,,,,50.67%,50.67%,50.67%,50.67%,,,,,,,,,,,50.67%,,,,,,,50.67%,,,,,,,50.67%,,,,,,,,,50.67%,,,,,,,,,,,,,,,,,,,,,50.67%,,50.67%,50.67%,,,,,,,50.67%,,50.67%,,,50.67%,,,,,,,,,50.67%,,,,50.67%,,,50.67%,50.67%,,,,,,,,,,50.67%,50.67%,,,50.67%,,,,,,50.67%,50.67%,,,
