,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,53.54%,,,,,,,,,,,,,,,,,47.50%,41.67%,51.25%,,49.66%,,,56.21%,,,,,,49.16%,,41.28%,51.00%,46.32%,47.19%,51.90%,,46.94%,,45.93%,,52.97%,46.94%,,,,49.72%,49.94%,,,,,,,,,49.38%,,49.05%,,,47.70%,,48.32%,,,,,,,,,48.14%,,,,,47.54%,,,,49.18%,,,,,,,51.63%,,48.58%,48.52%,50.52%,,,45.03%,,,,,,49.57%,,47.10%,51.83%,54.98%,,,,,49.21%,,50.73%,,41.35%,51.67%,,,,,,,52.85%,,44.29%,,,,48.46%,,,48.13%,48.44%,,,52.58%,47.74%,53.98%,47.16%,,,,,,,51.44%,49.93%,45.99%,49.57%,,,,51.62%,50.00%,48.24%,,47.88%,,,,,,
ahri,,,48.43%,47.63%,,,49.09%,47.80%,,,45.97%,52.44%,,,,,,,,,46.02%,53.15%,49.71%,,47.90%,,,50.85%,,,,,,47.74%,52.53%,45.36%,,,45.19%,,,,,49.15%,,50.78%,,,,,59.38%,,,,,,,47.78%,45.41%,45.96%,,47.78%,,,,,,51.74%,,,,46.64%,,,50.11%,47.62%,49.59%,,,,,40.00%,51.45%,,,,52.08%,,,,,,47.89%,,,,,47.90%,49.17%,,,,,,,,,,48.72%,,,,,,,,,,,,,52.04%,,,50.95%,48.47%,49.53%,,52.14%,46.34%,,,,49.09%,,,47.90%,,,,,,49.04%,44.24%,47.39%,,,48.59%,46.42%,,,48.47%,,51.76%,,46.52%,55.81%,,,,48.40%,,48.51%,,45.70%,
akali,,51.57%,,45.78%,,,51.72%,52.97%,,,54.18%,56.51%,,,,,,,,,58.33%,51.38%,57.14%,,48.86%,,,50.90%,,,,,,55.28%,45.35%,51.92%,,,53.28%,,,,,50.19%,,52.70%,,,,,48.52%,,,,,,,51.67%,51.95%,49.00%,,42.01%,,,,,,50.24%,,,,46.17%,,,47.59%,47.67%,46.13%,,,,,48.91%,46.96%,,,,49.02%,,,,,,52.10%,,,,,45.04%,49.46%,,,,,,,,,,46.49%,,,,,,,,,,,,,56.62%,,,55.48%,48.33%,51.70%,,47.52%,49.60%,,,,58.02%,,,45.63%,,,,,,46.44%,49.01%,47.29%,,,54.85%,51.12%,,,48.33%,,50.52%,,51.15%,56.64%,,,,52.30%,,48.21%,,48.76%,
akshan,,52.37%,54.20%,,,,44.78%,50.00%,,,56.14%,57.32%,,,,,,,,,59.57%,56.25%,63.93%,,51.06%,,,48.21%,,,,,,52.86%,54.10%,52.50%,,,53.33%,,,,,52.63%,,53.15%,,,,,43.86%,,,,,,,49.25%,49.57%,53.51%,,49.25%,,,,,,54.70%,,,,49.41%,,,46.74%,49.14%,50.34%,,,,,62.96%,53.66%,,,,52.78%,,,,,,51.77%,,,,,50.57%,62.50%,,,,,,,,,,53.96%,,,,,,,,,,,,,50.00%,,,49.15%,48.86%,50.63%,,46.74%,50.36%,,,,48.08%,,,53.47%,,,,,,57.33%,49.35%,46.97%,,,53.87%,53.40%,,,52.37%,,55.70%,,47.80%,55.64%,,,,55.69%,,60.00%,,52.71%,
alistar,,,,,,,,,,60.42%,,,52.22%,,52.10%,49.13%,50.35%,,,,,,,,,,,,51.60%,,,54.26%,,,54.33%,,,,,,,,,38.30%,,,,47.43%,,,,,,,,50.56%,,,,,,,,,,,,46.79%,,51.35%,,,,51.19%,49.65%,,,50.00%,47.44%,,,47.08%,,48.25%,,51.61%,52.43%,53.68%,,,,,,,51.39%,49.55%,52.09%,,,48.95%,,,51.47%,53.14%,,,,,,,,47.45%,49.10%,,50.84%,50.47%,,,,,,,50.00%,48.30%,49.19%,53.24%,,55.19%,,,44.44%,49.32%,49.95%,,,,,,,,,,,48.21%,,,,,,,,49.95%,,48.54%,,,,,54.44%,,,,,46.22%,52.25%,52.85%
amumu,,,,,,,,,,,,,,51.06%,,,,48.21%,,,,,,,51.63%,,41.30%,45.11%,49.67%,45.59%,,43.85%,,,,,,,48.98%,54.44%,55.56%,55.10%,,,,,43.08%,,50.84%,62.07%,,,,,,,53.33%,,,,48.40%,,46.18%,52.90%,,,,,50.93%,,48.34%,,,,,,,,,,,,48.94%,,,,,50.00%,,50.63%,47.24%,,,,49.80%,54.05%,,61.11%,,,50.75%,35.42%,,,,49.40%,,,,,50.63%,,,,46.57%,,43.94%,,,,62.96%,,,,,,,,40.74%,46.99%,,,,,45.98%,,,,50.96%,,,,,,,50.00%,50.00%,,,48.10%,47.78%,50.00%,,,45.15%,,,,,47.09%,45.52%,,,,,51.52%
anivia,,50.91%,48.28%,55.22%,,,,52.63%,,,43.85%,56.80%,,,,,,,,,54.55%,53.33%,41.67%,,56.25%,,,44.50%,,,,,,50.00%,54.95%,61.54%,,,58.82%,,,,,50.71%,,48.00%,,,,,41.38%,,,,,,,48.88%,52.46%,50.00%,,46.81%,,,,,,52.94%,,,,51.06%,,,50.00%,47.37%,50.87%,,,,,37.50%,39.39%,,,,43.90%,,,,,,53.27%,,,,,49.06%,47.37%,,,,,,,,,,53.76%,,,,,,,,,,,,,56.25%,,,60.53%,50.59%,49.23%,,45.93%,49.54%,,,,50.00%,,,51.50%,,,,,,48.73%,46.38%,45.90%,,,51.30%,56.85%,,,51.50%,,52.96%,,58.68%,57.98%,,,,52.04%,,60.87%,,57.09%,
annie,,52.45%,47.03%,50.00%,,,47.37%,,,,54.72%,53.46%,,,,,,,,,44.12%,57.14%,55.32%,,51.70%,,,43.84%,,,,,,54.76%,53.29%,54.17%,,,50.00%,,,,,50.34%,,52.17%,,,,,50.91%,,,,,,,46.26%,49.13%,51.49%,,53.62%,,,,,,47.54%,,,,55.06%,,,47.71%,51.61%,52.53%,,,,,54.05%,43.59%,,,,46.15%,,,,,,52.11%,,,,,52.94%,43.48%,,,,,,,,,,52.05%,,,,,,,,,,,,,61.11%,,,51.72%,52.35%,46.19%,,55.56%,49.64%,,,,64.58%,,,52.05%,,,,,,52.15%,48.78%,54.78%,,,46.76%,49.11%,,,53.88%,,48.52%,,53.88%,57.69%,,,,52.09%,,53.57%,,50.29%,
aphelios,,,,,,,,,,49.43%,,,,,,,,,49.24%,,,,46.94%,,,50.71%,,,,,52.94%,,,,,,,,,,,,,40.48%,,,,,,,,51.00%,48.68%,52.47%,57.27%,,,,,,,,,,,47.11%,,,,,,,48.61%,,,,,,,48.86%,,,,,,,,,46.76%,,,,,,,,,,,,,,,,,,,,,49.51%,,52.23%,48.03%,,,,,,,49.59%,,49.96%,,,47.92%,,,,,,,,,49.26%,,,,47.13%,,,49.36%,51.11%,,,,,,,,,,48.61%,46.62%,,,41.57%,,,,,,49.44%,50.50%,,,
ashe,,,,,,,,,50.57%,,,,,,,,,,48.53%,,,,50.56%,,,53.96%,,,,,50.74%,,,,,,,,,,,,,44.25%,,,,,,,,51.11%,48.47%,51.00%,55.24%,,,,,,,,,,,44.11%,,,,,,,50.31%,,,,,,,48.68%,,,,,,,,,50.00%,,,,,,,,,,,,,,,,,,,,,47.36%,,52.77%,46.38%,,,,,,,48.48%,,50.63%,,,52.08%,,,,,,,,,49.63%,,,,41.93%,,,50.86%,50.70%,,,,,,,,,,51.00%,51.15%,,,50.44%,,,,,,48.40%,48.03%,,,
