Champion,Opponent,WinRate (%)
aatrox,Jax,50.68
aatrox,Fiora,55.71
aatrox,Darius,50.77
aatrox,Sett,50.77
aatrox,Gangplank,51.67
aatrox,Sion,56.52
aatrox,Mordekaiser,62.22
aatrox,Irelia,52.27
aatrox,Dr. Mundo,70.73
aatrox,Gnar,51.22
aatrox,Yorick,61.76
aatrox,Ornn,51.52
aatrox,Garen,53.33
camille,Aatrox,58.54
darius,Renekton,51.06
darius,Sett,57.78
darius,Jax,51.28
darius,K'Sante,54.84
drmundo,Jax,56.1
drmundo,Sett,64.1
fiora,Jax,55.32
fiora,Sion,57.14
gangplank,Jayce,52.17
gangplank,Jax,68.42
gangplank,Sion,54.84
garen,Jax,54.29
gnar,Jayce,55.26
gwen,Dr. Mundo,56.25
gwen,Aatrox,53.13
irelia,Jayce,58.33
irelia,Ambessa,54.55
irelia,Renekton,53.33
jax,Renekton,61.76
jax,Gragas,53.73
jax,Irelia,59.46
jax,Shen,51.35
jax,Kennen,69.44
jax,K'Sante,52.94
jax,Camille,54.55
jax,Mordekaiser,56.25
jax,Riven,56.67
jax,Gwen,56.67
jayce,Aatrox,51.52
jayce,Malphite,53.73
jayce,Ambessa,57.14
jayce,Jax,56.76
jayce,Fiora,51.43
jayce,Darius,51.61
malphite,Aatrox,63.64
ornn,Sett,62.5
ornn,Jayce,51.61
renekton,Aatrox,55.56
renekton,Yone,54.76
renekton,Fiora,53.13
riven,Renekton,51.06
riven,Aatrox,57.45
sett,Jax,52.08
sett,Sion,52.38
sett,Renekton,57.5
sett,Irelia,66.67
shen,Aatrox,63.64
shen,Sion,53.33
sylas,Malphite,61.29
yone,Aatrox,55.88
