,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,52.5,,49.39,,50.34,,,43.88,,,,,,50.86,,,48.91,53.91,52.64,48.06,,53.04,,54.07,,47.34,52.95,,,,50.28,49.7,,,,,,,,,50.67,,50.94,,,52.49,,51.99,,,,,,,,,52.25,,,,,52.53,,,,50.71,,,,,,,48.95,,51.71,,,,,54.38,,,,,,50.58,,52.65,48.97,,,,,,50.73,,49.47,,58.7,48.67,,,,,,,,,,,,,51.46,,,,51.72,,,,53.17,,,,,,,,,,,,,,,,,,52.26,,,,,,,,
ahri,,,51.57,52.37,,,50.91,52.45,,,54.03,47.56,,,,,,,,,54.19,,,,,,,,,,,,,52.25,47.5,,,,,,,,,50.84,,,,,,,,,,,,,,52.29,54.44,,,,,,,,,48.44,,,,53.29,,,,,50.23,,,,,,,,,,,,,,,,51.98,,,,,51.71,,,,,,,,,,,51.33,,,,,,,,,,,,,,,,,51.67,50.71,,48.05,,,,,,,,51.56,,,,,,50.14,,53.02,,,51.7,53.58,,,,,47.81,,53.41,44.56,,,,,,,,54.93,
akali,53.54,48.43,,54.2,,,48.28,47.03,,,45.82,43.49,,,,,,,,53.15,41.67,50.45,,54.03,,,48.54,,,,,,49.77,44.85,54.72,54.55,52.03,54.12,43.51,,43.11,,43.75,49.75,52.63,54.5,,,,49.19,47.12,,,,,,,48.06,48.19,44.96,,52.56,,,50.0,,41.1,50.06,,,,53.77,,,,48.61,54.09,,,,59.12,,,,59.34,,,,,,,45.45,47.83,50.81,,,,54.68,51.67,,,,,,51.71,,58.54,47.54,53.78,,,,,52.89,,46.49,,56.0,54.49,,,,,,,51.54,48.21,,52.3,,,53.04,,,,45.37,54.37,,,58.41,,,52.61,,52.32,,,45.28,49.41,,,,,49.92,,49.33,42.99,53.85,,,,,,,52.23,
akshan,,47.63,45.78,,,,55.22,50.0,,,43.86,42.68,,,,,,,,,41.24,,,,,,,,,,,,,46.48,45.9,,,,,,,,,47.55,,,,,,,,,,,,,,51.09,50.7,,,,,,,,,44.77,,,,50.29,,,,,49.68,,,,,,,,,,,,,,,,48.97,,,,,50.83,,,,,,,,,,,45.07,,,,,,,,,,,,,,,,,51.31,48.79,,52.82,,,,,,,,47.19,,,,,,43.13,,52.83,,,46.32,47.24,,,,,43.85,,52.0,45.33,,,,,,,,47.5,
alistar,,,,,,,,,,,,,47.78,,47.9,50.87,49.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.66,,,,,,,,49.59,,,,,,,,,,,,,,48.72,,,,48.64,50.34,,,50.58,52.59,,,52.45,,51.88,,48.42,47.62,,,,,,,,,50.72,48.33,,,50.94,,,48.73,46.75,,,,,,,,,50.7,,,,,,,,,,50.0,51.81,50.79,,,44.6,,,55.13,,50.02,,,,,,,,,,,51.99,,,,,,,,,,,,,,,45.1,,,,,54.2,,47.69
amumu,,,,,,,,,,,,,,48.94,,,,51.79,,,,,,,47.98,,,54.65,50.33,53.96,,56.49,,,,,,,,45.6,,44.67,,,,,56.72,,49.07,,,,,,,,46.05,,,,51.7,,53.29,47.18,,,,,49.37,,51.27,,,,,,,,,,,,51.05,,,,,49.68,,49.85,52.71,,,,49.61,,,,,,50.0,64.58,,,,48.28,,,,,48.78,,,,53.92,,54.29,,,,37.93,,,,,,,,,52.51,,,,,55.65,,,,49.4,,,,,,,50.0,50.4,,,51.91,51.55,,,,54.75,,,,,52.94,54.74,,,,,
anivia,,49.09,51.72,44.78,,,,47.37,,,56.15,43.2,,,,,,,,,45.45,,,,,,,,,,,,,50.0,45.32,,,,,,,,,49.29,,,,,,,,,,,,,,50.56,47.06,,,,,,,,,47.6,,,,49.32,,,,,48.81,,,,,,,,,,,,,,,,47.78,,,,,50.45,,,,,,,,,,,47.25,,,,,,,,,,,,,,,,,49.32,50.37,,53.24,,,,,,,,48.42,,,,,,50.3,,53.49,,,48.39,42.97,,,,,47.31,,40.83,42.75,,,,,,,,42.96,
annie,,47.8,52.97,50.0,,,52.63,,,,45.28,46.54,,,,,,,,,57.14,,,,,,,,,,,,,44.97,46.71,,,,,,,,,49.78,,,,,,,,,,,,,,54.05,51.07,,,,,,,,,51.81,,,,45.3,,,,,47.9,,,,,,,,,,,,,,,,47.3,,,,,48.86,,,,,,,,,,,46.07,,,,,,,,,,,,,,,,,47.05,53.99,,42.93,,,,,,,,46.74,,,,,,49.04,,46.15,,,51.97,51.19,,,,,51.81,,46.57,42.22,,,,,,,,50.94,
aphelios,,,,,,,,,,50.57,,,,,,,,,50.63,,,,53.15,,,49.18,,,,,47.07,,,,,,,,,,,,,,,,,,,,,49.27,51.4,47.33,42.98,,,,,,,,,,,52.71,,,,,,,51.47,,,,,,,51.01,,,,,,,,,52.48,,,,,,,,,,,,,,,,,,,,,50.33,,47.6,,,,,,,,50.58,,49.92,,,,,,,,,,,,50.91,,,,52.76,,,50.56,49.11,,,,,,,,,,,53.23,,,,,,,,,50.7,50.7,,,
ashe,,,,,60.42,,,,49.43,,,,52.38,,58.62,60.71,60.76,,51.37,,,,49.63,,,46.24,,,,,49.21,,,,,,,,,,,,,,,,,60.78,,,,49.06,51.63,49.0,44.14,61.98,,,,,,,,,,55.51,,,,41.82,,,49.67,51.23,49.38,,,37.5,62.62,51.99,,56.36,,58.82,,67.86,63.64,,49.46,,,,,,,65.22,52.56,,,60.34,,,43.86,71.43,,,,,,52.72,,47.13,40.0,,,,,,,51.28,,49.36,62.79,62.5,38.46,,,58.82,,,58.33,,56.34,49.95,,,,57.08,,,48.3,49.07,,34.09,,,,,,,,,49.5,,,,,,60.47,,,51.95,51.11,53.06,,63.64
