,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,47.16,,42.7,,47.06,,,37.16,,,,,,47.02,,,41.62,48.57,44.94,52.74,,47.85,,47.23,,43.32,49.55,,,,47.99,42.46,,,,,,,,,41.2,,52.16,,,48.61,,55.91,,,,,,,,,56.31,,,,,47.72,,,,46.51,,,,,,,46.49,,53.77,,,,,40.73,,,,,,49.71,,48.92,47.04,,,,,,47.19,,52.5,,42.65,42.0,,,,,,,,,,,,,45.83,,,,48.67,,,,48.39,,,,,,,,,,,,,,,,,,47.47,,,,,,,,
ahri,,,50.92,51.5,,,51.7,45.23,,,36.34,39.55,,,,,,,,,39.91,,,,,,,,,,,,,55.29,43.54,,,,,,,,,42.45,,,,,,,,,,,,,,46.56,52.89,,,,,,,,,61.17,,,,52.44,,,,,43.0,,,,,,,,,,,,,,,,48.17,,,,,55.46,,,,,,,,,,,42.1,,,,,,,,,,,,,,,,,48.91,46.08,,41.8,,,,,,,,41.36,,,,,,49.09,,46.13,,,42.45,48.38,,,,,52.7,,42.96,41.71,,,,,,,,59.13,
akali,49.57,49.08,,46.69,,,51.58,42.74,,,43.04,42.63,,,,,,,,43.96,37.45,39.39,,44.47,,,34.54,,,,,,42.0,47.85,50.31,42.7,46.92,39.75,47.4,,39.26,,31.58,41.43,44.44,46.29,,,,43.48,39.73,,,,,,,46.09,47.62,33.41,,41.0,,,53.5,,50.13,58.02,,,,53.21,,,,50.0,44.43,,,,45.32,,,,43.92,,,,,,,44.6,45.89,53.52,,,,56.21,39.41,,,,,,48.1,,49.89,37.2,45.46,,,,,45.95,,45.63,,33.14,40.1,,,,,,,45.37,42.76,,43.12,,,39.7,,,,48.36,45.16,,,42.82,,,46.34,,51.56,,,39.96,46.82,,,,,47.8,,40.33,38.19,46.37,,,,,,,54.28,
akshan,,48.5,53.21,,,,56.98,49.44,,,43.03,44.89,,,,,,,,,43.02,,,,,,,,,,,,,56.17,50.34,,,,,,,,,44.97,,,,,,,,,,,,,,45.74,49.44,,,,,,,,,57.7,,,,55.7,,,,,41.82,,,,,,,,,,,,,,,,45.95,,,,,53.27,,,,,,,,,,,44.56,,,,,,,,,,,,,,,,,48.83,49.0,,48.05,,,,,,,,48.39,,,,,,47.38,,56.56,,,49.24,53.26,,,,,52.8,,47.3,41.88,,,,,,,,54.28,
alistar,,,,,,,,,,,,,52.86,,53.37,48.67,55.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.08,,,,,,,,55.14,,,,,,,,,,,,,,51.26,,,,54.38,53.44,,,47.64,58.37,,,56.53,,55.98,,52.08,49.82,,,,,,,,,48.87,55.21,,,52.54,,,51.12,51.37,,,,,,,,,55.32,,,,,,,,,,46.09,52.16,53.87,,,49.19,,,53.59,,55.57,,,,,,,,,,,55.49,,,,,,,,,,,,,,,59.01,,,,,53.45,,50.62
amumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anivia,,48.3,48.42,43.02,,,,40.33,,,38.78,44.67,,,,,,,,,38.46,,,,,,,,,,,,,51.42,44.23,,,,,,,,,44.57,,,,,,,,,,,,,,40.0,46.32,,,,,,,,,57.12,,,,42.05,,,,,41.98,,,,,,,,,,,,,,,,44.42,,,,,50.96,,,,,,,,,,,35.98,,,,,,,,,,,,,,,,,43.74,42.77,,40.47,,,,,,,,37.66,,,,,,41.67,,46.09,,,39.32,39.38,,,,,50.06,,37.45,34.67,,,,,,,,49.49,
annie,,54.69,57.26,50.56,,,59.67,,,,43.05,46.37,,,,,,,,,45.85,,,,,,,,,,,,,57.71,51.89,,,,,,,,,47.99,,,,,,,,,,,,,,51.24,53.89,,,,,,,,,66.49,,,,53.45,,,,,48.3,,,,,,,,,,,,,,,,51.63,,,,,56.45,,,,,,,,,,,43.24,,,,,,,,,,,,,,,,,50.35,50.96,,45.0,,,,,,,,48.59,,,,,,48.67,,51.19,,,49.8,52.48,,,,,54.72,,44.75,43.15,,,,,,,,58.34,
aphelios,,,,,,,,,,51.23,,,,,,,,,51.56,,,,55.3,,,51.89,,,,,54.6,,,,,,,,,,,,,,,,,,,,,59.05,49.77,53.64,49.09,,,,,,,,,,,50.48,,,,,,,56.18,,,,,,,54.49,,,,,,,,,55.05,,,,,,,,,,,,,,,,,,,,,56.59,,53.72,,,,,,,,55.5,,52.25,,,,,,,,,,,,56.07,,,,55.96,,,55.48,49.23,,,,,,,,,,,56.77,,,,,,,,,50.27,57.76,,,
ashe,,,,,51.12,,,,48.77,,,,55.6,,55.61,51.82,56.37,,50.07,,,,55.59,,,49.48,,,,,53.83,,,,,,,,,,,,,,,,,67.28,,,,55.71,48.76,51.68,50.77,59.59,,,,,,,,,,50.75,,,,48.28,,,54.81,64.01,53.69,,,45.65,62.84,51.92,,50.49,,63.45,,61.12,56.72,,51.35,,,,,,,52.0,61.82,,,64.78,,,56.02,66.0,,,,,,54.75,,52.45,58.65,,,,,,,51.46,,50.15,57.45,64.24,39.0,,,50.57,,,70.83,,55.94,56.68,,,,54.8,,,52.74,48.83,,49.67,,,,,,,,,51.98,,,,,,69.29,,,51.15,50.98,56.89,,47.0
