,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,23507.0,,22783.0,,21213.0,,,25632.0,,,,,,24286.0,,,25384.0,21556.0,23323.0,22081.0,,24786.0,,30504.0,,26738.0,24341.0,,,,22137.0,25129.0,,,,,,,,,21532.0,,25106.0,,,24582.0,,21794.0,,,,,,,,,21909.0,,,,,24278.0,,,,20158.0,,,,,,,24201.0,,20196.0,,,,,27557.0,,,,,,22799.0,,21962.0,24633.0,,,,,,24534.0,,18326.0,,22768.0,20649.0,,,,,,,,,,,,,27434.0,,,,22058.0,,,,23331.0,,,,,,,,,,,,,,,,,,22993.0,,,,,,,,
ahri,,,23385.0,25937.0,,,19526.0,24931.0,,,24579.0,23606.0,,,,,,,,,22135.0,,,,,,,,,,,,,22524.0,17190.0,,,,,,,,,26238.0,,,,,,,,,,,,,,23857.0,26138.0,,,,,,,,,23733.0,,,,22205.0,,,,,22634.0,,,,,,,,,,,,,,,,22634.0,,,,,25277.0,,,,,,,,,,,23808.0,,,,,,,,,,,,,,,,,22865.0,25397.0,,23493.0,,,,,,,,19138.0,,,,,,24594.0,,24968.0,,,26627.0,26132.0,,,,,27610.0,,21502.0,22333.0,,,,,,,,25776.0,
akali,23442.0,22879.0,,26967.0,,,20864.0,24336.0,,,25550.0,25562.0,,,,,,,,20500.0,23190.0,21960.0,,18986.0,,,25022.0,,,,,,21798.0,22275.0,21310.0,26000.0,20200.0,22659.0,20650.0,,21173.0,,26303.0,25945.0,28214.0,22694.0,,,,18957.0,26039.0,,,,,,,25483.0,24697.0,18580.0,,26264.0,,,25402.0,,18871.0,24443.0,,,,22310.0,,,,20906.0,24038.0,,,,22899.0,,,,19101.0,,,,,,,20912.0,22143.0,19843.0,,,,25425.0,25454.0,,,,,,23015.0,,22238.0,22452.0,25115.0,,,,,25182.0,,17853.0,,21950.0,21887.0,,,,,,,23883.0,24774.0,,24206.0,,,25194.0,,,,23687.0,20226.0,,,24217.0,,,25119.0,,25818.0,,,25314.0,26704.0,,,,,26565.0,,23114.0,22421.0,21125.0,,,,,,,25460.0,
akshan,,20470.0,24438.0,,,,21691.0,25522.0,,,24145.0,24105.0,,,,,,,,,22084.0,,,,,,,,,,,,,21156.0,17955.0,,,,,,,,,25104.0,,,,,,,,,,,,,,21964.0,25594.0,,,,,,,,,22635.0,,,,21078.0,,,,,23077.0,,,,,,,,,,,,,,,,20839.0,,,,,24360.0,,,,,,,,,,,22783.0,,,,,,,,,,,,,,,,,22796.0,23316.0,,22998.0,,,,,,,,19052.0,,,,,,24945.0,,26869.0,,,25797.0,26195.0,,,,,26553.0,,23186.0,21238.0,,,,,,,,23576.0,
alistar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,15252.0,,,,22165.0,,,,,,,22861.0,,,21912.0,21430.0,24295.0,,22353.0,,,,,,,,21722.0,,21502.0,,,,,11070.0,,17559.0,,,,,,,,37728.0,,,,21884.0,,21767.0,24044.0,,,,,19369.0,,23946.0,,,,,,,,,,,,20938.0,,,,,21490.0,,20328.0,17154.0,,,,20187.0,,,,,,16023.0,19999.0,,,,22465.0,,,,,16709.0,,,,21296.0,,25906.0,,,,16736.0,,,,,,,,,21343.0,,,,,19159.0,,,,18610.0,,,,,,,17465.0,19553.0,,,20308.0,20399.0,,,,20398.0,,,,,18204.0,23091.0,,,,,
anivia,,23186.0,25178.0,27099.0,,,,25394.0,,,26975.0,27025.0,,,,,,,,,23709.0,,,,,,,,,,,,,22686.0,18157.0,,,,,,,,,28756.0,,,,,,,,,,,,,,23750.0,26932.0,,,,,,,,,26781.0,,,,23615.0,,,,,24841.0,,,,,,,,,,,,,,,,23636.0,,,,,26657.0,,,,,,,,,,,23802.0,,,,,,,,,,,,,,,,,22777.0,26678.0,,24279.0,,,,,,,,19393.0,,,,,,27292.0,,26424.0,,,28215.0,27684.0,,,,,30194.0,,22394.0,22628.0,,,,,,,,26567.0,
annie,,20855.0,23596.0,24541.0,,,21453.0,,,,21017.0,21846.0,,,,,,,,,23944.0,,,,,,,,,,,,,21356.0,18506.0,,,,,,,,,25139.0,,,,,,,,,,,,,,23454.0,23422.0,,,,,,,,,23838.0,,,,20165.0,,,,,21757.0,,,,,,,,,,,,,,,,21714.0,,,,,22479.0,,,,,,,,,,,22369.0,,,,,,,,,,,,,,,,,22132.0,24320.0,,22495.0,,,,,,,,17850.0,,,,,,24185.0,,22951.0,,,24947.0,25613.0,,,,,26937.0,,18606.0,19120.0,,,,,,,,22554.0,
aphelios,,,,,,,,,,20771.0,,,,,,,,,23696.0,,,,24896.0,,,24661.0,,,,,25860.0,,,,,,,,,,,,,,,,,,,,,21540.0,22086.0,22345.0,19870.0,,,,,,,,,,,29649.0,,,,,,,23639.0,,,,,,,23859.0,,,,,,,,,21602.0,,,,,,,,,,,,,,,,,,,,,24849.0,,19904.0,,,,,,,,24250.0,,26692.0,,,,,,,,,,,,22699.0,,,,26467.0,,,23262.0,22570.0,,,,,,,,,,,22371.0,,,,,,,,,23702.0,28269.0,,,
ashe,,,,,,,,,23989.0,,,,,,,,,,24315.0,,,,26346.0,,,23677.0,,,,,26564.0,,,,,,,,,,,,,,,,,,,,,21754.0,23417.0,22965.0,21284.0,,,,,,,,,,,31610.0,,,,,,,24444.0,,,,,,,23662.0,,,,,,,,,21594.0,,,,,,,,,,,,,,,,,,,,,24924.0,,20837.0,,,,,,,,24392.0,,26887.0,,,,,,,,,,,,22819.0,,,,26486.0,,,23042.0,22876.0,,,,,,,,,,,22784.0,,,,,,,,,25712.0,28992.0,,,
