,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,37.44,,37.5,,35.35,,,31.24,,,,,,33.63,,,40.98,33.84,37.2,36.26,,35.84,,35.88,,29.69,37.25,,,,34.43,38.74,,,,,,,,,36.23,,38.87,,,42.06,,37.35,,,,,,,,,40.44,,,,,35.34,,,,33.86,,,,,,,36.16,,40.74,,,,,44.71,,,,,,36.04,,37.39,39.18,,,,,,35.15,,46.06,,40.11,37.63,,,,,,,,,,,,,36.09,,,,32.57,,,,38.5,,,,,,,,,,,,,,,,,,30.39,,,,,,,,
ahri,,,43.13,50.34,,,43.24,46.64,,,48.78,39.28,,,,,,,,,41.61,,,,,,,,,,,,,44.41,48.43,,,,,,,,,46.04,,,,,,,,,,,,,,44.14,50.62,,,,,,,,,46.26,,,,46.74,,,,,41.89,,,,,,,,,,,,,,,,49.63,,,,,45.86,,,,,,,,,,,42.79,,,,,,,,,,,,,,,,,46.39,44.26,,47.99,,,,,,,,47.04,,,,,,43.45,,47.72,,,42.98,42.15,,,,,50.54,,39.67,37.84,,,,,,,,48.41,
akali,36.36,44.8,,47.7,,,43.77,45.73,,,48.8,40.98,,,,,,,,35.95,43.13,38.14,,34.66,,,32.39,,,,,,32.89,45.27,49.91,41.96,33.08,38.69,35.51,,32.42,,30.08,44.51,32.2,37.44,,,,32.4,38.89,,,,,,,46.17,49.25,33.9,,39.47,,,40.44,,34.61,45.47,,,,46.16,,,,39.38,43.4,,,,32.92,,,,32.17,,,,,,,34.08,47.42,39.82,,,,45.91,44.04,,,,,,36.77,,37.96,35.87,42.83,,,,,34.71,,45.31,,38.78,35.97,,,,,,,45.3,42.89,,46.97,,,33.86,,,,33.47,47.84,,,39.68,,,44.47,,47.81,,,41.8,41.29,,,,,48.79,,39.53,37.99,29.86,,,,,,,47.32,
akshan,,45.83,43.59,,,,45.97,46.98,,,51.26,42.49,,,,,,,,,42.65,,,,,,,,,,,,,44.76,49.73,,,,,,,,,46.54,,,,,,,,,,,,,,44.8,50.18,,,,,,,,,44.77,,,,46.49,,,,,43.25,,,,,,,,,,,,,,,,49.6,,,,,44.92,,,,,,,,,,,40.87,,,,,,,,,,,,,,,,,46.68,44.45,,47.46,,,,,,,,47.69,,,,,,43.71,,50.41,,,43.38,41.84,,,,,49.31,,41.42,37.26,,,,,,,,48.16,
alistar,,,,,,,,,,,,,60.49,,54.45,52.37,60.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.14,,,,,,,,58.09,,,,,,,,,,,,,,55.73,,,,60.96,56.03,,,54.95,60.98,,,56.45,,62.26,,56.58,51.82,,,,,,,,,52.79,52.12,,,61.23,,,63.47,58.84,,,,,,,,,60.55,,,,,,,,,,62.04,59.48,57.15,,,50.67,,,61.59,,58.9,,,,,,,,,,,52.39,,,,,,,,,,,,,,,65.11,,,,,58.96,,52.79
amumu,,,,,,,,,,,,,,50.98,,,,52.63,,,,,,,52.58,,,52.76,52.51,54.17,,52.63,,,,,,,,52.95,,55.94,,,,,59.95,,63.94,,,,,,,,61.79,,,,50.86,,50.69,54.71,,,,,55.64,,53.37,,,,,,,,,,,,55.41,,,,,56.96,,52.36,55.78,,,,52.96,,,,,,56.53,56.29,,,,51.93,,,,,53.21,,,,52.79,,49.98,,,,53.63,,,,,,,,,50.89,,,,,55.28,,,,47.8,,,,,,,50.27,52.53,,,52.12,53.76,,,,52.28,,,,,56.83,50.07,,,,,
anivia,,47.49,43.62,49.6,,,,46.41,,,50.32,41.76,,,,,,,,,40.16,,,,,,,,,,,,,46.65,47.91,,,,,,,,,47.94,,,,,,,,,,,,,,42.36,49.16,,,,,,,,,47.04,,,,44.8,,,,,42.73,,,,,,,,,,,,,,,,49.48,,,,,47.33,,,,,,,,,,,41.81,,,,,,,,,,,,,,,,,45.32,44.33,,45.46,,,,,,,,47.18,,,,,,44.41,,44.76,,,42.21,40.95,,,,,50.92,,39.24,36.6,,,,,,,,46.51,
annie,,45.11,45.34,49.51,,,46.69,,,,46.53,38.9,,,,,,,,,44.38,,,,,,,,,,,,,45.15,51.41,,,,,,,,,46.09,,,,,,,,,,,,,,45.64,49.63,,,,,,,,,47.16,,,,44.95,,,,,42.5,,,,,,,,,,,,,,,,47.76,,,,,44.62,,,,,,,,,,,40.95,,,,,,,,,,,,,,,,,47.55,44.33,,47.59,,,,,,,,47.37,,,,,,42.23,,44.98,,,43.26,41.43,,,,,48.79,,37.55,36.2,,,,,,,,46.91,
aphelios,,,,,,,,,,49.33,,,,,,,,,46.26,,,,50.19,,,48.75,,,,,47.96,,,,,,,,,,,,,,,,,,,,,51.94,49.97,50.12,47.6,,,,,,,,,,,52.75,,,,,,,50.26,,,,,,,50.35,,,,,,,,,49.93,,,,,,,,,,,,,,,,,,,,,51.7,,56.74,,,,,,,,50.89,,49.0,,,,,,,,,,,,49.13,,,,52.29,,,49.13,45.41,,,,,,,,,,,47.77,,,,,,,,,51.33,49.33,,,
ashe,,,,,50.62,,,,45.5,,,,55.48,,51.2,43.0,55.88,,45.87,,,,50.47,,,48.01,,,,,47.85,,,,,,,,,,,,,,,,,58.24,,,,50.63,49.6,50.12,48.14,53.89,,,,,,,,,,51.07,,,,54.32,,,49.24,56.98,49.2,,,51.57,57.28,49.74,,51.43,,59.41,,53.63,44.59,,48.07,,,,,,,49.18,48.73,,,57.96,,,58.79,53.65,,,,,,50.98,,56.79,55.85,,,,,,,50.11,,48.32,61.74,57.85,55.77,,,50.16,,,58.81,,55.21,48.61,,,,52.01,,,47.59,45.5,,48.13,,,,,,,,,47.3,,,,,,64.13,,,51.42,49.81,53.96,,45.15
