,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,1024,,1047,,993,,,1028,,,,,,961,,,1037,993,1015,1010,,981,,905,,948,917,,,,981,989,,,,,,,,,1099,,1055,,,953,,1021,,,,,,,,,1056,,,,,1009,,,,1065,,,,,,,991,,1046,,,,,1169,,,,,,975,,1022,1081,,,,,,981,,1174,,1047,1046,,,,,,,,,,,,,1042,,,,921,,,,1024,,,,,,,,,,,,,,,,,,919,,,,,,,,
ahri,,,1099,1001,,,1028,1110,,,1168,1060,,,,,,,,,1165,,,,,,,,,,,,,1010,1133,,,,,,,,,1043,,,,,,,,,,,,,,1102,1066,,,,,,,,,1095,,,,1056,,,,,1000,,,,,,,,,,,,,,,,1067,,,,,1054,,,,,,,,,,,1072,,,,,,,,,,,,,,,,,1082,1046,,1074,,,,,,,,1072,,,,,,1067,,1055,,,1060,1084,,,,,1039,,989,1044,,,,,,,,1016,
akali,1016,1020,,1042,,,1071,1114,,,1154,1035,,,,,,,,1080,1050,1002,,1043,,,1013,,,,,,968,992,1125,1006,982,1033,1070,,1067,,965,1051,920,889,,,,985,977,,,,,,,1113,1055,1156,,1114,,,901,,1056,1059,,,,1030,,,,1053,981,,,,1028,,,,1065,,,,,,,1012,1069,1025,,,,993,1168,,,,,,980,,1042,1056,997,,,,,964,,1220,,1012,968,,,,,,,1076,1038,,1070,,,1062,,,,902,1036,,,1011,,,1055,,1003,,,1052,1046,,,,,1054,,989,1061,876,,,,,,,1005,
akshan,,1026,1104,,,,1052,1089,,,1236,1021,,,,,,,,,1073,,,,,,,,,,,,,967,1140,,,,,,,,,1054,,,,,,,,,,,,,,1097,1055,,,,,,,,,1091,,,,1014,,,,,961,,,,,,,,,,,,,,,,1048,,,,,1013,,,,,,,,,,,1071,,,,,,,,,,,,,,,,,1067,1029,,1044,,,,,,,,1020,,,,,,1055,,1003,,,1055,1051,,,,,1049,,974,1016,,,,,,,,1030,
alistar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anivia,,1047,1165,1072,,,,1092,,,1169,1052,,,,,,,,,1097,,,,,,,,,,,,,1015,1171,,,,,,,,,1082,,,,,,,,,,,,,,1136,1103,,,,,,,,,1089,,,,1058,,,,,1047,,,,,,,,,,,,,,,,1065,,,,,1031,,,,,,,,,,,1115,,,,,,,,,,,,,,,,,1039,1090,,1101,,,,,,,,1067,,,,,,1140,,1069,,,1158,1193,,,,,1052,,1011,971,,,,,,,,1039,
annie,,984,1053,1040,,,974,,,,1120,1006,,,,,,,,,928,,,,,,,,,,,,,975,1044,,,,,,,,,967,,,,,,,,,,,,,,1040,1042,,,,,,,,,1030,,,,1014,,,,,945,,,,,,,,,,,,,,,,1008,,,,,995,,,,,,,,,,,1010,,,,,,,,,,,,,,,,,1031,982,,1012,,,,,,,,1014,,,,,,980,,975,,,972,1001,,,,,958,,993,1020,,,,,,,,981,
aphelios,,,,,,,,,,942,,,,,,,,,893,,,,901,,,891,,,,,916,,,,,,,,,,,,,,,,,,,,,941,923,973,907,,,,,,,,,,,933,,,,,,,911,,,,,,,927,,,,,,,,,913,,,,,,,,,,,,,,,,,,,,,917,,988,,,,,,,,918,,959,,,,,,,,,,,,933,,,,956,,,925,996,,,,,,,,,,,914,,,,,,,,,933,864,,,
ashe,,,,,,,,,904,,,,,,,,,,888,,,,896,,,903,,,,,910,,,,,,,,,,,,,,,,,,,,,954,924,965,924,,,,,,,,,,,999,,,,,,,920,,,,,,,947,,,,,,,,,944,,,,,,,,,,,,,,,,,,,,,920,,986,,,,,,,,917,,968,,,,,,,,,,,,911,,,,965,,,928,1005,,,,,,,,,,,925,,,,,,,,,925,895,,,
aurelionsol,,986,1014,996,,,1003,1105,,,,1031,,,,,,,,,1178,,,,,,,,,,,,,969,1087,,,,,,,,,960,,,,,,,,,,,,,,1078,1012,,,,,,,,,1033,,,,1016,,,,,951,,,,,,,,,,,,,,,,1033,,,,,956,,,,,,,,,,,1018,,,,,,,,,,,,,,,,,1005,1001,,974,,,,,,,,1028,,,,,,1044,,1008,,,1014,1005,,,,,964,,986,971,,,,,,,,958,
azir,,1028,1159,1033,,,1028,1082,,,1149,,,,,,,,,,1105,,,,,,,,,,,,,984,1117,,,,,,,,,991,,,,,,,,,,,,,,1095,1082,,,,,,,,,1040,,,,1056,,,,,1011,,,,,,,,,,,,,,,,1045,,,,,1010,,,,,,,,,,,1060,,,,,,,,,,,,,,,,,1073,1021,,1080,,,,,,,,1052,,,,,,1051,,1068,,,1022,1061,,,,,1008,,1020,1055,,,,,,,,1012,
bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
